candidate_id,file,resolved_path,keep_n,add_n,alpha,mode,changed_cells_vs_h042,q2_changed_cells_vs_h042,changed_cells_vs_h012,q2_changed_cells_vs_h012,kept_h042_support,removed_h042_support,added_new_support,selected_support_size,support_score_gain_add_minus_remove,support_posterior_gain_add_minus_remove,mean_keep_support_posterior,mean_removed_support_posterior,mean_added_support_posterior,mean_added_world_weight,q2_world_delta_vs_h042,direction_agreement_with_world,mean_abs_prob_move_vs_h042,max_abs_prob_move_vs_h042,h053_support_reassignment_score
h053_swap_keep25_add20_a0p66_world_logit_45a22da0,submission_h053_swap_keep25_add20_a0p66_world_logit_45a22da0.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep25_add20_a0p66_world_logit_45a22da0.csv,25,20,0.66,world_logit,40,40,45,45,25,20,20,45,0.1715047888555692,-0.0021820000000001283,0.7877439999999999,0.564508,0.5623259999999999,0.2711876402360415,-0.0012496524675770005,1.0,0.005032263162537002,0.06470827712968841,0.0016047276508603541
h053_swap_keep25_add20_a0p66_world_prob_2f05b773,submission_h053_swap_keep25_add20_a0p66_world_prob_2f05b773.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep25_add20_a0p66_world_prob_2f05b773.csv,25,20,0.66,world_prob,40,40,45,45,25,20,20,45,0.1715047888555692,-0.0021820000000001283,0.7877439999999999,0.564508,0.5623259999999999,0.2711876402360415,-0.0012404893719630077,1.0,0.005018014246612763,0.06447913451419851,0.0015955645552463613
h053_swap_keep39_add6_a0p66_world_logit_9b5328fe,submission_h053_swap_keep39_add6_a0p66_world_logit_9b5328fe.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep39_add6_a0p66_world_logit_9b5328fe.csv,39,6,0.66,world_logit,12,12,45,45,39,6,6,45,0.41027137079264353,0.062180000000000124,0.7143815384615383,0.5204799999999999,0.5826600000000001,0.3367173274513821,-0.0006951615026561383,1.0,0.0016355653815373226,0.058671532460152886,0.001472748558845104
h053_swap_keep39_add6_a0p66_world_prob_207bb5b3,submission_h053_swap_keep39_add6_a0p66_world_prob_207bb5b3.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep39_add6_a0p66_world_prob_207bb5b3.csv,39,6,0.66,world_prob,12,12,45,45,39,6,6,45,0.41027137079264353,0.062180000000000124,0.7143815384615383,0.5204799999999999,0.5826600000000001,0.3367173274513821,-0.0006858997950214535,1.0,0.0016238667175903759,0.058786527906837804,0.0014634868512104192
h053_swap_keep35_add10_a0p66_world_logit_21ae3ce0,submission_h053_swap_keep35_add10_a0p66_world_logit_21ae3ce0.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep35_add10_a0p66_world_logit_21ae3ce0.csv,35,10,0.66,world_logit,20,20,45,45,35,10,10,45,0.30098486579997097,0.03188000000000002,0.7291874285714284,0.5462199999999999,0.5781,0.29815636052414324,-0.0008784838960869141,1.0,0.0025390566312687253,0.058671532460152886,0.0014618411947868706
h053_swap_keep35_add10_a0p66_world_prob_50ffbdfa,submission_h053_swap_keep35_add10_a0p66_world_prob_50ffbdfa.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep35_add10_a0p66_world_prob_50ffbdfa.csv,35,10,0.66,world_prob,20,20,45,45,35,10,10,45,0.30098486579997097,0.03188000000000002,0.7291874285714284,0.5462199999999999,0.5781,0.29815636052414324,-0.0008708819617144285,1.0,0.0025314676557709526,0.05926562212706943,0.001454239260414385
h053_swap_keep31_add14_a0p66_world_logit_a3cb7b10,submission_h053_swap_keep31_add14_a0p66_world_logit_a3cb7b10.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep31_add14_a0p66_world_logit_a3cb7b10.csv,31,14,0.66,world_logit,28,28,45,45,31,14,14,45,0.23913023991125248,0.019460000000000144,0.7515109677419354,0.5490657142857142,0.5685257142857143,0.2944052279059327,-0.0009636795258490365,1.0,0.003740194069555016,0.06470827712968841,0.0014418348857159155
h053_swap_keep31_add14_a0p66_world_prob_777feb42,submission_h053_swap_keep31_add14_a0p66_world_prob_777feb42.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep31_add14_a0p66_world_prob_777feb42.csv,31,14,0.66,world_prob,28,28,45,45,31,14,14,45,0.23913023991125248,0.019460000000000144,0.7515109677419354,0.5490657142857142,0.5685257142857143,0.2944052279059327,-0.000953127359470658,1.0,0.0037236481387599427,0.06382738247737885,0.001431282719337537
h053_swap_keep39_add6_a0p5_world_logit_11736508,submission_h053_swap_keep39_add6_a0p5_world_logit_11736508.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep39_add6_a0p5_world_logit_11736508.csv,39,6,0.5,world_logit,12,12,45,45,39,6,6,45,0.41027137079264353,0.062180000000000124,0.7143815384615383,0.5204799999999999,0.5826600000000001,0.3367173274513821,-0.0005651124504566655,1.0,0.0013521517499198497,0.04436925410178516,0.001342699506645631
h053_swap_keep39_add6_a0p5_world_prob_c5a38dd6,submission_h053_swap_keep39_add6_a0p5_world_prob_c5a38dd6.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep39_add6_a0p5_world_prob_c5a38dd6.csv,39,6,0.5,world_prob,12,12,45,45,39,6,6,45,0.41027137079264353,0.062180000000000124,0.7143815384615383,0.5204799999999999,0.5826600000000001,0.3367173274513821,-0.0005507723580304147,1.0,0.0013394490521990289,0.044535248414271034,0.0013283594142193802
h053_swap_keep25_add20_a0p5_world_logit_06e1b2c7,submission_h053_swap_keep25_add20_a0p5_world_logit_06e1b2c7.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep25_add20_a0p5_world_logit_06e1b2c7.csv,25,20,0.5,world_logit,40,40,45,45,25,20,20,45,0.1715047888555692,-0.0021820000000001283,0.7877439999999999,0.564508,0.5623259999999999,0.2711876402360415,-0.0009376699805625886,1.0,0.004161723020449411,0.04928959820966994,0.0012927451638459423
h053_swap_keep35_add10_a0p5_world_logit_7a98fc78,submission_h053_swap_keep35_add10_a0p5_world_logit_7a98fc78.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep35_add10_a0p5_world_logit_7a98fc78.csv,35,10,0.5,world_logit,20,20,45,45,35,10,10,45,0.30098486579997097,0.03188000000000002,0.7291874285714284,0.5462199999999999,0.5781,0.29815636052414324,-0.0007030237524124535,1.0,0.00209570606420045,0.04436925410178516,0.00128638105111241
h053_swap_keep25_add20_a0p5_world_prob_17fa40fb,submission_h053_swap_keep25_add20_a0p5_world_prob_17fa40fb.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep25_add20_a0p5_world_prob_17fa40fb.csv,25,20,0.5,world_prob,40,40,45,45,25,20,20,45,0.1715047888555692,-0.0021820000000001283,0.7877439999999999,0.564508,0.5623259999999999,0.2711876402360415,-0.0009241102977445232,1.0,0.004147191335763287,0.04884782917742314,0.0012791854810278768
h053_swap_keep35_add10_a0p5_world_prob_48198552,submission_h053_swap_keep35_add10_a0p5_world_prob_48198552.csv,/Users/kbsoo/Downloads/cl2/hitl/h053_q2_support_reassignment_jepa/submission_h053_swap_keep35_add10_a0p5_world_prob_48198552.csv,35,10,0.5,world_prob,20,20,45,45,35,10,10,45,0.30098486579997097,0.03188000000000002,0.7291874285714284,0.5462199999999999,0.5781,0.29815636052414324,-0.0006915460087153422,1.0,0.0020878160871874414,0.04489819858111321,0.0012749033074152987
