candidate_id,file,resolved_path,family,changed_cells,changed_rows,new_support_cells,support_cells_changed,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,world_row_delta_vs_h012,world_cell_delta_vs_h012,support_world_cell_delta_vs_h012,ray_cosine
h037_align_amp_k40_g1.015_c40_71db5bf9,submission_h037_align_amp_k40_g1.015_c40_71db5bf9.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k40_g1.015_c40_71db5bf9.csv,align_amp_k40_g1.015,40,32,0,40,1.0803236445631778e-07,6.698596856302697e-05,0.002629034565525871,-1.182906492764472e-07,-2.665013083522394e-07,-2.665013083522394e-07,0.9547537200863278
h037_align_amp_k40_g1.03_c40_f88b841e,submission_h037_align_amp_k40_g1.03_c40_f88b841e.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k40_g1.03_c40_f88b841e.csv,align_amp_k40_g1.03,40,32,0,40,2.0619438654897423e-07,0.00013024675533002128,0.005258069131049603,-2.2553367210890214e-07,-5.0922688987508e-07,-5.0922688987508e-07,0.9547537200863406
h037_align_amp_k40_g1.06_c40_dfcdf344,submission_h037_align_amp_k40_g1.06_c40_dfcdf344.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k40_g1.06_c40_dfcdf344.csv,align_amp_k40_g1.06,40,32,0,40,3.7672118611870983e-07,0.00024640827310362656,0.010516138262110779,-4.1113748810217923e-07,-9.322492030532201e-07,-9.322492030532201e-07,0.9547537200863471
h037_align_amp_k40_g1.1_c40_eff16daf,submission_h037_align_amp_k40_g1.1_c40_eff16daf.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k40_g1.1_c40_eff16daf.csv,align_amp_k40_g1.1,40,32,0,40,5.59937951981396e-07,0.000381983960330623,0.017526897103492364,-6.091569735721483e-07,-1.3887026945636987e-06,-1.3887026945636987e-06,0.9547537200863493
h037_align_amp_k40_g1.16_c40_2fb24b24,submission_h037_align_amp_k40_g1.16_c40_2fb24b24.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k40_g1.16_c40_2fb24b24.csv,align_amp_k40_g1.16,40,32,0,40,7.638511495118552e-07,0.0005502181189517286,0.028043035365590507,-8.267108185534338e-07,-1.8986986303107536e-06,-1.8986986303107536e-06,0.9547537200863507
h037_align_amp_k80_g1.015_c80_7f1696be,submission_h037_align_amp_k80_g1.015_c80_7f1696be.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k80_g1.015_c80_7f1696be.csv,align_amp_k80_g1.015,80,56,0,80,1.4242898441589895e-05,0.004072568912058316,0.003110142402632864,-8.688176687380686e-06,-1.3414472411411689e-05,-1.3414472411411689e-05,0.9876329848101957
h037_align_amp_k80_g1.03_c80_31a41966,submission_h037_align_amp_k80_g1.03_c80_31a41966.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k80_g1.03_c80_31a41966.csv,align_amp_k80_g1.03,80,56,0,80,2.832976723786903e-05,0.008120918113869058,0.00622028480526208,-1.7119310594499792e-05,-2.6426183997356157e-05,-2.6426183997356157e-05,0.9876329848102082
h037_align_amp_k80_g1.06_c80_4d858173,submission_h037_align_amp_k80_g1.06_c80_4d858173.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k80_g1.06_c80_4d858173.csv,align_amp_k80_g1.06,80,56,0,80,5.60468983962981e-05,0.016143175591951886,0.012440569610528947,-3.322802957807941e-05,-5.1271478450927204e-05,-5.1271478450927204e-05,0.9876329848102148
h037_align_amp_k80_g1.1_c80_35003da8,submission_h037_align_amp_k80_g1.1_c80_35003da8.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k80_g1.1_c80_35003da8.csv,align_amp_k80_g1.1,80,56,0,80,9.208699886396791e-05,0.026680154764930686,0.02073428268419452,-5.319172286560825e-05,-8.20372645781344e-05,-8.20372645781344e-05,0.9876329848102173
h037_align_amp_k80_g1.16_c80_bd147242,submission_h037_align_amp_k80_g1.16_c80_bd147242.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k80_g1.16_c80_bd147242.csv,align_amp_k80_g1.16,80,56,0,80,0.00014427457705847987,0.04212913289843101,0.03317485229470769,-8.003664770519111e-05,-0.00012337033457952048,-0.00012337033457952048,0.9876329848102189
h037_align_amp_k140_g1.015_c140_ce995ad3,submission_h037_align_amp_k140_g1.015_c140_ce995ad3.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k140_g1.015_c140_ce995ad3.csv,align_amp_k140_g1.015,140,84,0,140,3.82406219134843e-05,0.004072568912058316,0.0033169655271209726,-1.8164582049789874e-05,-2.717818920436359e-05,-2.717818920436359e-05,0.9901885946379173
h037_align_amp_k140_g1.03_c140_5c62094a,submission_h037_align_amp_k140_g1.03_c140_5c62094a.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k140_g1.03_c140_5c62094a.csv,align_amp_k140_g1.03,140,84,0,140,7.626220835209144e-05,0.008120918113869058,0.006633931054238315,-3.588234612810234e-05,-5.367805421916918e-05,-5.367805421916918e-05,0.99018859463793
h037_align_amp_k140_g1.06_c140_113b07ff,submission_h037_align_amp_k140_g1.06_c140_113b07ff.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k140_g1.06_c140_113b07ff.csv,align_amp_k140_g1.06,140,84,0,140,0.00015166153700625902,0.016143175591951886,0.013267862108481403,-6.99985486669523e-05,-0.00010467813501295073,-0.00010467813501295073,0.9901885946379367
h037_align_amp_k140_g1.1_c140_69a6e9c8,submission_h037_align_amp_k140_g1.1_c140_69a6e9c8.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k140_g1.1_c140_69a6e9c8.csv,align_amp_k140_g1.1,140,84,0,140,0.00025089480995970926,0.026680154764930686,0.022113103514115273,-0.00011280905909858347,-0.00016862808234048465,-0.00016862808234048465,0.9901885946379391
h037_align_amp_k140_g1.16_c140_5a70a6cc,submission_h037_align_amp_k140_g1.16_c140_5a70a6cc.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k140_g1.16_c140_5a70a6cc.csv,align_amp_k140_g1.16,140,84,0,140,0.00039706855474907956,0.04212913289843101,0.03538096562258089,-0.00017146488699053058,-0.0002561666621399569,-0.0002561666621399569,0.9901885946379406
h037_align_amp_k220_g1.015_c220_6dff50a5,submission_h037_align_amp_k220_g1.015_c220_6dff50a5.csv,/Users/kbsoo/Downloads/cl2/hitl/h037_fixed_point_translator_jepa/submission_h037_align_amp_k220_g1.015_c220_6dff50a5.csv,align_amp_k220_g1.015,220,122,0,220,6.748310491506079e-05,0.004072568912058316,0.003538077463133125,-2.6520233079496462e-05,-3.916165386696915e-05,-3.916165386696915e-05,0.9924068416318457
