target,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,action_health_score
Q1,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0
Q1,top_health_all,0.02,9,-0.1434461515841347,-0.015938461287126077,0.3333333333333333,3,1,2,6,3,-0.060875717517526295,0.40363722845836586,-0.08257043406660841,-0.20456595240725012,-1.309431862759654
Q1,top_health_decisive,0.02,7,-0.0840058224110955,-0.012000831773013643,0.42857142857142855,3,1,2,5,2,-0.25566261666699014,0.5999252382852439,0.17165679425589464,0.28613030974749176,-1.0767445755360567
Q1,top_health_all,0.04,18,0.013941568717898978,0.0007745315954388321,0.3333333333333333,5,3,2,12,6,-0.38443250802816037,0.9906068036483455,0.39837407674605935,0.4021515653626358,-0.4349546870814336
Q1,top_health_decisive,0.04,13,0.029677490737761714,0.0022828839029047474,0.38461538461538464,5,3,2,10,3,-0.3735647659663732,0.7875465455194667,0.40324225670413494,0.5120233959481796,-0.38406087089106244
Q1,top_health_all,0.06,27,0.529107040724544,0.019596557063872,0.4444444444444444,7,3,4,19,8,-0.5965878254821084,1.0144316246463465,1.1256948662066524,1.1096803755493079,-1.0722450765697655
Q1,top_health_decisive,0.06,20,0.4490544336962562,0.02245272168481281,0.5,7,4,3,15,5,-0.6020989552756165,1.0537223569430223,1.0511533889718727,0.9975620067713069,-0.16589210879962524
Q1,top_health_all,0.08,36,0.2836381392898859,0.007878837202496831,0.4444444444444444,8,4,4,23,13,-0.24919009850816176,0.9775043046494022,0.5328282377980477,0.5450904259589477,-1.3133247604778484
Q1,top_health_decisive,0.08,27,0.20091335735939542,0.007441235457755386,0.48148148148148145,8,5,3,19,8,-0.4337554427731661,0.8918297345894474,0.6346688001325616,0.7116479474916033,-0.33069565630925113
Q1,top_health_all,0.1,45,0.6152470862404036,0.013672157472008969,0.4666666666666667,9,4,5,27,18,-0.9552791891013795,0.9344882052514185,1.5705262753417832,1.6806271780811213,-1.2752531031206602
Q1,top_health_decisive,0.1,34,0.402190297760888,0.011829126404732,0.5,8,3,5,22,12,-0.46834433174220624,1.2619083138913538,0.8705346295030942,0.689855689133723,-2.053866630692137
Q1,top_health_all,0.14,63,0.35770436018823387,0.005677846987114823,0.5238095238095238,9,4,5,44,19,-1.2101474673010568,1.5528490798046415,1.5678518274892908,1.0096614332195997,-1.5912569100548173
Q1,top_health_decisive,0.14,47,0.6327272030080624,0.013462280915065157,0.5531914893617021,9,4,5,34,13,-0.6656632497029182,1.277971135173999,1.2983904527109806,1.0159779176344241,-1.3845617153178318
Q1,top_health_all,0.18,81,1.1907222875311505,0.014700275154705561,0.5432098765432098,9,5,4,57,24,-0.9405316412973089,1.758594251000371,2.1312539288284595,1.2119077084529888,0.44281134181133064
