region,cells,posterior_gain_sum,cell_world_score_sum,mean_transition_exception_score,targets
support,1200,12.53578606769521,265.5249540091799,0.5366859238095238,"{'Q1': 167, 'Q2': 105, 'Q3': 141, 'S1': 194, 'S2': 207, 'S3': 194, 'S4': 192}"
memory_exception,523,8.133135268493334,200.5015888207073,0.7302201037967768,"{'Q1': 62, 'Q2': 48, 'Q3': 46, 'S1': 100, 'S2': 98, 'S3': 75, 'S4': 94}"
underfit_exception,523,8.133135268493334,200.5015888207073,0.7302201037967768,"{'Q1': 62, 'Q2': 48, 'Q3': 46, 'S1': 100, 'S2': 98, 'S3': 75, 'S4': 94}"
memory_repair,106,0.43018280642907664,6.625747230681359,0.3652674932614556,"{'Q1': 18, 'Q2': 10, 'Q3': 18, 'S1': 13, 'S2': 20, 'S3': 19, 'S4': 8}"
broad_world_exception,245,6.73590400977162,183.7888983044064,0.8392489096209912,"{'Q1': 24, 'Q2': 11, 'Q3': 16, 'S1': 58, 'S2': 54, 'S3': 35, 'S4': 47}"
