candidate_id,file,resolved_path,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,world_cell_delta_vs_h012,world_row_delta_vs_h012,memory_delta_vs_h012,posterior_delta_vs_h012,family,target_group,k,alpha,mem_alpha,rows_selected
h038_exception_qpull_all_k40_a0.025_68a82126,submission_h038_exception_qpull_all_k40_a0.025_68a82126.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k40_a0.025_68a82126.csv,40,32,4.221849527699106e-06,0.001389265855078925,0.0015267898908846256,0.1773494698050362,-7.531256581785783e-06,-3.582081427008962e-06,0.0005756670782294373,-1.7188439676561463e-06,exception_qpull,all,40,0.025,,
h038_exception_qpull_all_k40_a0.05_7d5a3739,submission_h038_exception_qpull_all_k40_a0.05_7d5a3739.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k40_a0.05_7d5a3739.csv,40,32,8.343388074147773e-06,0.002765600198167628,0.003053579781740248,0.3546989396102793,-1.4568786994920702e-05,-6.969927918893407e-06,0.0011514765482521026,-3.3303780600078934e-06,exception_qpull,all,40,0.05,,
h038_exception_qpull_all_k40_a0.08_1a9db867,submission_h038_exception_qpull_all_k40_a0.08_1a9db867.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k40_a0.08_1a9db867.csv,40,32,1.3164188338012742e-05,0.0044002351860381594,0.004885727650758704,0.5675183033764339,-2.2425748453522754e-05,-1.0798904083373534e-05,0.0018426254941245083,-5.1302963677894956e-06,exception_qpull,all,40,0.08,,
h038_exception_qpull_all_k40_a0.12_c797706c,submission_h038_exception_qpull_all_k40_a0.12_c797706c.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k40_a0.12_c797706c.csv,40,32,1.939271368735932e-05,0.006551167775445399,0.00732859147614696,0.851277455064686,-3.2011387928016e-05,-1.5537134736502873e-05,0.002764440401641571,-7.31659451925147e-06,exception_qpull,all,40,0.12,,
h038_exception_qpull_all_k40_a0.18_413223b8,submission_h038_exception_qpull_all_k40_a0.18_413223b8.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k40_a0.18_413223b8.csv,40,32,2.8341076654267506e-05,0.009716946868445708,0.010992887214226924,1.2769161825966755,-4.4736004149374746e-05,-2.1939920879409658e-05,0.004147723037835545,-1.0172619946671373e-05,exception_qpull,all,40,0.18,,
h038_exception_postpull_all_k40_a0.04_757de6ac,submission_h038_exception_postpull_all_k40_a0.04_757de6ac.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k40_a0.04_757de6ac.csv,40,32,4.737783363632218e-06,0.0018476495610265653,0.002238872526398142,0.1398790645121455,-6.311708049878379e-06,-3.520273063967371e-06,0.0008187958506510393,-1.8687874491311998e-06,exception_postpull,all,40,0.04,,
h038_exception_postpull_all_k40_a0.08_4b3b70f2,submission_h038_exception_postpull_all_k40_a0.08_4b3b70f2.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k40_a0.08_4b3b70f2.csv,40,32,9.38487655465565e-06,0.003672398640321539,0.004477745052791645,0.27975812901985364,-1.2332418827883562e-05,-6.876984153377183e-06,0.0016377233127676833,-3.637352527616682e-06,exception_postpull,all,40,0.08,,
h038_exception_postpull_all_k40_a0.14_cbc3af93,submission_h038_exception_postpull_all_k40_a0.14_cbc3af93.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k40_a0.14_cbc3af93.csv,40,32,1.619091820435202e-05,0.006366965400602664,0.007836053842394941,0.4895767257928476,-2.0843916893276293e-05,-1.161709863672372e-05,0.0028663537587053293,-6.108363647897325e-06,exception_postpull,all,40,0.14,,
h038_exception_postpull_all_k40_a0.22_0839df17,submission_h038_exception_postpull_all_k40_a0.22_0839df17.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k40_a0.22_0839df17.csv,40,32,2.497045801784668e-05,0.009881210897450532,0.012313798895164967,0.7693348548070542,-3.127900798640894e-05,-1.741252530276843e-05,0.004504957408869779,-9.077142340070902e-06,exception_postpull,all,40,0.22,,
h038_exception_qpull_all_k80_a0.025_6e3607af,submission_h038_exception_qpull_all_k80_a0.025_6e3607af.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k80_a0.025_6e3607af.csv,80,59,1.9964835260664044e-05,0.002447084730153759,0.002209849496207564,0.1773494698050362,-2.1942064750692168e-05,-1.2436858224902963e-05,0.0007718775435378638,-5.713836944570034e-06,exception_qpull,all,80,0.025,,
h038_exception_qpull_all_k80_a0.05_2bbe805f,submission_h038_exception_qpull_all_k80_a0.05_2bbe805f.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k80_a0.05_2bbe805f.csv,80,59,3.965097100225851e-05,0.004879595018056737,0.004419698992388238,0.3546989396102793,-4.288691154223501e-05,-2.4377531277244068e-05,0.0015441351578533461,-1.1093120289046668e-05,exception_qpull,all,80,0.05,,
h038_exception_qpull_all_k80_a0.08_876585b2,submission_h038_exception_qpull_all_k80_a0.08_876585b2.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k80_a0.08_876585b2.csv,80,59,6.291741019087836e-05,0.007779282958599476,0.007071518387814576,0.5675183033764339,-6.678135460993518e-05,-3.807856745229663e-05,0.002471330983169834,-1.7119404290406308e-05,exception_qpull,all,80,0.08,,
h038_exception_qpull_all_k80_a0.12_cdb6c4a7,submission_h038_exception_qpull_all_k80_a0.12_cdb6c4a7.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k80_a0.12_cdb6c4a7.csv,80,59,9.335372754292158e-05,0.011612577374805033,0.010607277581719393,0.851277455064686,-9.667110034230518e-05,-5.5329686027124314e-05,0.00370839046413103,-2.4450253019792568e-05,exception_qpull,all,80,0.12,,
h038_exception_qpull_all_k80_a0.18_9b6aeaa8,submission_h038_exception_qpull_all_k80_a0.18_9b6aeaa8.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_qpull_all_k80_a0.18_9b6aeaa8.csv,80,59,0.0001378060541023289,0.01729145875062238,0.015910916372579246,1.2769161825966755,-0.00013761276395841032,-7.914958138170924e-05,0.005565618268179461,-3.399992072275328e-05,exception_qpull,all,80,0.18,,
h038_exception_postpull_all_k80_a0.04_000c8813,submission_h038_exception_postpull_all_k80_a0.04_000c8813.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k80_a0.04_000c8813.csv,80,59,1.891482011945893e-05,0.0020163199787748276,0.003173372548376228,0.1476749791686629,-1.844375266666189e-05,-1.0974492120106083e-05,0.0010862437002988857,-5.7165083069301714e-06,exception_postpull,all,80,0.04,,
h038_exception_postpull_all_k80_a0.08_e91e314b,submission_h038_exception_postpull_all_k80_a0.08_e91e314b.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k80_a0.08_e91e314b.csv,80,59,3.7586103680627074e-05,0.0040092385672909625,0.006346745096781484,0.2953499583469803,-3.618677202009226e-05,-2.1540252616668625e-05,0.0021728033431965715,-1.1145719642850373e-05,exception_postpull,all,80,0.08,,
h038_exception_postpull_all_k80_a0.14_6ef7a989,submission_h038_exception_postpull_all_k80_a0.14_6ef7a989.csv,/Users/kbsoo/Downloads/cl2/hitl/h038_memory_transition_world_translator_jepa/submission_h038_exception_postpull_all_k80_a0.14_6ef7a989.csv,80,59,6.514718535915427e-05,0.006955052894442093,0.011106803919361734,0.5168624270987205,-6.153335917993393e-05,-3.664411371930188e-05,0.0038032220970795005,-1.8763704895642144e-05,exception_postpull,all,80,0.14,,
