candidate_id,file,resolved_path,row_mask,family,alpha,changed_cells_vs_h057,changed_rows_vs_h057,changed_cells_vs_h042,changed_rows_vs_h042,q2_changed_vs_h057,posterior_delta_vs_h057,mean_aux_selected,dist1_rows,dist2_rows,dist3_rows,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057
h059_episode_pos_r3_full_nonq2_a1p1_cb67de4b,submission_h059_episode_pos_r3_full_nonq2_a1p1_cb67de4b.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_full_nonq2_a1p1_cb67de4b.csv,pos_r3,full_nonq2,1.1,822,137,1092,182,0,-0.00045686701080926984,0.510459645464025,62,43,32,137,0,137,137,137,137,137
h059_episode_pos_r3_full_nonq2_a0p9_d1922b49,submission_h059_episode_pos_r3_full_nonq2_a0p9_d1922b49.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_full_nonq2_a0p9_d1922b49.csv,pos_r3,full_nonq2,0.9,822,137,1092,182,0,-0.0004282974402504136,0.510459645464025,62,43,32,137,0,137,137,137,137,137
h059_episode_pos_r3_q3s_a1p1_2eb6cb4d,submission_h059_episode_pos_r3_q3s_a1p1_2eb6cb4d.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_q3s_a1p1_2eb6cb4d.csv,pos_r3,q3s,1.1,685,137,955,182,0,-0.00039758861161987014,0.5204003753910323,62,43,32,0,0,137,137,137,137,137
h059_episode_pos_r3_full_nonq2_a0p75_e501e5f7,submission_h059_episode_pos_r3_full_nonq2_a0p75_e501e5f7.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_full_nonq2_a0p75_e501e5f7.csv,pos_r3,full_nonq2,0.75,822,137,1092,182,0,-0.0003913863307444254,0.510459645464025,62,43,32,137,0,137,137,137,137,137
h059_episode_pos_r3_q1s_a1p1_d37b1c08,submission_h059_episode_pos_r3_q1s_a1p1_d37b1c08.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_q1s_a1p1_d37b1c08.csv,pos_r3,q1s,1.1,685,137,955,182,0,-0.00037666075895081974,0.5216010427528676,62,43,32,137,0,0,137,137,137,137
h059_episode_pos_r2_full_nonq2_a1p1_5a98916a,submission_h059_episode_pos_r2_full_nonq2_a1p1_5a98916a.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r2_full_nonq2_a1p1_5a98916a.csv,pos_r2,full_nonq2,1.1,630,105,900,150,0,-0.0003740926945080547,0.5123373696145125,62,43,0,105,0,105,105,105,105,105
h059_episode_pos_r3_q3s_a0p9_c14382e2,submission_h059_episode_pos_r3_q3s_a0p9_c14382e2.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_q3s_a0p9_c14382e2.csv,pos_r3,q3s,0.9,685,137,955,182,0,-0.0003732553446794684,0.5204003753910323,62,43,32,0,0,137,137,137,137,137
h059_episode_pos_r2_full_nonq2_a0p9_ec341f23,submission_h059_episode_pos_r2_full_nonq2_a0p9_ec341f23.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r2_full_nonq2_a0p9_ec341f23.csv,pos_r2,full_nonq2,0.9,630,105,900,150,0,-0.0003575646442436353,0.5123373696145125,62,43,0,105,0,105,105,105,105,105
h059_episode_pos_r3_q1s_a0p9_20a54cc0,submission_h059_episode_pos_r3_q1s_a0p9_20a54cc0.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_q1s_a0p9_20a54cc0.csv,pos_r3,q1s,0.9,685,137,955,182,0,-0.0003524359232048857,0.5216010427528676,62,43,32,137,0,0,137,137,137,137
h059_episode_pos_r3_q3s_a0p75_677c0f4f,submission_h059_episode_pos_r3_q3s_a0p75_677c0f4f.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_q3s_a0p75_677c0f4f.csv,pos_r3,q3s,0.75,685,137,955,182,0,-0.0003414188658038553,0.5204003753910323,62,43,32,0,0,137,137,137,137,137
h059_episode_pos_r3_full_nonq2_a0p6_e3101f07,submission_h059_episode_pos_r3_full_nonq2_a0p6_e3101f07.csv,/Users/kbsoo/Downloads/cl2/hitl/h059_episode_spread_fullvector_jepa/submission_h059_episode_pos_r3_full_nonq2_a0p6_e3101f07.csv,pos_r3,full_nonq2,0.6,822,137,1092,182,0,-0.0003409878798730226,0.510459645464025,62,43,32,137,0,137,137,137,137,137
