row,target,target_i,public_gradient,gradient_abs_rank
0,Q1,0,-1.237684444519918e-05,1328.0
0,Q2,1,-1.5800832169354785e-05,1175.0
0,Q3,2,-2.7518409244583486e-05,551.0
0,S1,3,-2.3988831359698055e-05,762.0
0,S2,4,-2.3677440042475572e-05,776.0
0,S3,5,-3.11824340076941e-05,360.0
0,S4,6,-3.543255338410258e-05,218.0
1,Q1,0,-1.4875278190524154e-05,1219.0
1,Q2,1,-9.926558975230409e-06,1436.0
1,Q3,2,-2.4281361923248952e-05,734.0
1,S1,3,-1.714661110049899e-05,1100.0
1,S2,4,-2.0447484935339774e-05,956.0
1,S3,5,-2.8844256412041648e-05,477.0
1,S4,6,-2.8059590240720408e-05,517.0
2,Q1,0,-1.3141395842570404e-05,1299.0
2,Q2,1,-1.4049176982066232e-05,1255.0
2,Q3,2,-2.8310426312507812e-05,507.0
2,S1,3,-1.949808563156424e-05,1005.0
2,S2,4,-2.182803622032859e-05,879.0
2,S3,5,-4.002494961097524e-05,117.0
2,S4,6,-3.1440600083217984e-05,349.0
3,Q1,0,-1.9853100711845047e-05,988.0
3,Q2,1,-1.7769782356905692e-05,1068.0
3,Q3,2,-2.8760843954479143e-05,482.0
3,S1,3,-2.8738772660811084e-05,485.0
3,S2,4,-2.630484092546456e-05,626.0
3,S3,5,-2.9095808121492374e-05,462.0
3,S4,6,-3.750748561042231e-05,161.0
4,Q1,0,-1.6396104027458045e-05,1139.0
4,Q2,1,-1.4498178598966446e-05,1237.0
4,Q3,2,-2.9449933442930138e-05,444.0
4,S1,3,-2.4697548039605702e-05,714.0
4,S2,4,-3.669792769472624e-05,182.0
4,S3,5,-3.38704395286315e-05,256.0
4,S4,6,-3.655400921140775e-05,185.0
5,Q1,0,-1.161349449849598e-05,1357.0
5,Q2,1,-7.393287896855833e-06,1524.0
5,Q3,2,-2.65025725644362e-05,616.0
5,S1,3,-1.6351225265883715e-05,1145.0
5,S2,4,-2.020926434008765e-05,968.0
5,S3,5,-2.740454286322177e-05,557.0
5,S4,6,-2.957741025427137e-05,440.0
6,Q1,0,-1.5467916746809968e-05,1191.0
6,Q2,1,-1.2188450323006004e-05,1340.0
6,Q3,2,-2.883000773196741e-05,478.0
6,S1,3,-2.790643883494362e-05,523.0
6,S2,4,-2.552580146252976e-05,665.0
6,S3,5,-3.244407931005678e-05,303.0
6,S4,6,-3.909114092039551e-05,131.0
7,Q1,0,-2.3492287924524596e-05,783.0
7,Q2,1,-1.3608137257010214e-05,1276.0
7,Q3,2,-2.5097685203566724e-05,691.0
7,S1,3,-2.034322881431942e-05,959.0
7,S2,4,-3.436102554024646e-05,237.0
7,S3,5,-3.59900578260562e-05,200.0
7,S4,6,-3.125824804121022e-05,355.0
8,Q1,0,-1.092676536255307e-05,1390.0
8,Q2,1,-1.2210909166935098e-05,1338.0
8,Q3,2,-2.7273948123828574e-05,569.0
8,S1,3,-2.6327358873914215e-05,623.0
8,S2,4,-2.404279246310424e-05,758.0
8,S3,5,-2.5329637693671574e-05,678.0
8,S4,6,-3.672841713957422e-05,180.0
9,Q1,0,-4.334187908791371e-06,1632.0
9,Q2,1,1.5160076739996754e-06,1703.0
9,Q3,2,-2.4961181911057775e-05,701.0
9,S1,3,-7.607219318373167e-06,1517.0
9,S2,4,-1.623865648870338e-05,1155.0
9,S3,5,-2.208141441788172e-05,860.0
9,S4,6,-2.083506444276213e-05,927.0
10,Q1,0,-1.2058133331706953e-05,1343.0
10,Q2,1,-9.708163992455504e-06,1450.0
10,Q3,2,-2.323761254933474e-05,797.0
10,S1,3,-1.679002853649304e-05,1113.0
10,S2,4,-2.7141734638021006e-05,576.0
10,S3,5,-3.3317639515391746e-05,272.0
10,S4,6,-2.7301940988083208e-05,567.0
11,Q1,0,-1.7700781741232162e-05,1071.0
11,Q2,1,-1.655892181163116e-05,1129.0
11,Q3,2,-2.6026956614690746e-05,640.0
11,S1,3,-2.733276360258025e-05,564.0
11,S2,4,-2.6956811051575883e-05,594.0
11,S3,5,-3.0404397980827214e-05,401.0
11,S4,6,-3.061683084314115e-05,391.0
12,Q1,0,-1.3574119055408594e-05,1279.0
12,Q2,1,-1.1885593585340229e-05,1348.0
12,Q3,2,-2.4189055003533363e-05,744.0
12,S1,3,-2.3285284248611426e-05,794.0
12,S2,4,-2.8886721508531517e-05,474.0
12,S3,5,-2.7006425384489676e-05,587.0
12,S4,6,-3.228378643735628e-05,308.0
13,Q1,0,-1.6242860615027923e-05,1154.0
13,Q2,1,-1.0593854155687647e-05,1410.0
13,Q3,2,-2.5217077351416934e-05,685.0
13,S1,3,-2.2367956719530107e-05,847.0
13,S2,4,-2.897204445886211e-05,469.0
13,S3,5,-2.7308195236771154e-05,566.0
13,S4,6,-3.6939710294921e-05,176.0
14,Q1,0,-5.678310005935808e-07,1731.0
14,Q2,1,1.515393961032178e-06,1704.0
14,Q3,2,-1.5126146452812014e-05,1204.0
14,S1,3,-7.938916864707921e-06,1503.0
14,S2,4,-1.1076746175018114e-05,1387.0
14,S3,5,-2.4692319339505353e-05,715.0
14,S4,6,-1.7582980894154352e-05,1080.0
15,Q1,0,-9.054133253508764e-06,1471.0
15,Q2,1,-9.552127136027318e-06,1453.0
15,Q3,2,-3.0367516349906492e-05,404.0
15,S1,3,-1.625739292710664e-05,1153.0
15,S2,4,-2.4393667772595024e-05,730.0
15,S3,5,-3.209808093715444e-05,317.0
15,S4,6,-2.7743146952023763e-05,541.0
16,Q1,0,-1.4321904225492692e-05,1241.0
16,Q2,1,-1.371615672050218e-05,1269.0
16,Q3,2,-2.7583189289817273e-05,547.0
16,S1,3,-2.196636287477935e-05,871.0
16,S2,4,-3.296265092308726e-05,284.0
16,S3,5,-3.435247619617358e-05,238.0
16,S4,6,-3.148793482811845e-05,347.0
17,Q1,0,-1.6044650526496123e-05,1161.0
17,Q2,1,-1.9861748129840127e-05,986.0
17,Q3,2,-2.3991080976880072e-05,761.0
17,S1,3,-2.5485622314643987e-05,668.0
17,S2,4,-3.097311141783801e-05,369.0
17,S3,5,-2.7867942574122028e-05,528.0
17,S4,6,-3.3784635370751346e-05,261.0
18,Q1,0,-1.738614105019332e-05,1088.0
18,Q2,1,-9.719682991341012e-06,1449.0
18,Q3,2,-2.5980720535980587e-05,649.0
18,S1,3,-3.5890773212701884e-05,204.0
18,S2,4,-2.8601029419214683e-05,488.0
18,S3,5,-3.162520872979996e-05,338.0
18,S4,6,-4.318137363861002e-05,87.0
19,Q1,0,-2.4722683309241453e-05,712.0
19,Q2,1,-1.1087102667442597e-05,1385.0
19,Q3,2,-3.2215817249804725e-05,312.0
19,S1,3,-3.3061413317876195e-05,282.0
19,S2,4,-3.2448355704714285e-05,302.0
19,S3,5,-3.390647578350053e-05,253.0
19,S4,6,-3.6598771783816595e-05,184.0
20,Q1,0,-3.085868490767474e-06,1670.0
20,Q2,1,-1.465341590863928e-07,1744.0
20,Q3,2,-1.4693652878453782e-05,1228.0
20,S1,3,-1.7057686869328277e-05,1104.0
20,S2,4,-2.3610723586622958e-05,779.0
20,S3,5,-2.2418052162745932e-05,843.0
20,S4,6,-2.4776216702236845e-05,710.0
21,Q1,0,-1.0072224097193685e-05,1430.0
21,Q2,1,-1.1420962186841108e-05,1369.0
21,Q3,2,-3.0525556030759484e-05,395.0
21,S1,3,-1.7567472214913696e-05,1081.0
21,S2,4,-2.2384428650646317e-05,846.0
21,S3,5,-2.9747421493683612e-05,430.0
21,S4,6,-2.92240508739564e-05,455.0
22,Q1,0,-1.715932172019288e-05,1099.0
22,Q2,1,-1.5494660979918566e-05,1189.0
22,Q3,2,-3.379184160954999e-05,260.0
22,S1,3,-2.6672227232802932e-05,612.0
22,S2,4,-2.8586872118527417e-05,491.0
22,S3,5,-3.1422075369877845e-05,350.0
22,S4,6,-3.992421716748523e-05,118.0
23,Q1,0,-1.2860649956983481e-05,1311.0
23,Q2,1,-1.1449643838990356e-05,1366.0
23,Q3,2,-2.7561010801414063e-05,548.0
23,S1,3,-2.3329628553288736e-05,790.0
23,S2,4,-2.0621802958431138e-05,943.0
23,S3,5,-3.389438113168883e-05,254.0
23,S4,6,-3.483816701623163e-05,225.0
24,Q1,0,-1.4134972672086172e-05,1249.0
24,Q2,1,-1.3225571731878098e-05,1291.0
24,Q3,2,-3.183344677743032e-05,325.0
24,S1,3,-2.4252104149692215e-05,737.0
24,S2,4,-3.5652906639878736e-05,211.0
24,S3,5,-3.2238869235092804e-05,311.0
24,S4,6,-3.343324902393944e-05,268.0
25,Q1,0,-1.6623826332695246e-05,1121.0
25,Q2,1,-1.301641576194254e-05,1303.0
25,Q3,2,-2.736891989960145e-05,560.0
25,S1,3,-2.593435366211115e-05,650.0
25,S2,4,-3.016070199503362e-05,414.0
25,S3,5,-3.8725135540678764e-05,141.0
25,S4,6,-3.465694333058558e-05,228.0
26,Q1,0,-1.7759556530098136e-05,1069.0
26,Q2,1,-1.4769696890384469e-05,1221.0
26,Q3,2,-2.720889110584613e-05,574.0
26,S1,3,-2.488524978897076e-05,703.0
26,S2,4,-3.82505888174982e-05,146.0
26,S3,5,-3.671717168036812e-05,181.0
26,S4,6,-3.201353979663343e-05,323.0
27,Q1,0,8.602920452770693e-06,1483.0
27,Q2,1,1.0293188417923688e-05,1422.0
27,Q3,2,-6.0311937220392725e-06,1570.0
27,S1,3,-8.691792653783075e-06,1479.0
27,S2,4,-9.814052484563568e-06,1441.0
27,S3,5,-8.524572298549456e-06,1486.0
27,S4,6,-2.045916455609411e-05,955.0
28,Q1,0,-6.729386562149275e-06,1548.0
28,Q2,1,-4.627988434193665e-06,1623.0
28,Q3,2,-2.0314206076039905e-05,963.0
28,S1,3,-1.7675038409488788e-05,1073.0
28,S2,4,-1.7992264980496316e-05,1061.0
28,S3,5,-2.0030163959829403e-05,978.0
28,S4,6,-2.166978773504808e-05,889.0
29,Q1,0,-7.913782660077934e-06,1504.0
29,Q2,1,-5.925992178674915e-06,1576.0
29,Q3,2,-2.642708813515347e-05,619.0
29,S1,3,-2.1799767135789892e-05,882.0
29,S2,4,-2.895507064854397e-05,471.0
29,S3,5,-2.5106727070293162e-05,690.0
29,S4,6,-3.115097515730353e-05,363.0
30,Q1,0,-4.468003898788194e-06,1626.0
30,Q2,1,-1.2098463356288452e-06,1715.0
30,Q3,2,-1.800511076094609e-05,1060.0
30,S1,3,-1.8886319248629118e-05,1023.0
30,S2,4,-2.0572623365787695e-05,948.0
30,S3,5,-3.0919397820347194e-05,373.0
30,S4,6,-2.204936832763511e-05,865.0
31,Q1,0,-9.224487317736183e-06,1465.0
31,Q2,1,-1.6469287187974584e-05,1136.0
31,Q3,2,-2.4169102855655696e-05,748.0
31,S1,3,-2.0475656696444012e-05,952.0
31,S2,4,-2.2431604464210262e-05,842.0
31,S3,5,-3.2433300860411345e-05,304.0
31,S4,6,-3.1812321861447555e-05,327.0
32,Q1,0,-1.0189080324122997e-05,1427.0
32,Q2,1,-1.4717916604721548e-05,1226.0
32,Q3,2,-2.388034540280796e-05,765.0
32,S1,3,-2.193349907769258e-05,874.0
32,S2,4,-2.1558093765129896e-05,896.0
32,S3,5,-2.5152492906670164e-05,687.0
32,S4,6,-3.031256733251078e-05,408.0
33,Q1,0,-5.31436819750624e-06,1598.0
33,Q2,1,-7.2733846068098515e-06,1530.0
33,Q3,2,-2.4286489226532093e-05,733.0
33,S1,3,-2.3105635355238842e-05,807.0
33,S2,4,-2.3235997698955794e-05,798.0
33,S3,5,-3.062068672701215e-05,390.0
33,S4,6,-3.0559261065948126e-05,392.0
34,Q1,0,5.265860262018039e-06,1599.0
34,Q2,1,5.167107455620188e-06,1606.0
34,Q3,2,-1.1240052330590444e-05,1372.0
34,S1,3,-1.2773802194839894e-05,1317.0
34,S2,4,-1.0661663338240534e-05,1406.0
34,S3,5,-1.22821953760993e-05,1335.0
34,S4,6,-1.2856307203504792e-05,1312.0
35,Q1,0,-6.693184863179821e-06,1550.0
35,Q2,1,-8.458729236071735e-06,1488.0
35,Q3,2,-1.782243907937627e-05,1065.0
35,S1,3,-1.6610270258738168e-05,1123.0
35,S2,4,-2.3698667487109648e-05,775.0
35,S3,5,-3.7065272396149966e-05,173.0
35,S4,6,-2.779989890709872e-05,536.0
36,Q1,0,-1.5306435007050965e-05,1196.0
36,Q2,1,-1.0345032238596678e-05,1418.0
36,Q3,2,-2.7687561262291767e-05,542.0
36,S1,3,-2.9751402561978002e-05,429.0
36,S2,4,-3.340856815254898e-05,269.0
36,S3,5,-2.547344661674598e-05,670.0
36,S4,6,-2.9970170490896628e-05,419.0
37,Q1,0,-4.839709720070237e-06,1616.0
37,Q2,1,-3.591020757604674e-06,1652.0
37,Q3,2,-1.7857136860106505e-05,1064.0
37,S1,3,-1.4912459452661918e-05,1216.0
37,S2,4,-2.3020963235811978e-05,812.0
37,S3,5,-2.4565988367428705e-05,724.0
37,S4,6,-2.62685737460431e-05,627.0
38,Q1,0,-1.3964240774373652e-05,1261.0
38,Q2,1,-1.0020288871988322e-05,1432.0
38,Q3,2,-2.8337456983458968e-05,505.0
38,S1,3,-2.3759539497802105e-05,773.0
38,S2,4,-2.7921826235193757e-05,522.0
38,S3,5,-3.8148468029351726e-05,148.0
38,S4,6,-3.202071187897354e-05,322.0
39,Q1,0,-1.684380650262437e-05,1111.0
39,Q2,1,-8.153969100653395e-06,1500.0
39,Q3,2,-2.4649368888940472e-05,719.0
39,S1,3,-2.1705569952617708e-05,888.0
39,S2,4,-2.6736431348166644e-05,606.0
39,S3,5,-2.313277217319614e-05,804.0
39,S4,6,-3.064256344785953e-05,389.0
40,Q1,0,-1.8197738423405805e-05,1053.0
40,Q2,1,-7.703535742734242e-06,1511.0
40,Q3,2,-2.5798536961036137e-05,653.0
40,S1,3,-3.173904007652608e-05,330.0
40,S2,4,-2.8438233101181438e-05,498.0
40,S3,5,-2.4115088555233054e-05,751.0
40,S4,6,-3.2539012487230205e-05,298.0
41,Q1,0,4.509813157543438e-06,1625.0
41,Q2,1,9.516158238672831e-07,1722.0
41,Q3,2,-1.0995568831492608e-05,1389.0
41,S1,3,-1.4717081621003083e-05,1227.0
41,S2,4,-1.6323542990954157e-05,1149.0
41,S3,5,-1.5181315124765027e-05,1202.0
41,S4,6,-2.2443883357935667e-05,841.0
42,Q1,0,-1.1500705941078e-05,1364.0
42,Q2,1,-1.1187397504409759e-05,1377.0
42,Q3,2,-2.0581449414125172e-05,945.0
42,S1,3,-2.1077144219926625e-05,917.0
42,S2,4,-2.6379448386944035e-05,622.0
42,S3,5,-2.2690359777713407e-05,826.0
42,S4,6,-2.6858886612072756e-05,600.0
43,Q1,0,-1.7341131035601307e-05,1090.0
43,Q2,1,-7.825780292640311e-06,1507.0
43,Q3,2,-2.0998135904585174e-05,919.0
43,S1,3,-2.2028344317090078e-05,867.0
43,S2,4,-2.354672591545206e-05,782.0
43,S3,5,-3.580919147142783e-05,208.0
43,S4,6,-3.539435612959855e-05,219.0
44,Q1,0,-3.5325300118061015e-06,1656.0
44,Q2,1,1.8122370546536061e-06,1693.0
44,Q3,2,-8.618089812827891e-06,1482.0
44,S1,3,-1.2904422206146999e-05,1309.0
44,S2,4,-1.6593929535891684e-05,1126.0
44,S3,5,-1.2973666838024199e-05,1307.0
44,S4,6,-2.401936538749984e-05,759.0
45,Q1,0,-1.192059465494796e-05,1347.0
45,Q2,1,-8.453061462003212e-06,1490.0
45,Q3,2,-2.3145917903415893e-05,803.0
45,S1,3,-2.5549942120417574e-05,664.0
45,S2,4,-2.8649643939431115e-05,486.0
45,S3,5,-2.4131005504591483e-05,750.0
45,S4,6,-2.9002337485722397e-05,466.0
46,Q1,0,-1.361620192048971e-05,1274.0
46,Q2,1,-4.130944361607608e-06,1635.0
46,Q3,2,-3.768015124950959e-05,158.0
46,S1,3,-2.5551732878969666e-05,663.0
46,S2,4,-2.5739460129868508e-05,656.0
46,S3,5,-2.599430728601962e-05,648.0
46,S4,6,-3.277211044107128e-05,291.0
47,Q1,0,-1.6943814015119704e-05,1105.0
47,Q2,1,-1.333828042402784e-05,1288.0
47,Q3,2,-2.8741383321759027e-05,484.0
47,S1,3,-2.393875054535846e-05,764.0
47,S2,4,-2.9752899258996077e-05,428.0
47,S3,5,-2.5119583270781877e-05,688.0
47,S4,6,-3.603406072522648e-05,195.0
48,Q1,0,-1.526084292314849e-05,1197.0
48,Q2,1,-8.789552634334196e-06,1478.0
48,Q3,2,-2.2871040498005914e-05,817.0
48,S1,3,-2.259287072358947e-05,832.0
48,S2,4,-2.6940843380940555e-05,596.0
48,S3,5,-2.608536584345784e-05,636.0
48,S4,6,-4.0167243937121164e-05,115.0
49,Q1,0,-1.1541228693925803e-05,1363.0
49,Q2,1,-1.0018455092924767e-05,1433.0
49,Q3,2,-2.6959900558427473e-05,592.0
49,S1,3,-2.3013581080349875e-05,813.0
49,S2,4,-3.1349414976789545e-05,351.0
49,S3,5,-3.634375692545627e-05,191.0
49,S4,6,-3.667459039409687e-05,183.0
50,Q1,0,4.3930561495648596e-06,1628.0
50,Q2,1,3.5903944965489747e-06,1653.0
50,Q3,2,-1.0853702592997414e-05,1396.0
50,S1,3,-6.301788143603777e-06,1560.0
50,S2,4,-1.3040297766117916e-05,1302.0
50,S3,5,-1.53236544098107e-05,1195.0
50,S4,6,-2.3351342834277887e-05,787.0
51,Q1,0,-4.795406105190317e-06,1620.0
51,Q2,1,-7.294851675474792e-06,1529.0
51,Q3,2,-1.9545955278559672e-05,999.0
51,S1,3,-2.1499834410854588e-05,899.0
51,S2,4,-2.3620940917716104e-05,778.0
51,S3,5,-2.605684031510348e-05,637.0
51,S4,6,-3.120780707729365e-05,359.0
52,Q1,0,-1.814385578552223e-05,1055.0
52,Q2,1,-1.2848699538857609e-05,1313.0
52,Q3,2,-3.7471653321921086e-05,162.0
52,S1,3,-2.5406016334072746e-05,674.0
52,S2,4,-2.8957703931519544e-05,470.0
52,S3,5,-2.996734602989956e-05,420.0
52,S4,6,-4.152941898975057e-05,103.0
53,Q1,0,-1.301354401483889e-05,1304.0
53,Q2,1,-5.952870974716039e-06,1574.0
53,Q3,2,-1.8847794907064557e-05,1027.0
53,S1,3,-2.632086692361607e-05,624.0
53,S2,4,-2.2098470992389147e-05,858.0
53,S3,5,-2.7878832412142402e-05,527.0
53,S4,6,-3.728772857362469e-05,166.0
54,Q1,0,-1.2484084452932477e-05,1324.0
54,Q2,1,-1.6617403167578604e-05,1122.0
54,Q3,2,-2.2356353626225393e-05,848.0
54,S1,3,-2.1942043917621185e-05,872.0
54,S2,4,-3.4679810392147164e-05,227.0
54,S3,5,-2.8822258231997732e-05,479.0
54,S4,6,-4.08963003469842e-05,108.0
55,Q1,0,-1.4898537488072223e-05,1218.0
55,Q2,1,-1.209956356976537e-05,1342.0
55,Q3,2,-2.9236700346561553e-05,454.0
55,S1,3,-2.2054061465289617e-05,864.0
55,S2,4,-2.703846438729536e-05,584.0
55,S3,5,-2.4046814690791703e-05,757.0
55,S4,6,-3.9540790329148884e-05,124.0
56,Q1,0,5.787010287485108e-06,1583.0
56,Q2,1,5.830909035290004e-06,1580.0
56,Q3,2,-9.84454243445504e-06,1439.0
56,S1,3,-1.392291026892349e-05,1262.0
56,S2,4,-1.4102212787501323e-05,1252.0
