feature_set,alpha,n_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc,full_fit_mae,h012_delta_pred_loo,rank_score,public_perm_p
all,100.0,88,0.0012048825589427796,0.001485627733512531,0.44060150375939844,0.6578947368421053,0.0009012692441020296,0.0029413149644600765,0.001994901487981564,0.0
public_routes,100.0,61,0.0012082983181965657,0.0016279647239772137,0.3413533834586466,0.6052631578947368,0.0009316623952189535,0.004609504083838766,0.0021112874188569425,1.0
human_memory,100.0,64,0.0012555466763179046,0.0015938273081680689,0.3443609022556391,0.6105263157894737,0.0009232811281997064,0.003970038395572533,0.0021349930732436906,1.0
identity,0.1,40,0.0013236016670248173,0.0019963759689002325,0.29624060150375936,0.6210526315789474,0.0001553352952476209,0.004681299341620006,0.002467411460343803,1.0
routes_no_subject,100.0,74,0.0014943485987003278,0.00211888674853421,0.5157894736842105,0.7105263157894737,0.0010141448668829806,0.006971158213380634,0.0026779407747212483,1.0
routes_no_subject,1000.0,74,0.0015692169594324532,0.0023273286202915365,-0.21052631578947367,0.4263157894736842,0.0012917824521585602,0.007920956917218322,0.003017770036306163,1.0
all,1000.0,88,0.0015698635967339894,0.002370100825569434,-0.21052631578947367,0.4263157894736842,0.0012567422593544111,0.008291018171569154,0.003046218607038332,1.0
human_memory,1000.0,64,0.0015648822228399224,0.0023617489783769605,-0.26616541353383455,0.38421052631578945,0.0013006945722652322,0.008199680357668309,0.0030497934948751724,1.0
identity,100.0,40,0.0015093751235244614,0.0026580595948127966,-0.02706766917293233,0.4473684210526316,0.0009773163004530329,0.010425023249195704,0.0031503469428595466,1.0
public_routes,1000.0,61,0.0015844695406076025,0.0024823003449708377,-0.34285714285714286,0.3526315789473684,0.0013024553002614115,0.008973732607139528,0.0031617241633348876,1.0
routes_no_subject,10.0,74,0.0014919675826378773,0.0028946679269456835,0.6030075187969924,0.7263157894736842,0.000576214184434413,-0.01172809468637853,0.0031679378253781356,1.0
identity,1000.0,40,0.0016107259662431531,0.002574618066364273,-0.6180451127819548,0.22631578947368422,0.0013678669598880273,0.009427342983744959,0.003300769062763389,1.0
identity,10.0,40,0.0014630491719539365,0.00336665177433912,0.156390977443609,0.5263157894736842,0.0005772669528312892,0.014268299821082681,0.0035304705696352673,1.0
routes_no_subject,1.0,74,0.0014600193705724895,0.0036377681958077775,0.48872180451127817,0.7105263157894737,0.0002169317654960626,-0.015070337446508769,0.0036335912542385224,1.0
routes_no_subject,0.1,74,0.0016515817366583138,0.0038680369390324022,0.4541353383458646,0.6842105263157895,8.428975662490568e-05,-0.015403971268476445,0.003983550107931631,1.0
human_memory,10.0,64,0.001771615188334465,0.004127621455437979,0.24812030075187969,0.5842105263157895,0.0005250522308145357,-0.01743567067982935,0.004312914999030805,1.0
public_routes,10.0,61,0.0017608470715860703,0.004627133659195225,0.4661654135338345,0.6578947368421053,0.0005395981373901508,-0.02009877463764936,0.004590288461341162,1.0
identity,1.0,40,0.0019305903247208045,0.004964626050939086,0.18045112781954886,0.5421052631578948,0.0003407471318069303,0.021590634721095188,0.005031131092417676,1.0
all,10.0,88,0.002072079893580577,0.005403702114701425,0.21052631578947367,0.5736842105263158,0.0005096355281725447,-0.023353890229486342,0.005448696794452293,1.0
routes_no_subject,0.01,74,0.002705913842913784,0.0076927974430568225,0.3804511278195489,0.6526315789473685,3.87023058649608e-05,-0.033417764230918495,0.00753766075232929,1.0
public_routes,1.0,61,0.0025982218357345392,0.008233516027160723,0.42255639097744363,0.6421052631578947,0.0002501797806693691,-0.03641910933902765,0.007779330561659686,1.0
all,1.0,88,0.0027323450185426064,0.008131655275122674,0.2827067669172932,0.6157894736842106,0.00020245668560860217,-0.035257453209645996,0.007866492375943774,1.0
human_memory,1.0,64,0.0027987671837513437,0.00834050834085943,0.28120300751879695,0.6105263157894737,0.00021656323860080032,-0.03614016875292181,0.0080698720414002,1.0
identity,0.01,40,0.0036825421804338636,0.009650994587708727,0.2300751879699248,0.6,7.001361021889704e-05,-0.041390931705843514,0.009812681143647545,1.0
routes_no_subject,0.001,74,0.00324169821262603,0.010497621823934841,0.437593984962406,0.6789473684210526,1.382965758249888e-05,-0.04637395390355738,0.009885603526003227,1.0
human_memory,0.1,64,0.003374190981536481,0.01089548263320006,0.437593984962406,0.7105263157894737,5.436418960713865e-05,-0.047504675966301466,0.010270390031462386,1.0
all,0.1,88,0.0034152686808392695,0.011226290603762389,0.40451127819548865,0.7052631578947368,5.155920297054356e-05,-0.04914125914069739,0.010530853813886326,1.0
public_routes,0.1,61,0.0033871269661322144,0.012163733697672652,0.5293233082706766,0.7157894736842105,7.140757371993239e-05,-0.05414192830896271,0.01109746364405553,1.0
routes_no_subject,0.0001,74,0.003954499120401902,0.013153442722303463,0.437593984962406,0.6842105263157895,3.5594306701722084e-06,-0.058044506373041704,0.012323635386139755,1.0
human_memory,0.01,64,0.004260417851984135,0.014421981714587981,0.556390977443609,0.7578947368421053,2.069132195359159e-05,-0.06347524111472813,0.01342748792135354,1.0
all,0.01,88,0.004295495974433135,0.014677194125355826,0.5323308270676691,0.7526315789473684,1.9282674406310117e-05,-0.06469875637639469,0.013631912757418181,1.0
public_routes,0.01,61,0.004293346182184308,0.015815526368894727,0.6902255639097743,0.7842105263157895,2.4174826108599912e-05,-0.07049279893078014,0.014347573660311747,1.0
identity,0.0001,40,0.005211617374038026,0.015996418141112606,0.25112781954887214,0.6,6.5176832805532995e-06,-0.07058571918363012,0.015464176383806334,1.0
