seed,train_pairs,val_pairs,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy,best_val_loss,best_val_accuracy,normalization,view,device,channels_selected,channel_groups_selected,embedding_dim,embedding_norm_mean,embedding_axis_std_mean,embedding_axis_std_min,embedding_effective_rank,subject_centroid_leakage,adjacent_cosine_mean,random_cosine_mean,temporal_locality_gap,train_sample_mean_l2,train_sample_std_l2
2027,566,124,0.6960733895167024,0.4911660777385159,0.6966641545295715,0.5,0.6931996941566467,0.5080645161290323,subject_channel_token,event+cross_modal,mps,13,"['cross_modal', 'event']",24,4.9332966804504395,0.0934741273522377,0.05616021156311035,4.72970432947642,0.24,0.9924415412156479,0.9905539454757304,0.0018875957399174803,0.03232938423752785,0.01881227269768715
2027,566,124,0.6951950167177423,0.5017667844522968,0.6949344873428345,0.4959677419354839,0.6932181715965271,0.5040322580645161,subject_channel_token,event+missingness,mps,32,"['event', 'missingness']",24,4.959083557128906,0.15457086265087128,0.04966632276773453,2.204483125197749,0.15142857142857144,0.9802885799304298,0.9714269568954689,0.008861623034960964,0.0770496055483818,0.15400852262973785
2026,566,124,0.6947017434207795,0.5353356890459364,0.6946201920509338,0.49193548387096775,0.6933916211128235,0.5201612903225806,subject_channel_token,event+cross_modal,mps,13,"['cross_modal', 'event']",24,4.930485248565674,0.12321814894676208,0.06409531086683273,4.662207973818844,0.28,0.987814398088317,0.9830467257810676,0.004767672307249393,0.039116792380809784,0.03123335912823677
2026,566,124,0.690079759793231,0.5159010600706714,0.7073037028312683,0.4112903225806452,0.6939690113067627,0.5,subject_channel_token,event+missingness,mps,32,"['event', 'missingness']",24,4.916042804718018,0.20707331597805023,0.05755101144313812,1.9126119208601402,0.23285714285714285,0.9632034321626027,0.9418790119281714,0.021324420234431374,0.11785943061113358,0.21814721822738647
