heldout_subject,target,accepted,policy,decoder_action,fraction,heldout_selected_cells,heldout_gain_sum,heldout_positive_gain_rate,accept_reason
id01,Q1,True,release_high_decisive,raw_memory_release,0.04,2,-0.01460414819938538,0.5,positive_gain_subject_balance_target_shuffle_lift
id01,Q2,True,release_high_all,raw_memory_release,0.25,10,-0.33271279589106406,0.4,positive_gain_subject_balance_target_shuffle_lift
id01,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.02,1,0.08366556383992707,1.0,positive_gain_subject_balance_target_shuffle_lift
id01,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id01,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id01,S3,True,release_high_decisive,raw_memory_release,0.06,2,-0.2902485662371359,0.0,positive_gain_subject_balance_target_shuffle_lift
id01,S4,True,release_high_decisive,raw_memory_release,0.18,0,0.0,,positive_gain_subject_balance_target_shuffle_lift
id02,Q1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id02,Q2,True,release_high_all,raw_memory_release,0.18,9,-1.2481103672090175,0.3333333333333333,positive_gain_subject_balance_target_shuffle_lift
id02,Q3,True,release_high_decisive,raw_memory_release,0.14,6,0.5790032056729367,0.8333333333333334,positive_gain_subject_balance_target_shuffle_lift
id02,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id02,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id02,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,3,-0.056699329998730286,0.6666666666666666,positive_gain_subject_balance_target_shuffle_lift
id02,S4,True,release_high_all,raw_memory_release,0.18,9,0.7771516001517778,0.8888888888888888,positive_gain_subject_balance_target_shuffle_lift
id03,Q1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id03,Q2,True,release_high_all,raw_memory_release,0.25,8,-0.18871201240528185,0.75,positive_gain_subject_balance_target_shuffle_lift
id03,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.02,1,-0.20831028993635248,0.0,positive_gain_subject_balance_target_shuffle_lift
id03,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id03,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id03,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,2,-0.2529991953164654,0.5,positive_gain_subject_balance_target_shuffle_lift
id03,S4,True,release_high_decisive,raw_memory_release,0.18,4,-0.17358089104492913,0.5,positive_gain_subject_balance_target_shuffle_lift
id04,Q1,True,release_high_decisive,raw_memory_release,0.02,1,-0.2815482348253573,0.0,positive_gain_subject_balance_target_shuffle_lift
id04,Q2,True,release_high_all,raw_memory_release,0.18,10,0.678149785033266,0.6,positive_gain_subject_balance_target_shuffle_lift
id04,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.02,1,0.12086209417687671,1.0,positive_gain_subject_balance_target_shuffle_lift
id04,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id04,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id04,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,4,0.1640722799321476,0.75,positive_gain_subject_balance_target_shuffle_lift
id04,S4,True,release_high_all,raw_memory_release,0.18,10,-0.01782235727574233,0.6,positive_gain_subject_balance_target_shuffle_lift
id05,Q1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id05,Q2,True,release_high_all,raw_memory_release,0.25,11,0.7637428930187726,0.6363636363636364,positive_gain_subject_balance_target_shuffle_lift
id05,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.25,8,-0.80706665122982,0.375,positive_gain_subject_balance_target_shuffle_lift
id05,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id05,S2,True,release_high_decisive,raw_memory_release,0.25,8,-3.1983411008067115,0.25,positive_gain_subject_balance_target_shuffle_lift
id05,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,3,-0.9136097302721395,0.0,positive_gain_subject_balance_target_shuffle_lift
id05,S4,True,release_high_all,raw_memory_release,0.18,8,-0.2132130128158729,0.5,positive_gain_subject_balance_target_shuffle_lift
id06,Q1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id06,Q2,True,release_high_all,raw_memory_release,0.25,12,0.8581299697206051,0.6666666666666666,positive_gain_subject_balance_target_shuffle_lift
id06,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.02,1,0.1842310552726043,1.0,positive_gain_subject_balance_target_shuffle_lift
id06,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id06,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id06,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,3,0.4483597328936354,1.0,positive_gain_subject_balance_target_shuffle_lift
id06,S4,True,release_high_all,raw_memory_release,0.18,9,0.9107866261484766,0.8888888888888888,positive_gain_subject_balance_target_shuffle_lift
id07,Q1,True,release_high_decisive,raw_memory_release,0.04,1,0.2619603858574972,1.0,positive_gain_subject_balance_target_shuffle_lift
id07,Q2,True,release_high_decisive,raw_memory_release,0.25,10,1.0791099614321311,0.6,positive_gain_subject_balance_target_shuffle_lift
id07,Q3,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id07,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id07,S2,True,release_high_all,raw_memory_release,0.02,1,-0.1533241030969823,0.0,positive_gain_subject_balance_target_shuffle_lift
id07,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,4,0.4680795982127573,1.0,positive_gain_subject_balance_target_shuffle_lift
id07,S4,True,release_high_decisive,raw_memory_release,0.25,9,0.10324631792682792,0.4444444444444444,positive_gain_subject_balance_target_shuffle_lift
id08,Q1,True,release_high_decisive,raw_memory_release,0.04,2,-0.696211341989811,0.0,positive_gain_subject_balance_target_shuffle_lift
id08,Q2,True,release_high_all,raw_memory_release,0.18,10,1.6361999707574602,0.8,positive_gain_subject_balance_target_shuffle_lift
id08,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.25,12,-0.19460627742046316,0.6666666666666666,positive_gain_subject_balance_target_shuffle_lift
id08,S1,True,inverse_low_decisive,inverse_toxic_memory,0.06,2,-1.9627124089131567,0.5,positive_gain_subject_balance_target_shuffle_lift
id08,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id08,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,5,-0.644394945170832,0.4,positive_gain_subject_balance_target_shuffle_lift
id08,S4,True,release_high_all,raw_memory_release,0.18,10,0.7416053509933019,0.8,positive_gain_subject_balance_target_shuffle_lift
id09,Q1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id09,Q2,True,release_high_all,raw_memory_release,0.18,7,-0.8851359172826949,0.2857142857142857,positive_gain_subject_balance_target_shuffle_lift
id09,Q3,True,inverse_low_decisive,inverse_toxic_memory,0.02,1,0.07864760772860485,1.0,positive_gain_subject_balance_target_shuffle_lift
id09,S1,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id09,S2,False,hold,none,0.0,0,0.0,,no_policy_passed_subject_balance_gate
id09,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,3,-0.4041550578846541,0.6666666666666666,positive_gain_subject_balance_target_shuffle_lift
id09,S4,True,release_high_decisive,raw_memory_release,0.18,6,0.370713843510853,0.6666666666666666,positive_gain_subject_balance_target_shuffle_lift
id10,Q1,True,release_high_decisive,raw_memory_release,0.08,2,-0.3180487647040152,0.0,positive_gain_subject_balance_target_shuffle_lift
id10,Q2,True,release_high_all,raw_memory_release,0.18,6,-0.13889284361334464,0.6666666666666666,positive_gain_subject_balance_target_shuffle_lift
id10,Q3,True,release_high_decisive,raw_memory_release,0.14,4,0.21436733344977926,0.75,positive_gain_subject_balance_target_shuffle_lift
id10,S1,True,release_high_decisive,raw_memory_release,0.02,1,-0.7618551115596885,0.0,positive_gain_subject_balance_target_shuffle_lift
id10,S2,True,release_high_all,raw_memory_release,0.02,1,0.09047322922779333,1.0,positive_gain_subject_balance_target_shuffle_lift
id10,S3,True,inverse_low_decisive,inverse_toxic_memory,0.1,3,-0.8848459010439127,0.3333333333333333,positive_gain_subject_balance_target_shuffle_lift
id10,S4,True,release_high_decisive,raw_memory_release,0.18,5,-0.4994972948822102,0.4,positive_gain_subject_balance_target_shuffle_lift
