target,selected_cells,gain_sum,mean_gain,positive_gain_rate,positive_subjects,negative_subjects
Q1,8,-1.0484521038610717,-0.13105651298263396,0.25,1,4
Q2,93,2.221768643560832,0.023889985414632605,0.5806451612903226,5,5
Q3,35,0.05079364155409316,0.0014512469015455188,0.6571428571428571,6,3
S1,3,-2.7245675204728452,-0.9081891734909484,0.3333333333333333,0,2
S2,10,-3.2611919746759006,-0.32611919746759005,0.3,1,2
S3,32,-2.3664411148853297,-0.07395128484016655,0.5625,3,7
S4,70,1.9993901827124827,0.02856271689589261,0.6571428571428571,5,4
