subject_id,selected_cells,gain_sum,positive_targets,negative_targets
id02,12,1.4365259359754308,1,0
id03,2,0.2928404015313849,1,0
id04,9,0.010604969614760873,1,0
id05,14,0.3221248420970319,1,0
id06,7,0.8437166505265966,1,0
id07,5,0.7171664350070692,2,0
id08,5,0.573945981269854,2,0
id09,5,0.24681736587281355,1,0
id10,5,-0.008970192006563515,1,1
