heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets,held_targets
id01,15,-0.5538999464876584,-0.03692666309917723,0.4,"Q1,Q2,Q3,S3,S4","S1,S2"
id02,27,0.05134510861696684,0.0019016706895172903,0.6666666666666666,"Q2,Q3,S3,S4","Q1,S1,S2"
id03,15,-0.8236023887030288,-0.054906825913535254,0.6,"Q2,Q3,S3,S4","Q1,S1,S2"
id04,26,0.6637135670411906,0.025527444886199638,0.6153846153846154,"Q1,Q2,Q3,S3,S4","S1,S2"
id05,38,-4.3684876021057715,-0.11496020005541503,0.42105263157894735,"Q2,Q3,S2,S3,S4","Q1,S1"
id06,25,2.4015073840353214,0.09606029536141286,0.8,"Q2,Q3,S3,S4","Q1,S1,S2"
id07,25,1.7590721603322312,0.07036288641328925,0.6,"Q1,Q2,S2,S3,S4","Q3,S1"
id08,41,-1.1201196517435008,-0.027319991505939042,0.6585365853658537,"Q1,Q2,Q3,S1,S3,S4",S2
id09,17,-0.8399295239278912,-0.04940761905458184,0.5294117647058824,"Q2,Q3,S3,S4","Q1,S1,S2"
id10,22,-2.298299353125599,-0.10446815241479995,0.5,"Q1,Q2,Q3,S1,S2,S3,S4",
