held_fold,target,selected_source,source_family,selector_loss,held_loss,base_loss,delta_vs_base
1,Q1,td_future__absolute__c0.3_b0.2,future,0.6700521022227919,0.6552408148507501,0.6542470716001195,0.0009937432506306187
1,Q2,td_recovery__absolute__c0.3_b0.2,recovery,0.6859013119128003,0.7214844852804926,0.7307572647783885,-0.009272779497895955
1,Q3,td_trajectory__deviation__c0.03_b0.2,trajectory,0.6670505722834602,0.6674738648910964,0.681469247009676,-0.013995382118579647
1,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5739749657354346,0.5585774309855461,0.5585774309855461,0.0
1,S2,td_future__absolute__c0.3_b0.2,future,0.5692845293335803,0.5950614193601631,0.593742773904609,0.0013186454555541571
1,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5374680051668604,0.4757292551240594,0.4757292551240594,0.0
1,S4,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.6380156575638214,0.6715881401487505,0.6636272252405176,0.007960914908232808
2,Q1,td_future__absolute__c0.3_b0.2,future,0.6658835327215518,0.6719150928557107,0.6679702981260229,0.003944794729687784
2,Q2,td_trajectory__deviation__c0.3_b0.2,trajectory,0.70125241924344,0.6545552583375528,0.6426397976908295,0.01191546064672333
2,Q3,td_trajectory__deviation__c0.03_b0.2,trajectory,0.6611331180801016,0.6911436817045309,0.7012880431628896,-0.01014436145835873
2,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.570809103944413,0.5712408781496329,0.5712408781496329,0.0
2,S2,td_future__absolute__c0.3_b0.2,future,0.583483245177105,0.5382665559860644,0.5304593985253098,0.007807157460754666
2,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5265472200273725,0.519412395682011,0.519412395682011,0.0
2,S4,best__absolute__c0.03_b0.2,best_late_fusion,0.6541733638938414,0.6045930223012546,0.5956676386398164,0.008925383661438135
3,Q1,td_future__absolute__c0.3_b0.2,future,0.6654373990705572,0.6736996274596889,0.6832968584568578,-0.009597230997168915
3,Q2,td_trajectory__absolute_plus_deviation__c0.3_b0.2,trajectory,0.6800943567516637,0.7517185062486966,0.7619456737896239,-0.010227167540927229
3,Q3,td_trajectory__deviation__c0.03_b0.2,trajectory,0.6696522563221888,0.6570671287361819,0.6686971372379973,-0.011630008501815392
3,S1,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5666930887243538,0.5877721349997931,0.5866456755747026,0.001126459425090487
3,S2,td_future__absolute__c0.3_b0.2,future,0.5817728231296513,0.5451082441758794,0.545294080730821,-0.00018583655494153195
3,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5231994259094707,0.5328035721536187,0.5328035721536187,0.0
3,S4,best__absolute__c0.3_b0.2,best_late_fusion,0.6434540592151542,0.6443758212886054,0.6420737289463703,0.002302092342235107
4,Q1,td_future__absolute__c0.3_b0.2,future,0.6691384480870994,0.65889543139352,0.6617366600645,-0.0028412286709800227
4,Q2,td_trajectory__deviation__c0.3_b0.2,trajectory,0.6949548514101972,0.6797455296705236,0.6733982982840032,0.00634723138652038
4,Q3,td_trajectory__deviation__c0.03_b0.2,trajectory,0.6774635246331516,0.6258220554923307,0.6160964212629707,0.009725634229360014
4,S1,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5637708665418891,0.5994610237296516,0.5982315468350962,0.0012294768945554368
4,S2,td_future__absolute_plus_deviation__c0.3_b0.2,future,0.5727021832559609,0.58525506469862,0.5843673542734815,0.000887710425138466
4,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5312763392846667,0.5004959186528348,0.5004959186528348,0.0
4,S4,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.6343539701105175,0.6788162594456009,0.6788162594456009,0.0
5,Q1,td_future__absolute__c0.3_b0.2,future,0.6649377416399175,0.675698257182248,0.6786577006204288,-0.0029594434381808865
5,Q2,td_trajectory__deviation__c0.1_b0.2,trajectory,0.6947508718584849,0.6811116041315131,0.6997238453093294,-0.018612241177816347
5,Q3,td_trajectory__deviation__c0.3_b0.2,trajectory,0.6600888444947184,0.6986672705550654,0.7018934448756707,-0.003226174320605346
5,S1,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5783082721162816,0.541311401432082,0.5397817623823069,0.0015296390497751
5,S2,td_past__absolute_plus_deviation__c0.1_b0.2,past,0.5610339308615313,0.6510153726552362,0.6377146692173097,0.013300703437926553
5,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.507110285403131,0.5971601341789773,0.5971601341789773,0.0
5,S4,best__absolute__c0.1_b0.2,best_late_fusion,0.6435955175472163,0.6448488504268808,0.6360472876153658,0.008801562811515007
