feature_set,alpha,file,public_lb,delta_vs_h057,frontier_weight,loo_pred_delta,loo_error,changed_cells_vs_h057,mean_abs_logit_move,actual_minus_pred,residual_bad,residual_good,abs_residual,h112_fit_feature_set,h112_fit_alpha
state_core,0.1,submission_h010_objective_s1s4_v2_uploadsafe.csv,0.5781718175,0.0104242236,0.0776803591478935,0.008973765812209,-0.001450457787791,1744,0.38547607953359775,0.0014504577877909996,0.0014504577877909996,0.0,0.0014504577877909996,state_core,0.1
state_core,0.1,submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.0124992253,0.0771456090378402,0.0111495098697903,-0.0013497154302096,1750,0.4360826299951259,0.001349715430209699,0.001349715430209699,0.0,0.001349715430209699,state_core,0.1
state_core,0.1,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,0.0095389149,0.0783897725279045,0.0085647061999723,-0.0009742087000277,1396,0.3736248910783011,0.0009742087000277014,0.0009742087000277014,0.0,0.0009742087000277014,state_core,0.1
state_core,0.1,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.0106797589,0.0775556701008379,0.0116103572309392,0.0009305983309391,1750,0.4146391725674068,-0.0009305983309392009,0.0,0.0009305983309392009,0.0009305983309392009,state_core,0.1
state_core,0.1,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.0105557713,0.0776128606435245,0.0101477709617556,-0.0004080003382444,1750,0.4003861766747443,0.0004080003382444016,0.0004080003382444016,0.0,0.0004080003382444016,state_core,0.1
state_core,0.1,submission_e323_5508f966_uploadsafe.csv,0.5770355016,0.0092879076999999,0.0787060735571085,0.0089465566155638,-0.0003413510844361,1744,0.3726434542138012,0.0003413510844361006,0.0003413510844361006,0.0,0.0003413510844361006,state_core,0.1
state_core,0.1,submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.0120536923,0.0771974678988275,0.0123454216111837,0.0002917293111836,1750,0.41758256462649185,-0.0002917293111836996,0.0,0.0002917293111836996,0.0002917293111836996,state_core,0.1
state_core,0.1,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,0.5761589494,0.0084113555,0.0805093079071783,0.0086598372189795,0.0002484817189794,1258,0.3577555921109575,-0.00024848171897949925,0.0,0.00024848171897949925,0.00024848171897949925,state_core,0.1
state_core,0.1,submission_jepa_latent_residual_probe.csv,0.5812273278,0.0134797339,0.0770812118524393,0.0132916638642904,-0.0001880700357095,1750,0.44347480642958803,0.00018807003570960046,0.00018807003570960046,0.0,0.00018807003570960046,state_core,0.1
state_core,0.1,submission_h050_target_route_phase_b140216b_uploadsafe.csv,0.5679048248,0.0001572309,4.379922090231414,0.0003434229715144,0.0001861920715143,343,0.04362599767946465,-0.0001861920715144,0.0,0.0001861920715144,0.0001861920715144,state_core,0.1
state_core,0.1,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,0.0097787133,0.0781435218763931,0.0099443114055343,0.0001655981055343,1750,0.3869045426824076,-0.0001655981055342995,0.0,0.0001655981055342995,0.0001655981055342995,state_core,0.1
state_core,0.1,submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,0.5762805676,0.0085329737,0.0801739906242014,0.0086790095815844,0.0001460358815843,1258,0.3582983883046723,-0.0001460358815844002,0.0,0.0001460358815844002,0.0001460358815844002,state_core,0.1
state_core,0.1,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,0.0101973818,0.0778156335801241,0.0100551979140242,-0.0001421838859758,1750,0.39470964542245046,0.00014218388597580026,0.00014218388597580026,0.0,0.00014218388597580026,state_core,0.1
state_core,0.1,submission_e267_humansocial_tail_balanced_2936100f.csv,0.5763294974,0.0085819034999999,0.0800483837668966,0.0087055018997463,0.0001235983997463,1268,0.35954360067765995,-0.00012359839974639998,0.0,0.00012359839974639998,0.00012359839974639998,state_core,0.1
state_core,0.1,submission_mixmin_0c916bb4.csv,0.5763066405,0.0085590466,0.0801064221986283,0.0086783168358447,0.0001192702358447,1489,0.3616074958675411,-0.00011927023584469912,0.0,0.00011927023584469912,0.00011927023584469912,state_core,0.1
