candidate_id,alpha_row207,beta_row135_q3,beta_row135_s2,hash,changed_cells_vs_h136,delta_route_vs_h136,delta_h098_vs_h136,delta_h088_vs_h136,delta_margin_vs_h136,delta_route_vs_h141,delta_h098_vs_h141,delta_h088_vs_h141,delta_margin_vs_h141,route,h098,h088,margin,h102_cum_h088_axis_cos,h102_cum_good_bad_margin,h144_target_split_pass,h144_s2_route_toxic,h144_target_xor_score
h144_a1p0_q1p0_s0p0_def80b88,1.0,1.0,0.0,def80b88,4,2.41954477080337e-06,2.1133300229169653e-06,-0.002642642579747091,0.0005069519623773222,1.226747831482508e-06,1.1131599299210463e-06,-0.0012167036841761736,0.0002407893653320059,-0.0007598740528173509,-2.524469821860837e-05,-0.06477530699901735,0.1599480024106699,-0.06477530699901735,0.1599480024106699,True,False,0.07376248646768452
h144_a0p8_q1p0_s0p0_04823b52,0.8,1.0,0.0,04823b52,4,2.4109533785195755e-06,1.993001491448613e-06,-0.0024531360084047785,0.0005604483969030016,1.2181564391987136e-06,9.92831398452694e-07,-0.0010271971128338608,0.0002942857998576853,-0.0007598826442096347,-2.536502675007672e-05,-0.06458580042767503,0.16000149884519557,-0.06458580042767503,0.16000149884519557,True,False,0.07267842263724372
h144_a0p8_q0p8_s0p0_6f5e68c9,0.8,0.8,0.0,6f5e68c9,4,2.412391369562873e-06,1.9009073430350078e-06,-0.0024127317149055458,0.0004937289226933095,1.2195944302420113e-06,9.007372500390888e-07,-0.0009867928193346281,0.00022756632564799317,-0.0007598812062185914,-2.5457120898490326e-05,-0.0645453961341758,0.15993477937098588,-0.0645453961341758,0.15993477937098588,True,False,0.06953072023575732
h144_a1p0_q0p8_s0p0_2fb30140,1.0,0.8,0.0,2fb30140,4,2.4209827618466677e-06,2.021235874503035e-06,-0.0026021071515072505,0.0004403468783477915,1.2281858225258058e-06,1.0210657815071158e-06,-0.001176168255936333,0.0001741842813024752,-0.0007598726148263076,-2.53367923670223e-05,-0.0647347715707775,0.15988139732664036,-0.0647347715707775,0.15988139732664036,False,False,0.061616901602454185
h144_a0p5_q1p0_s0p0_8adc0e03,0.5,1.0,0.0,8adc0e03,4,2.3980708268576435e-06,1.812509252932591e-06,-0.00215968226088193,0.0006184634845483039,1.2052738875367817e-06,8.12339159936672e-07,-0.0007337433653110126,0.0003523008875029876,-0.0007598955267612966,-2.5545518988592743e-05,-0.06429234668015218,0.16005951393284087,-0.06429234668015218,0.16005951393284087,False,False,0.06105130368162329
h144_a0p5_q0p8_s0p0_28a58fb0,0.5,0.8,0.0,28a58fb0,4,2.3995088179007244e-06,1.7204151045190942e-06,-0.0021194962532848152,0.0005516198537591777,1.2067118785798626e-06,7.202450115231752e-07,-0.0006935573577138976,0.00028545725671386135,-0.0007598940887702535,-2.563761313700624e-05,-0.06425216067255507,0.15999267030205175,-0.06425216067255507,0.15999267030205175,False,False,0.057902594190454446
h144_a1p0_q0p5_s0p0_68260e2c,1.0,0.5,0.0,68260e2c,4,2.4231419523622864e-06,1.8830949232916073e-06,-0.002537167428384661,0.0003301113692320279,1.2303450130414246e-06,8.829248302956883e-07,-0.0011112285328137433,6.394877218671158e-05,-0.000759870455635792,-2.5474933318233727e-05,-0.06466983184765492,0.1597711618175246,-0.06466983184765492,0.1597711618175246,False,False,0.056435741109603574
h144_a0p8_q0p5_s0p0_f3e69f23,0.8,0.5,0.0,f3e69f23,4,2.4145505600780583e-06,1.7627663918230382e-06,-0.0023479980660106245,0.00038331195343560553,1.2217536207571964e-06,7.625962988271192e-07,-0.0009220591704397069,0.00011714935639028923,-0.0007598790470280762,-2.5595261849702296e-05,-0.06448066248528088,0.15982436240172818,-0.06448066248528088,0.15982436240172818,False,False,0.05534616751938409
h144_a0p5_q0p5_s0p0_f159e251,0.5,0.5,0.0,f159e251,4,2.4016680084161263e-06,1.5822741533073415e-06,-0.002055105765938252,0.00044100593412471634,1.2088710690952645e-06,5.821040603114225e-07,-0.0006291668703673342,0.00017484333707940003,-0.0007598919295797381,-2.5775754088217992e-05,-0.0641877701852085,0.1598820563824173,-0.0641877701852085,0.1598820563824173,False,False,0.0527163911060862
h144_a0p0_q1p0_s0p0_bf414a49,0.0,1.0,0.0,bf414a49,3,1.1855952297013667e-06,1.4606393875508288e-06,-0.0016463908903813704,0.0006556858526677312,-7.201709619495192e-09,4.604692945549098e-07,-0.00022045199481045274,0.00038952325562241485,-0.0007611080023584529,-2.5897388853974505e-05,-0.06377905530965162,0.1600967363009603,-0.06377905530965162,0.1600967363009603,False,False,0.050877066579274446
