target,score_col,mode,threshold,all_cells,selected_cells,all_gain_sum,selected_gain_sum,improvement_sum,all_positive_gain_rate,selected_positive_gain_rate,active_subjects,subject_count,positive_improvement_subjects,negative_improvement_subjects,no_action_subjects,min_subject_improvement,mean_subject_improvement,score__full_oof_improvement,score__subject_balanced_listener,score__minimax_listener,objective
Q2,wm_energy_calendar_rhythm,all,0.0,12,12,1.976823748523643,1.976823748523643,0.0,0.75,0.75,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,subject_balanced_listener
Q2,wm_energy_calendar_rhythm,low_energy_listener,1.0737811948194949,12,3,1.976823748523643,0.9619644046534381,-1.014859343870205,0.75,1.0,3,4,0,3,1,-0.6979202343533005,-0.2537148359675511,-1.014859343870205,-2.01850749619985,-2.512675589941171,subject_balanced_listener
Q2,wm_energy_calendar_rhythm,high_energy_listener,1.0737811948194949,12,9,1.976823748523643,1.0148593438702045,-0.9619644046534386,0.75,0.6666666666666666,3,4,0,3,1,-0.44766469289440336,-0.24049110116335953,-0.9619644046534386,-1.8029464550348009,-2.1970123321925623,subject_balanced_listener
Q2,wm_energy_calendar_rhythm,low_energy_listener,1.3772241376776004,12,6,1.976823748523643,1.8828345703058011,-0.09398917821784192,0.75,1.0,4,4,0,2,0,-0.05209558668585146,-0.023497294554460382,-0.09398917821784192,-0.48785130956364536,-0.648689544237986,subject_balanced_listener
Q2,wm_energy_calendar_rhythm,high_energy_listener,1.3772241376776004,12,6,1.976823748523643,0.09398917821784153,-1.8828345703058016,0.75,0.5,2,4,0,4,2,-0.6979202343533005,-0.4707086425764503,-1.8828345703058016,-3.0764827226354465,-3.645650816376767,subject_balanced_listener
Q2,wm_energy_calendar_rhythm,low_energy_listener,2.1603295539074265,12,9,1.976823748523643,1.6220289498346725,-0.35479479868897057,0.75,0.7777777777777778,4,4,0,2,0,-0.3129012071569802,-0.08869869967224257,-0.35479479868897057,-0.9181805833410077,-1.1833410662037998,subject_balanced_listener
Q2,wm_energy_calendar_rhythm,high_energy_listener,2.1603295539074265,12,3,1.976823748523643,0.3547947986889703,-1.6220289498346727,0.75,0.6666666666666666,2,4,0,4,2,-0.6979202343533005,-0.4055072374586681,-1.6220289498346727,-2.815677102164318,-3.384845195905638,subject_balanced_listener
Q2,wm_energy_rank_calendar_rhythm,low_energy_listener,0.4333333333333333,12,3,1.976823748523643,0.9619644046534381,-1.014859343870205,0.75,1.0,3,4,0,3,1,-0.6979202343533005,-0.2537148359675511,-1.014859343870205,-2.01850749619985,-2.512675589941171,subject_balanced_listener
Q2,wm_energy_rank_calendar_rhythm,high_energy_listener,0.4333333333333333,12,9,1.976823748523643,1.0148593438702045,-0.9619644046534386,0.75,0.6666666666666666,3,4,0,3,1,-0.44766469289440336,-0.24049110116335953,-0.9619644046534386,-1.8029464550348009,-2.1970123321925623,subject_balanced_listener
Q2,wm_energy_rank_calendar_rhythm,low_energy_listener,0.6755555555555556,12,6,1.976823748523643,1.8828345703058011,-0.09398917821784192,0.75,1.0,4,4,0,2,0,-0.05209558668585146,-0.023497294554460382,-0.09398917821784192,-0.48785130956364536,-0.648689544237986,subject_balanced_listener
