target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score
Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0
Q1,predicted_gain,top_all,0.02,9,1.0228862626430721,0.11365402918256357,0.6666666666666666,4,3,1,9,0,-0.2569520313527787,0.5390883239590571,1.2798382939958508,2.3740790462622825,1.7915709035011815
Q1,predicted_gain,top_decisive,0.02,7,1.7266161103644855,0.24665944433778364,0.8571428571428571,4,3,1,7,0,-0.1069058569376432,0.6870141547683953,1.8335219673021288,2.6688270606596767,2.785231504986198
Q1,predicted_gain,top_all,0.04,18,1.8825576056171314,0.10458653364539619,0.6666666666666666,6,4,2,18,0,-0.15789494578214344,0.8415967626871443,2.040452551399275,2.424501426175036,2.3724994745577144
Q1,predicted_gain,top_decisive,0.04,13,2.143777620518181,0.16490597080909083,0.7692307692307693,5,4,1,13,0,-0.2262140746603877,0.7453561008424718,2.3699916951785687,3.179677059729947,3.610473189034444
Q1,predicted_gain,top_all,0.06,27,1.5285525753053175,0.05661305834464139,0.5925925925925926,8,5,3,26,1,-0.24137917280051072,0.7629075941782941,1.7699317481058283,2.319981819046081,1.3374342764543727
Q1,predicted_gain,top_decisive,0.06,20,1.6941506958113048,0.08470753479056524,0.65,7,5,2,19,1,-0.2899964196387486,0.9584868130714848,1.9841471154500534,2.070082851835828,2.3231104714024062
Q1,predicted_gain,top_all,0.08,36,0.4695303338524881,0.013042509273680225,0.5277777777777778,8,5,3,33,3,-0.5817963133498659,1.140919928078282,1.051326647202354,0.9214727706379576,-0.1356358403406701
Q1,predicted_gain,top_decisive,0.08,27,1.0737767115794046,0.03976950783627425,0.5925925925925926,8,4,4,26,1,-0.7864230651902074,1.372234080299714,1.860199776769612,1.3555994589227225,-0.13218601325155177
Q1,predicted_gain,top_all,0.1,45,1.2457503766707647,0.027683341703794773,0.5777777777777777,8,5,3,38,7,-1.2382213150410488,1.7277206555807323,2.4839716917118135,1.4377160356845333,1.2111342945605754
Q1,predicted_gain,top_decisive,0.1,34,0.956994359135652,0.028146892915754472,0.5588235294117647,8,5,3,32,2,-0.9599025735696203,1.1919996832293498,1.9168969327052723,1.608135438016259,0.7343100646782408
Q1,predicted_gain,top_all,0.14,63,1.3156894967831847,0.020883960266399756,0.5873015873015873,8,5,3,49,14,-1.2748525322130018,1.6297542292284992,2.5905420289961865,1.589529256949687,1.3368876881823746
Q1,predicted_gain,top_decisive,0.14,47,0.7403756910074594,0.015752674276754454,0.5531914893617021,8,5,3,41,6,-0.8854556636331168,1.7001613453085649,1.6258313546405763,0.9562806254399941,0.3486617489522561
Q1,predicted_gain,top_all,0.18,81,1.0609426536119435,0.013098057451999302,0.5555555555555556,8,5,3,63,18,-1.6898283627378425,1.205407522600199,2.750771016349786,2.2820257587376465,1.196359529652578
Q1,predicted_gain,top_decisive,0.18,61,0.8231096335919741,0.013493600550688099,0.5409836065573771,8,5,3,49,12,-2.030558301684134,1.4646149157759756,2.8536679352761083,1.9484083526243423,0.9560785084961276
Q1,predicted_gain,top_all,0.25,112,1.8277229948097684,0.016318955310801502,0.5892857142857143,9,6,3,90,22,-1.4867828059467,1.8056366400069241,3.3145058007564687,1.8356438539836888,2.3276144104729015
Q1,predicted_gain,top_decisive,0.25,84,1.208342774335732,0.014385033027806334,0.5476190476190477,9,6,3,70,14,-1.8493807774359272,2.105856629964786,3.057723551771659,1.4520093667643417,1.565413620798914
