target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,accepted,accept_reason,heldout_accept_rate,heldout_gain_sum,heldout_positive_subjects,heldout_negative_subjects,heldout_positive_gain_rate
Q1,predicted_gain,top_decisive,0.04,13,2.143777620518181,0.16490597080909083,0.7692307692307693,5,4,1,13,0,-0.2262140746603877,0.7453561008424718,2.3699916951785687,3.179677059729947,3.610473189034444,True,tail_safe_subjectheldout_stable,1.0,0.3492214727437055,5,5,0.5882352941176471
Q2,predicted_gain,hold,0.0,0,2.2908550457556522,0.2545394495284058,0.8888888888888888,5,4,1,9,0,-0.3156143155443509,0.7739204391535951,2.606469361300003,3.3678776647255773,3.901018199794322,False,failed_tail_safe_subjectheldout,1.0,0.16643970202465408,7,3,0.46153846153846156
Q3,pessimistic_utility,hold,0.0,0,0.2854498871005396,0.02038927765003854,0.6428571428571429,8,6,2,1,13,-0.23565351459567815,0.8759335599623228,0.5211034016962177,0.5949120178916679,0.4523272794833826,False,failed_tail_safe_subjectheldout,1.0,0.03382475032233068,3,7,0.47368421052631576
S1,health_score_only,hold,0.0,0,0.029510030680902355,0.0016394461489390197,0.6666666666666666,5,4,1,16,2,-0.606389394816827,1.2043481643968148,0.6358994254977293,0.5280029847649685,0.5882084614149377,False,failed_tail_safe_subjectheldout,1.0,-5.355366311219811,2,8,0.23404255319148937
S2,predicted_gain,hold,0.0,0,2.2112885934755777,0.24569873260839753,0.7777777777777778,2,2,0,7,2,-0.49986032471962377,0.8645175598106689,2.7111489181952013,3.1360252749394104,4.146015464560061,False,failed_tail_safe_subjectheldout,1.0,-0.8401172291766892,3,7,0.36363636363636365
S3,predicted_gain,hold,0.0,0,1.6925670219185638,0.2417952888455091,0.7142857142857143,3,2,1,7,0,-0.28554519555591606,0.6602940167835696,1.9781122174744799,2.9958051522415405,2.5844868132587857,False,failed_tail_safe_subjectheldout,0.9,-2.009685272459249,3,6,0.3333333333333333
S4,predicted_gain,hold,0.0,0,1.7428961211597973,0.0484137811433277,0.6111111111111112,9,5,4,32,4,-0.5594993652102882,1.1783573870821236,2.3023954863700853,1.9539025355213595,0.9580136838303521,False,failed_tail_safe_subjectheldout,1.0,-1.1682662798750436,3,7,0.4482758620689655
