feature_set,null_family,selection_policy,decoder_action,release_fraction,decisive_only,support_auc,support_ap,base_positive_rate,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,all_gain_sum,all_mean_gain,all_positive_gain_rate,uses_public_score_ledger,uses_prior_submission_probabilities,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,robust_score
binary_preference__world_residual_energy_pair,observed,top05_all_cells,raw_memory_release,0.05,False,0.512809659318815,0.5090867306673863,0.4980952380952381,158,-0.8966364887116017,-0.005674914485516467,0.5126582278481012,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-1.738265914884912,3.464411050031343,0.8416294261733103,0.24293578735863225,-0.5386297122175583
binary_preference__world_residual_energy_pair,observed,top10_all_cells,raw_memory_release,0.1,False,0.512809659318815,0.5090867306673863,0.4980952380952381,315,1.5951101443074198,0.005063841727960063,0.5301587301587302,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-4.219659753312921,4.516556900138375,5.814769897620341,1.287434217299951,3.2843370386361834
binary_preference__world_residual_energy_pair,observed,top18_all_cells,raw_memory_release,0.18,False,0.512809659318815,0.5090867306673863,0.4980952380952381,567,-5.50671900905404,-0.009712026470994778,0.4973544973544973,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-7.32153281756068,6.466065520632529,1.8148138085066403,0.28066740163949194,-4.906223540457596
binary_preference__world_residual_energy_pair,observed,top25_all_cells,raw_memory_release,0.25,False,0.512809659318815,0.5090867306673863,0.4980952380952381,788,-1.1044456535457754,-0.0014015807786113901,0.5101522842639594,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-11.296839830599938,5.787664791177682,10.192394177054162,1.761054681776102,1.7120753363258432
binary_preference__world_residual_energy_pair,observed,top18_decisive_only,raw_memory_release,0.18,True,0.512809659318815,0.5090867306673863,0.4980952380952381,439,-4.30771224113173,-0.009812556357931048,0.5056947608200456,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-7.5077450104308525,6.655786730713197,3.2000327692991224,0.48078955933677053,-3.3428171938549966
binary_preference__world_residual_energy_pair,observed,low05_inverse_decisive,inverse_toxic_memory,0.05,True,0.512809659318815,0.5090867306673863,0.4980952380952381,122,-2.6557175293022777,-0.0217681764696908,0.5491803278688525,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-4.081268767902269,2.0011011658475337,1.4255512385999909,0.7123833931685417,-2.105043966231584
binary_preference__world_residual_energy_pair,observed,low08_inverse_decisive,inverse_toxic_memory,0.08,True,0.512809659318815,0.5090867306673863,0.4980952380952381,195,-4.020392878410984,-0.020617399376466585,0.5384615384615384,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-7.1449961190690585,2.7336243403392926,3.1246032406580744,1.1430258337070025,-3.0131846169345207
binary_preference__world_residual_energy_pair,observed,low10_inverse_decisive,inverse_toxic_memory,0.1,True,0.512809659318815,0.5090867306673863,0.4980952380952381,244,-7.355167043209847,-0.030144127226269864,0.5286885245901639,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-8.534525482082339,3.079182405113991,1.1793584388724918,0.38301025522677085,-6.897514481926042
binary_preference__world_residual_energy_pair,observed,low18_inverse_decisive,inverse_toxic_memory,0.18,True,0.512809659318815,0.5090867306673863,0.4980952380952381,439,-15.19539667084219,-0.03461365984246512,0.5353075170842825,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-15.466324923098979,3.834689323488861,0.2709282522567893,0.07065194319582961,-14.988185573051256
binary_preference__world_residual_energy_pair,observed,low25_inverse_decisive,inverse_toxic_memory,0.25,True,0.512809659318815,0.5090867306673863,0.4980952380952381,610,-21.38398768278416,-0.03505571751276092,0.5180327868852459,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-21.35759722301229,4.054943594393636,-0.026390459771867825,-0.006508218710700505,-21.261597758502674
