candidate_id,file,resolved_path,support_name,edge,mix,changed_cells_vs_h042,q2_changed_cells_vs_h042,selected_support_cells,same_direction_rate,extra_direction_rate,mean_support_posterior,min_support_posterior,mean_abs_prob_move_vs_h042,max_abs_prob_move_vs_h042,curvature_risk,edge_rate,effective_h042_factor,linear_expected_lb,linear_expected_gain_vs_h042,h052_binary_edge_priority
h052_post_high060_edge0p93_mix0p35_272a4f4c,submission_h052_post_high060_edge0p93_mix0p35_272a4f4c.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p93_mix0p35_272a4f4c.csv,post_high060,0.93,0.35,31,31,31,1.0,1.0,0.7600154838709677,0.60232,0.1367189479636191,0.24942873198215398,0.42115341532303124,0.0,6.706411827149985,0.5666570704907755,-0.0012477543092245247,0.0008060280572077198
h052_exact45_edge0p93_mix0p35_aa04c835,submission_h052_exact45_edge0p93_mix0p35_aa04c835.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p93_mix0p35_aa04c835.csv,exact45,0.93,0.35,45,45,45,1.0,1.0,0.6885279999999998,0.37492,0.13420981809350233,0.24942873198215398,0.4034878068418312,0.0,6.7132332476347365,0.5666555789305687,-0.0012492458694313147,0.0007911301591685678
h052_post_top35_edge0p93_mix0p35_a95e3b34,submission_h052_post_top35_edge0p93_mix0p35_a95e3b34.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p93_mix0p35_a95e3b34.csv,post_top35,0.93,0.35,35,35,35,1.0,1.0,0.7228445714285713,0.48796,0.12846031351971993,0.24942873198215398,0.384071985525003,0.0,6.397083739482495,0.5667247076445671,-0.0011801171554329803,0.0007823123200026188
h052_post_high060_edge0p93_mix0p25_59dc33f7,submission_h052_post_high060_edge0p93_mix0p25_59dc33f7.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p93_mix0p25_59dc33f7.csv,post_high060,0.93,0.25,31,31,31,1.0,1.0,0.7600154838709677,0.60232,0.09765639140258511,0.17816337998725285,0.21618925578650122,0.0,5.036051388950769,0.5670223086645794,-0.0008825161354206745,0.0007482361227086646
h052_post_high060_edge0p88_mix0p35_1ee1eb34,submission_h052_post_high060_edge0p88_mix0p35_1ee1eb34.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p88_mix0p35_1ee1eb34.csv,post_high060,0.88,0.35,31,31,31,1.0,1.0,0.7600154838709677,0.60232,0.11921894796361913,0.2319287319821539,0.3300067372279803,0.0,5.808452829291359,0.5668534166787169,-0.001051408121283126,0.0007464018864088976
h052_exact45_edge0p88_mix0p35_582a0694,submission_h052_exact45_edge0p88_mix0p35_582a0694.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p88_mix0p35_582a0694.csv,exact45,0.88,0.35,45,45,45,1.0,1.0,0.6885279999999998,0.37492,0.1167098180935023,0.2319287319821539,0.31353659316635923,0.0,5.825830500241281,0.5668496169067291,-0.0010552078932709597,0.0007320190035214208
h052_post_top35_edge0p88_mix0p35_1f1ba482,submission_h052_post_top35_edge0p88_mix0p35_1f1ba482.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p88_mix0p35_1f1ba482.csv,post_top35,0.88,0.35,35,35,35,1.0,1.0,0.7228445714285713,0.48796,0.11096031351971995,0.2319287319821539,0.29569204542366123,0.0,5.527003693333516,0.566914957868322,-0.0009898669316780184,0.0007246320063996694
h052_exact45_edge0p93_mix0p25_83f56bc2,submission_h052_exact45_edge0p93_mix0p25_83f56bc2.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p93_mix0p25_83f56bc2.csv,exact45,0.93,0.25,45,45,45,1.0,1.0,0.6885279999999998,0.37492,0.09586415578107309,0.17816337998725285,0.20613255272411174,0.0,5.0375059689790325,0.5670219906085832,-0.0008828341914168814,0.0007207513623307137
h052_post_top35_edge0p93_mix0p25_eeee7216,submission_h052_post_top35_edge0p93_mix0p25_eeee7216.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p93_mix0p25_eeee7216.csv,post_top35,0.93,0.25,35,35,35,1.0,1.0,0.7228445714285713,0.48796,0.09175736679979997,0.17816337998725285,0.19605908377409828,0.0,4.813705057929643,0.5670709265353318,-0.0008338982646682869,0.0007181127818642823
h052_exact45_edge0p88_mix0p5_05dcc99d,submission_h052_exact45_edge0p88_mix0p5_05dcc99d.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p88_mix0p5_05dcc99d.csv,exact45,0.88,0.5,45,45,45,1.0,1.0,0.6885279999999998,0.37492,0.16672831156214613,0.3313267599745056,0.6470988332755344,0.0,8.018759268257986,0.5663701148302934,-0.0015347099697066158,0.0007111777197933142
