heldout_subject,target,accepted,score_col,policy,fraction,heldout_selected_cells,heldout_gain_sum,heldout_positive_gain_rate,raw_action_count,inverse_action_count
id01,Q1,True,episode_conditioned_utility,top_decisive,0.02,1,-0.09572321061852496,0.0,0,1
id01,Q2,True,episode_relative_health_score,top_decisive,0.14,6,0.041212093157282914,0.5,0,6
id01,Q3,True,episode_relative_health_score,top_decisive,0.25,10,0.13592929727408198,0.5,0,10
id01,S1,True,episode_relative_health_score,top_all,0.06,2,-0.3090306372146855,0.5,0,2
id01,S2,True,predicted_episode_conditioned_gain,top_all,0.04,2,0.3151686337730043,1.0,0,2
id01,S3,True,episode_conditioned_pessimistic_utility,top_all,0.04,2,-0.2909909406359178,0.0,2,0
id01,S4,True,episode_conditioned_utility,top_decisive,0.18,0,0.0,,0,0
id02,Q1,True,predicted_episode_conditioned_gain,top_decisive,0.25,10,-1.3403950807370615,0.4,1,9
id02,Q2,True,episode_relative_health_score,top_decisive,0.04,2,0.12177102983742982,1.0,0,2
id02,Q3,True,episode_relative_health_score,top_all,0.04,2,0.05893923005767926,1.0,1,1
id02,S1,True,episode_relative_health_score,top_all,0.06,3,0.03771956550000555,0.6666666666666666,3,0
id02,S2,True,episode_conditioned_utility,top_all,0.08,4,-0.5099074993206346,0.25,1,3
id02,S3,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,-0.04659122982752412,0.0,0,1
id02,S4,True,episode_conditioned_utility,top_decisive,0.14,4,-0.15104690042719882,0.5,1,3
id03,Q1,True,predicted_episode_conditioned_gain,top_decisive,0.25,5,-0.47453683702784044,0.4,4,1
id03,Q2,True,episode_relative_health_score,top_decisive,0.04,1,-0.0674101171692727,0.0,0,1
id03,Q3,True,episode_relative_health_score,top_all,0.02,1,0.024073512631335503,1.0,1,0
id03,S1,True,episode_relative_health_score,top_all,0.04,1,0.049928470765700284,1.0,0,1
id03,S2,True,predicted_episode_conditioned_gain,top_all,0.06,2,0.32480092460812365,1.0,0,2
id03,S3,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,0.06641892861714727,1.0,0,1
id03,S4,True,episode_conditioned_utility,top_decisive,0.18,4,0.17707710058647308,0.5,2,2
id04,Q1,True,episode_conditioned_utility,top_decisive,0.14,6,-0.1730621903164219,0.3333333333333333,2,4
id04,Q2,True,episode_relative_health_score,top_decisive,0.04,2,0.10393750321890627,1.0,0,2
id04,Q3,True,episode_relative_health_score,top_all,0.18,10,0.20791530676362635,0.6,8,2
id04,S1,True,episode_relative_health_score,top_all,0.06,3,-0.11467131776223333,0.3333333333333333,2,1
id04,S2,True,episode_conditioned_utility,top_all,0.1,6,-0.047508782433767605,0.5,1,5
id04,S3,True,episode_conditioned_pessimistic_utility,top_all,0.04,2,0.13254092431079534,1.0,1,1
id04,S4,True,episode_conditioned_utility,top_decisive,0.18,7,-0.3782927407222586,0.2857142857142857,2,5
id05,Q1,True,episode_conditioned_utility,top_all,0.04,2,-0.18722412083435225,0.0,1,1
id05,Q2,True,episode_relative_health_score,top_decisive,0.04,1,-0.1237993309767692,0.0,0,1
id05,Q3,True,episode_relative_health_score,top_all,0.02,1,0.05764594034324455,1.0,0,1
id05,S1,True,episode_relative_health_score,top_all,0.06,3,-0.1410881060969571,0.3333333333333333,3,0
id05,S2,True,episode_relative_health_score,top_decisive,0.08,3,-0.3460587029794634,0.3333333333333333,3,0
id05,S3,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,0.16654106582715933,1.0,0,1
id05,S4,True,episode_conditioned_utility,top_decisive,0.18,7,0.13331545508253184,0.5714285714285714,4,3
id06,Q1,True,episode_relative_health_score,top_all,0.06,3,0.04349944103214032,1.0,3,0
id06,Q2,True,episode_relative_health_score,top_decisive,0.04,2,0.17756445311034819,1.0,1,1
id06,Q3,True,episode_conditioned_pessimistic_utility,top_all,0.25,12,-0.14379896101299228,0.4166666666666667,7,5
id06,S1,True,episode_relative_health_score,top_all,0.04,2,-0.0031054757891424978,0.5,0,2
id06,S2,True,episode_conditioned_utility,top_all,0.1,5,-0.857550120004571,0.2,2,3
id06,S3,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,0.09109662871993918,1.0,0,1
id06,S4,True,episode_relative_health_score,top_decisive,0.02,1,-0.11511271059392769,0.0,1,0
id07,Q1,True,episode_conditioned_utility,top_decisive,0.14,5,-0.34371410851800643,0.2,4,1
id07,Q2,True,episode_relative_health_score,top_decisive,0.04,2,-0.008294227326680392,0.5,0,2
id07,Q3,True,episode_relative_health_score,top_all,0.04,2,0.02481989198743889,1.0,1,1
id07,S1,True,episode_relative_health_score,top_all,0.06,3,0.08229878307380278,1.0,2,1
id07,S2,True,episode_conditioned_utility,top_decisive,0.1,4,-0.3401774477011925,0.5,2,2
id07,S3,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,0.053901343217106434,1.0,0,1
id07,S4,True,episode_conditioned_utility,top_decisive,0.18,7,0.06515450377147947,0.5714285714285714,4,3
id08,Q1,True,predicted_episode_conditioned_gain,top_decisive,0.02,1,-0.6039525098262609,0.0,1,0
id08,Q2,True,episode_conditioned_pessimistic_utility,top_decisive,0.04,2,-0.39187217621108816,0.0,0,2
id08,Q3,True,episode_relative_health_score,top_all,0.18,10,0.044779693541784404,0.5,1,9
id08,S1,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,-0.05015752567662474,0.0,0,1
id08,S2,True,episode_conditioned_utility,top_all,0.08,4,0.07020039532979827,0.25,2,2
id08,S3,True,episode_conditioned_pessimistic_utility,top_decisive,0.02,1,0.09111178504418277,1.0,1,0
id08,S4,True,episode_conditioned_utility,top_decisive,0.25,12,0.7704466006727234,0.75,4,8
