law_name,feature_view,group_mode,neighbors,weights,candidate_cells,mean_selection_score,max_selection_score
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,735,0.04854859877114621,0.3546464649793861
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,735,0.047917856653237265,0.3495078125902962
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,735,0.037227493279963525,0.24211631356209
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,735,0.03657662223938436,0.23823551227114914
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,735,0.02711986274845952,0.1636725047567523
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,735,0.026517387226311223,0.1553129952780507
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,735,0.020485984909076903,0.14347330131009373
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,735,0.01978400417990888,0.14345298519751332
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,735,0.06535851763973663,0.45123837334639594
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,735,0.06483432036841463,0.44981173163006655
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,735,0.04753945306222924,0.3160086337811288
compact_episode_context__expert_family__knn13_uniform,compact_episode_context,expert_family,13,uniform,735,0.04689261346554352,0.31897269371508963
compact_episode_context__expert_family__knn21_distance,compact_episode_context,expert_family,21,distance,735,0.03697249132196183,0.27253517577209274
compact_episode_context__expert_family__knn21_uniform,compact_episode_context,expert_family,21,uniform,735,0.03620507614840878,0.2713757171452934
compact_episode_context__expert_family__knn35_distance,compact_episode_context,expert_family,35,distance,735,0.025200610978965317,0.18516612406839508
compact_episode_context__expert_family__knn35_uniform,compact_episode_context,expert_family,35,uniform,735,0.024501774023966166,0.17800865670940275
compact_episode_context__expert_family__knn55_distance,compact_episode_context,expert_family,55,distance,735,0.01773554406292878,0.14232185775209097
compact_episode_context__expert_family__knn55_uniform,compact_episode_context,expert_family,55,uniform,735,0.01700577386077476,0.1420484606326982
compact_episode_context__expert_family__knn7_distance,compact_episode_context,expert_family,7,distance,735,0.06461487570330429,0.4895936813357804
compact_episode_context__expert_family__knn7_uniform,compact_episode_context,expert_family,7,uniform,735,0.06406218295640805,0.4898811163571461
compact_episode_context__target__knn13_distance,compact_episode_context,target,13,distance,735,0.05241941534181474,0.2873447394515094
compact_episode_context__target__knn13_uniform,compact_episode_context,target,13,uniform,735,0.05169412141459558,0.2900064254594803
compact_episode_context__target__knn21_distance,compact_episode_context,target,21,distance,735,0.04404710991921473,0.2419582289466186
compact_episode_context__target__knn21_uniform,compact_episode_context,target,21,uniform,735,0.04324528746186486,0.2394382475507574
compact_episode_context__target__knn35_distance,compact_episode_context,target,35,distance,735,0.03342176877116224,0.18388690165817367
compact_episode_context__target__knn35_uniform,compact_episode_context,target,35,uniform,735,0.03255621006533945,0.1788212043831554
compact_episode_context__target__knn55_distance,compact_episode_context,target,55,distance,735,0.02390733991703587,0.16146341051520127
compact_episode_context__target__knn55_uniform,compact_episode_context,target,55,uniform,735,0.022691081488069174,0.16121705635606243
compact_episode_context__target__knn7_distance,compact_episode_context,target,7,distance,735,0.06723995264462732,0.4627376568076315
compact_episode_context__target__knn7_uniform,compact_episode_context,target,7,uniform,735,0.06692458111372512,0.4939452143110298
compact_episode_context__target_episode_family__knn13_distance,compact_episode_context,target_episode_family,13,distance,735,0.0513004531074938,0.2683414001573217
compact_episode_context__target_episode_family__knn13_uniform,compact_episode_context,target_episode_family,13,uniform,735,0.05028357481932166,0.2785254216530303
compact_episode_context__target_episode_family__knn21_distance,compact_episode_context,target_episode_family,21,distance,735,0.040934981250244085,0.19505647662539108
compact_episode_context__target_episode_family__knn21_uniform,compact_episode_context,target_episode_family,21,uniform,735,0.04004219551080433,0.1907886468021388
compact_episode_context__target_episode_family__knn35_distance,compact_episode_context,target_episode_family,35,distance,735,0.03212144488567171,0.16850559230450263
compact_episode_context__target_episode_family__knn35_uniform,compact_episode_context,target_episode_family,35,uniform,735,0.03128679376170731,0.168488750035535
compact_episode_context__target_episode_family__knn55_distance,compact_episode_context,target_episode_family,55,distance,735,0.023352905057366518,0.16632632754253984
compact_episode_context__target_episode_family__knn55_uniform,compact_episode_context,target_episode_family,55,uniform,735,0.022125909745070976,0.16621253541165182
compact_episode_context__target_episode_family__knn7_distance,compact_episode_context,target_episode_family,7,distance,735,0.06587280109350417,0.4523138947916972
compact_episode_context__target_episode_family__knn7_uniform,compact_episode_context,target_episode_family,7,uniform,735,0.06547345122305043,0.4939452143110298
compact_episode_context__target_expert_family__knn13_distance,compact_episode_context,target_expert_family,13,distance,735,0.04814105711355459,0.2612387883783772
