law_name,feature_view,group_mode,neighbors,weights,policy,param,switched_cells,active_subjects,mean_true_gain,gain_sum,positive_true_gain_rate
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,-0.02,729,10,-0.012808354332521666,-9.337290308408294,0.48148148148148145
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,-0.01,716,10,-0.012612504871352733,-9.030553487888557,0.4818435754189944
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,0.0,669,10,-0.012673610929796677,-8.478645712033977,0.4872944693572496
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,0.005,628,10,-0.01278796292509874,-8.03084071696201,0.4856687898089172
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,0.01,584,10,-0.013500374474340356,-7.884218693014768,0.4965753424657534
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,0.02,459,10,-0.014201318890854894,-6.518405370902396,0.485838779956427
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,0.04,306,10,-0.015599754880666145,-4.77352499348384,0.5098039215686274
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,threshold,0.08,160,10,-0.04815232145132116,-7.704371432211386,0.44375
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.01,7,1,-0.24250194320509635,-1.6975136024356745,0.0
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.02,15,4,-0.2121440841079395,-3.1821612616190924,0.06666666666666667
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.03,22,4,-0.17021211392533153,-3.744666506357294,0.18181818181818182
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.04,29,5,-0.1219989906297988,-3.537970728264165,0.2413793103448276
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.06,44,8,-0.10718050556617814,-4.715942244911838,0.3181818181818182
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.08,59,8,-0.09070087055970508,-5.3513513630226,0.3559322033898305
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.1,74,8,-0.08835789439466175,-6.53848418520497,0.3783783783783784
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.15,110,10,-0.05036916687294741,-5.540608356024215,0.44545454545454544
compact_episode_context__all__knn13_distance,compact_episode_context,all,13,distance,topfrac,0.2,147,10,-0.03702834054220517,-5.44316605970416,0.4489795918367347
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,-0.02,728,10,-0.009856474466520564,-7.17551341162697,0.49175824175824173
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,-0.01,717,10,-0.01046992490791116,-7.506936158972302,0.4881450488145049
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,0.0,665,10,-0.010137272087456366,-6.741285938158483,0.4932330827067669
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,0.005,628,10,-0.010267079665239624,-6.447726029770484,0.49363057324840764
