law_name,feature_view,group_mode,neighbors,weights,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,active_subjects,positive_active_subjects,negative_active_subjects,active_subject_rate,std_subject_gain_per_cell,min_active_gain_per_cell,robust_transport_score
route_episode_context__target_episode_family__knn7_distance,route_episode_context,target_episode_family,7,distance,topfrac,0.1,0.6292108353508489,74,0.007786246800145909,0.07733637024469248,0.581081081081081,8,5,3,0.8,0.01588933942923112,-0.005942224638512147,0.0017028458857612397
route_episode_context__target_episode_family__knn7_uniform,route_episode_context,target_episode_family,7,uniform,topfrac,0.08,0.6298891477607285,59,0.007107934390266443,0.08854799621772604,0.5932203389830508,7,5,2,0.7,0.015569486952136209,-0.010262939575198719,0.0024725113474460114
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.06,0.6301575667978424,44,0.006839515353152436,0.1142509951037964,0.6818181818181818,7,6,1,0.7,0.01205014276885763,-0.001584512785469645,0.004231993937823792
route_episode_context__target_episode_family__knn7_uniform,route_episode_context,target_episode_family,7,uniform,topfrac,0.1,0.630157723849635,74,0.00683935830135987,0.06793146420945274,0.5675675675675675,8,5,3,0.8,0.015397764794324262,-0.007486187718227014,0.0008296935822112297
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,topfrac,0.1,0.6304909401171193,74,0.006506142033875572,0.06462181614727763,0.6081081081081081,5,4,1,0.5,0.019607231471762684,-0.014142461379271783,0.0025650573131111693
route_episode_context__target_episode_family__knn7_distance,route_episode_context,target_episode_family,7,distance,topfrac,0.08,0.6306508851439354,59,0.006346197007059415,0.07905855593540118,0.576271186440678,8,5,3,0.8,0.012472672047425158,-0.005942224638512147,0.0007752961999456413
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.08,0.6307212860547802,59,0.006275796096214698,0.07818152763928478,0.6101694915254238,7,4,3,0.7,0.012372610871918703,-0.0035274072805399725,0.0006199044654268915
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.06,0.630768490079546,44,0.006228592071448852,0.10404579937533875,0.6818181818181818,6,4,2,0.6,0.01482391536111618,-0.014353092789986128,0.0016050047672814252
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.04,0.6308346340634333,29,0.006162448087561526,0.15618618428819733,0.7586206896551724,5,4,1,0.5,0.012944268137210302,-0.0010171430735250791,0.003220807866979981
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.15,0.6311305771877339,110,0.005866504963260839,0.03919891952724287,0.5636363636363636,10,7,3,1.0,0.015282315582719027,-0.01291500808995752,7.41576258529845e-05
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.02,0.6311844438830678,15,0.0058126382679270375,0.2848192751284248,0.9333333333333333,4,3,1,0.4,0.013516221146438669,-0.0022758537400729617,0.0026852050959612376
compact_episode_context__target_episode_family__knn7_uniform,compact_episode_context,target_episode_family,7,uniform,topfrac,0.1,0.6313670618491617,74,0.0056300203018330745,0.05591979624117987,0.5405405405405406,9,6,3,0.9,0.01397692247725255,-0.00877323259162758,-6.651806975480816e-05
compact_episode_context__target_episode_family__knn21_uniform,compact_episode_context,target_episode_family,21,uniform,topfrac,0.08,0.6313737811939241,59,0.005623300957070739,0.07005298649910158,0.6779661016949152,8,7,1,0.8,0.009417487219463757,-0.008138596081416705,0.0035106778741511753
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.1,0.631440678119463,74,0.005556404031531744,0.055188607610484205,0.581081081081081,9,5,4,0.9,0.015125068668061747,-0.01119380404204278,-0.0018123562686775175
compact_episode_context__target_episode_family__knn7_distance,compact_episode_context,target_episode_family,7,distance,topfrac,0.15,0.6314921298248336,110,0.0055049523261612695,0.03678309054298666,0.5545454545454546,10,6,4,1.0,0.015807756364924024,-0.01289643854169836,-0.001866211128577334
compact_episode_context__target_episode_family__knn7_distance,compact_episode_context,target_episode_family,7,distance,topfrac,0.1,0.6315361000004102,74,0.005460982150584617,0.05424083622540127,0.5405405405405406,9,6,3,0.9,0.013695337004201247,-0.00877323259162758,-0.00019331840004557018
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,topfrac,0.03,0.6320095175502237,22,0.004987564600771142,0.16662999916212676,0.7727272727272727,6,4,2,0.6,0.0128541125409302,-0.001584512785469645,0.0006594477196316119
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.03,0.632025881478988,22,0.004971200672006901,0.16608329517841233,0.7727272727272727,5,4,1,0.5,0.010989483838727393,-0.00018088903227435384,0.002322778096197792
compact_episode_context__target_episode_family__knn7_uniform,compact_episode_context,target_episode_family,7,uniform,topfrac,0.15,0.6322153926915844,110,0.004781689459410463,0.031950379569697186,0.5454545454545454,10,6,4,1.0,0.015403589628321404,-0.01289643854169836,-0.0025288489848377476
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.03,0.6322658092950397,22,0.0047312728559550385,0.15806752496031604,0.7272727272727273,5,3,2,0.5,0.011821859260092944,-0.0022758537400729617,0.0004579939669410969
route_episode_context__target__knn21_distance,route_episode_context,target,21,distance,topfrac,0.08,0.6322722878320459,59,0.004724794318948887,0.05885972583775309,0.6101694915254238,6,4,2,0.6,0.015245688995583958,-0.007936096308632281,3.794096961129347e-05
compact_episode_context__target_expert_family__knn21_uniform,compact_episode_context,target_expert_family,21,uniform,topfrac,0.08,0.6322812110661007,59,0.004715871084894072,0.058748563515205805,0.6101694915254238,6,4,2,0.6,0.012828327655628817,-0.005914032407258556,0.0003916219365497493
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,topfrac,0.08,0.6322945855298411,59,0.004702496621153683,0.05858194943301622,0.5932203389830508,9,4,5,0.9,0.013149855489704996,-0.012278027758427238,-0.0038699817023020665
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.1,0.6323598239874869,74,0.004637258163507942,0.04605925338078835,0.581081081081081,8,5,3,0.8,0.01355624940081242,-0.015384818710635939,-0.0010961792466139212
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,topfrac,0.08,0.632361156058306,59,0.004635926092688809,0.05775263861230975,0.6101694915254238,5,3,2,0.5,0.015739451923701554,-0.012607672769243225,-0.00022499169586642385
compact_episode_context__target_episode_family__knn13_uniform,compact_episode_context,target_episode_family,13,uniform,topfrac,0.1,0.6324061449488325,74,0.004590937202162335,0.04559917356201779,0.6216216216216216,9,7,2,0.9,0.009810477459132296,-0.011737734416103077,0.001019365583292491
