hypothesis_id,mode,rep,null_selected_rows,null_avg_delta
H0001,row,0,87,2.0395042710606648e-05
H0001,row,1,87,1.0099861238785162e-05
H0001,row,2,87,1.49515498340808e-05
H0001,subject,0,87,5.472346663333657e-05
H0001,subject,1,87,-1.4997062894538394e-05
H0001,subject,2,87,-2.023952014322748e-05
H0001,dateblock,0,87,4.382826042243492e-05
H0001,dateblock,1,87,1.217558796288983e-05
H0001,dateblock,2,87,-8.945799322530823e-06
H0002,row,0,79,-8.406278179460199e-06
H0002,row,1,79,-9.938646996292125e-06
H0002,row,2,79,5.625814458936536e-06
H0002,subject,0,79,2.1000270233426825e-06
H0002,subject,1,79,-3.507511199231051e-05
H0002,subject,2,79,1.797312704087646e-06
H0002,dateblock,0,79,7.121734398644935e-06
H0002,dateblock,1,79,6.6668866933632174e-06
H0002,dateblock,2,79,-9.961373544578727e-06
H0003,row,0,25,-4.460258653074785e-06
H0003,row,1,25,-1.2972901203340686e-05
H0003,row,2,25,1.7196109944696802e-05
H0003,subject,0,25,-1.859478454717339e-05
H0003,subject,1,25,1.6757263448436717e-05
H0003,subject,2,25,-1.3630498654190754e-05
H0003,dateblock,0,25,3.0449927659336733e-05
H0003,dateblock,1,25,-3.442910731907842e-06
H0003,dateblock,2,25,7.991673560999397e-06
H0004,row,0,81,-5.716428908844509e-05
H0004,row,1,81,1.0776104521832908e-05
H0004,row,2,81,-7.593518273704543e-06
H0004,subject,0,81,-5.654299013774401e-06
H0004,subject,1,81,3.6628175011552175e-05
H0004,subject,2,81,2.0754608709313462e-05
H0004,dateblock,0,81,1.1056987506794148e-05
H0004,dateblock,1,81,-1.3703176180877852e-06
H0004,dateblock,2,81,9.62870369204113e-06
H0005,row,0,26,2.588759049802077e-06
H0005,row,1,26,3.09246137349246e-06
H0005,row,2,26,1.6130824564091522e-06
H0005,subject,0,26,-1.1362924117241934e-06
H0005,subject,1,26,-1.0071106057123919e-06
H0005,subject,2,26,3.2983167468169717e-07
H0005,dateblock,0,26,1.6273900516376704e-06
H0005,dateblock,1,26,4.16524906822746e-06
H0005,dateblock,2,26,2.856132511394096e-06
H0006,row,0,37,4.926954464900478e-06
H0006,row,1,37,-2.630659440686785e-07
H0006,row,2,37,2.1937328591776734e-05
H0006,subject,0,37,-6.299051969102697e-07
H0006,subject,1,37,1.6086657264531227e-05
H0006,subject,2,37,1.7230020017577835e-05
H0006,dateblock,0,37,-2.351041670866778e-05
H0006,dateblock,1,37,-1.7608578848465764e-05
H0006,dateblock,2,37,-9.099597251774457e-06
