gate_primary,n,survives,best_avg_delta,median_avg_delta
late_arousal,100,56,-6.792416687019318e-05,-2.292413430379037e-05
high_sensor,100,48,-7.549649718279546e-05,-2.6646428683257805e-05
cashflow_calendar,94,47,-9.58286353163247e-05,-2.019567096135518e-05
badnight_residue,100,43,-8.257925239103073e-05,-2.1640084686165777e-05
block_stress_required,100,41,-9.535648541858609e-05,-2.347351104663624e-05
subject_residual,94,40,-9.535648541858609e-05,-2.3491021836980313e-05
subject_sign_flip,94,39,-9.535648541858609e-05,-2.3491021836980313e-05
weekday,94,37,-8.502761866394299e-05,-2.4226933709724187e-05
weekend,100,34,-5.248239706160963e-05,-7.903080628464138e-06
low_sensor,100,31,-5.1835236001305854e-05,-6.307950244817356e-06
all_rows,24,6,-4.008683373348671e-05,-2.3132302500605777e-05
