hidden_human_state,n,high,survives,weak,reversed,best_avg_delta,best_worst_delta,median_avg_delta,best_null_dominance
weekend_obligation_commute,10,0,10,0,0,-9.535648541858609e-05,-8.506476906515514e-05,-7.171033202649433e-05,1.0
errand_physical_drain,10,0,10,0,0,-9.309067535887407e-05,-8.120247294997673e-05,-5.1028088229988704e-05,1.0
routine_anchor_recovery,10,5,10,0,0,-8.257925239103073e-05,-7.838139130296146e-05,-4.6880828274314104e-05,1.0
routine_fragmentation,10,5,10,0,0,-7.047541865839416e-05,-6.247591999947865e-05,-4.072864365648539e-05,1.0
physiology_recovery,10,5,10,0,0,-6.192527144353285e-05,-5.43805386488859e-05,-5.678057732124163e-05,1.0
unplanned_errand_day,10,0,10,0,0,-6.641430520529487e-05,-5.217802911035996e-05,-5.243588707861344e-05,1.0
social_commute_coupled_pressure,10,5,10,0,0,-4.324333773669338e-05,-3.794539446888332e-05,-2.173110838457467e-05,1.0
home_recovery,10,5,10,0,0,-4.007607211014918e-05,-3.499466175789044e-05,-2.293092259748389e-05,1.0
errand_fragmentation,10,0,9,1,0,-9.58286353163247e-05,-9.142614865797868e-05,-6.405015276130679e-05,1.0
high_confidence_vehicle_exposure,10,5,9,1,0,-6.412408293384389e-05,-6.227125278820108e-05,-4.9250393912943596e-05,1.0
sleep_debt_recovery_break,10,0,9,1,0,-6.593543572105267e-05,-6.162554417796812e-05,-3.972025511867729e-05,1.0
commute_adaptation,10,5,9,1,0,-5.922585818862044e-05,-5.7044429814638936e-05,-3.863697121427105e-05,1.0
personalized_anchor_recovery,10,5,9,1,0,-5.0013876378995466e-05,-4.54658887436712e-05,-4.825158842865389e-05,1.0
phone_carried_not_body_state,10,0,9,1,0,-4.2237027575818306e-05,-4.14593701191733e-05,-2.3869208508316923e-05,1.0
post_social_arousal,10,5,9,1,0,-5.3841994714339585e-05,-3.964577626178218e-05,-3.657486456804551e-05,1.0
weekend_social_jetlag,10,5,9,1,0,-4.585510372881554e-05,-3.053780636913845e-05,-3.293669531635856e-05,1.0
forced_commute_after_badnight,10,5,8,1,1,-8.373236329458458e-05,-7.982630786472731e-05,-6.249819801708784e-05,1.0
financial_rumination_arousal,10,0,8,1,0,-6.1026590297381317e-05,-5.6199456347761075e-05,-4.963241582149918e-05,1.0
distributed_social_load,10,5,8,1,0,-6.224591387838354e-05,-4.805894245046978e-05,-3.8527431218290167e-05,1.0
badnight_aftereffect,20,10,8,7,3,-4.506421624347884e-05,-4.4304258147478154e-05,-1.3202886628566396e-05,1.0
cognitive_slump_after_badnight,10,5,8,1,1,-5.023114539880634e-05,-4.2362761439871074e-05,-4.262734810016794e-05,1.0
outing_overload,10,5,8,2,0,-4.679467884314179e-05,-4.022777471890316e-05,-3.276871241735434e-05,1.0
masked_badnight_aftereffect,10,5,8,0,1,-3.181568757691944e-05,-3.062095163362112e-05,-2.3563262133315167e-05,1.0
morning_activation_anchor,10,5,7,1,2,-6.57376184558353e-05,-5.577657378077426e-05,-3.0948334224410276e-05,1.0
weekend_routine_preservation,10,5,7,1,0,-3.995718840579005e-05,-3.317228610153846e-05,-2.7769426796532e-05,1.0
rebound_recovery_after_badnight,10,5,7,2,0,-3.4310891160484445e-05,-3.0008650549167505e-05,-2.5557301612004015e-05,1.0
commute_recovered_at_home,10,5,7,2,0,-4.7636520509099434e-05,-2.9738590829597888e-05,-2.5370080830572053e-05,1.0
decision_fatigue_bedtime,10,0,6,4,0,-8.06470915699589e-05,-7.054645543981631e-05,-4.304903907191332e-05,1.0
physical_fatigue_strain,10,5,6,1,2,-5.971865829379274e-05,-5.8022918728030414e-05,-3.567438495322932e-05,1.0
recovered_routine_after_fragmentation,10,0,6,2,1,-6.968573051520531e-05,-5.620339499160601e-05,-2.7227702913862582e-05,1.0
sensory_decompression,10,5,6,2,0,-2.6862529021677875e-05,-2.6091966647991803e-05,-2.3508280622548757e-05,1.0
daytime_fatigue_after_badnight,10,5,5,4,1,-5.879261022911576e-05,-5.304953508690345e-05,-2.1810735363099464e-05,1.0
budget_squeeze_isolation,10,0,5,4,1,-5.767623624910464e-05,-5.3046809529970226e-05,-3.6977500934322636e-05,1.0
health_anxiety,10,0,5,3,1,-4.2613019228070166e-05,-3.93372454254147e-05,-1.6811688775587298e-05,0.8888888888888888
