route_key,n,survives,weak,best_avg_delta,best_worst_delta,median_avg_delta
Q1_down|Q2_up|S1_down,10,1,2,-2.0685748257401483e-05,-1.7127210850814724e-05,3.570387519125186e-06
S1_up,10,1,1,-1.8368204551527468e-05,-1.7012277762534662e-05,3.4121400149377633e-06
S3_down|Q1_down|Q3_up,10,1,6,-2.3352949318883658e-05,-1.5231860606326915e-05,-2.352824289984686e-06
S3_up|Q1_up,10,1,7,-2.0020031859442284e-05,-1.2375797989511461e-05,-1.2535006105043731e-05
Q1_down|Q2_up|S3_down,10,0,3,-2.53573558089946e-05,-1.6659140563031678e-05,-5.722655442204692e-07
Q3_up|Q1_down|S4_down,10,0,1,-7.459799602767534e-06,-4.637986589288862e-06,3.153640609562457e-06
Q1_down|S3_down|Q3_up,10,0,3,-1.363169832673094e-05,-4.103212544558145e-06,7.8837264723276e-09
S4_down|Q1_up|S3_up,10,0,2,-1.9189764167542116e-05,-3.100308172932665e-06,1.408267444830126e-06
S3_up|Q1_up|S4_down,10,0,0,3.277991730874162e-07,5.376051522055375e-07,2.9535052833027113e-06
no_direct_or_ambiguous,50,0,0,,,
