policy_name,score_col,mode,param,family_guard,logloss,switched_cells,switched_rate,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,target_null_p_ge_observed,target_family_null_p_ge_observed,target_null_z,target_family_null_z,target_null_mean,target_null_std,target_family_null_mean,target_family_null_std
atlas_target_family_score_all_topfrac_0.080,atlas_target_family_score,topfrac,0.08,all,0.6354247568422373,59,0.08027210884353742,0.0015723253087575977,0.01958744240570906,0.5423728813559322,0.52925,0.5345,-0.07848229608407478,-0.02303607251833373,0.0016837189855368293,0.001419347831769601,0.001606599064020481,0.001487829804130266
atlas_target_family_score_core_or_prior_topfrac_0.080,atlas_target_family_score,topfrac,0.08,"prior,core_geometry,core_action_health,raw_action_core_health",0.6354247568422373,59,0.08027210884353742,0.0015723253087575977,0.01958744240570906,0.5423728813559322,0.54225,0.529,-0.08713031495276757,-0.004633229732786406,0.001694146265557653,0.0013981466366337935,0.0015793066239938132,0.0015067923756970113
atlas_target_score_all_topfrac_0.150,atlas_target_score,topfrac,0.15,all,0.6354947593318118,110,0.14965986394557823,0.0015023228191831165,0.010038247928178092,0.5727272727272728,0.0665,0.19025,1.4760115113269447,0.8762559860457725,-0.002027359501601043,0.002391365035907443,-0.0006684123603868022,0.0024772842800945233
atlas_target_score_core_or_prior_topfrac_0.150,atlas_target_score,topfrac,0.15,"prior,core_geometry,core_action_health,raw_action_core_health",0.6354947593318118,110,0.14965986394557823,0.0015023228191831165,0.010038247928178092,0.5727272727272728,0.06375,0.1905,1.5098950613647177,0.8778943026598105,-0.002046571852837221,0.002350424716809571,-0.0006699592383346378,0.0024744232317447067
atlas_global_score_core_only_topfrac_0.150,atlas_global_score,topfrac,0.15,"core_geometry,core_action_health,raw_action_core_health",0.6356850880222609,110,0.14965986394557823,0.001311994128733954,0.008766506223813243,0.6181818181818182,0.068,0.20725,1.4403695222718862,0.8309898973962961,-0.002644566507087622,0.0027469066615495425,-0.00020639287452294995,0.0018272027229385092
atlas_target_family_score_all_topfrac_0.040,atlas_target_family_score,topfrac,0.04,all,0.6360497742623716,29,0.03945578231292517,0.0009473078886232311,0.024009355108209476,0.5172413793103449,0.561,0.57325,-0.1462439527034526,-0.192361351648822,0.0010864563880722837,0.000951482074142322,0.0011356214917660292,0.0009789575792053416
atlas_target_family_score_core_or_prior_topfrac_0.040,atlas_target_family_score,topfrac,0.04,"prior,core_geometry,core_action_health,raw_action_core_health",0.6360497742623716,29,0.03945578231292517,0.0009473078886232311,0.024009355108209476,0.5172413793103449,0.5565,0.57225,-0.12049992860864038,-0.18171346255819598,0.001063818791137994,0.0009668960294007076,0.0011238663627724337,0.0009716312245861127
atlas_target_score_all_topfrac_0.100,atlas_target_score,topfrac,0.1,all,0.6362265132835827,74,0.10068027210884353,0.0007705688674121301,0.007653623210106969,0.6081081081081081,0.152,0.35625,1.0284174567537,0.40170908016761175,-0.0013266993185947506,0.002039316011444528,-0.00010627893799199937,0.0021827930925491347
atlas_target_score_core_or_prior_topfrac_0.100,atlas_target_score,topfrac,0.1,"prior,core_geometry,core_action_health,raw_action_core_health",0.6362265132835827,74,0.10068027210884353,0.0007705688674121301,0.007653623210106969,0.6081081081081081,0.13975,0.3555,1.0710749140437117,0.38621372314936697,-0.0013752097911192691,0.0020033880267350075,-7.505737970478663e-05,0.0021895292591399542
atlas_contrastive_score_all_topfrac_0.020,atlas_contrastive_score,topfrac,0.02,all,0.6362733634289478,15,0.02040816326530612,0.0007237187220469614,0.03546221738030111,0.6,0.17375,0.317,0.9229881835800532,0.48791924654830904,-0.00021520006975789277,0.0010172598181734135,0.0003348121755639441,0.0007970715425436933
atlas_contrastive_score_core_or_prior_topfrac_0.020,atlas_contrastive_score,topfrac,0.02,"prior,core_geometry,core_action_health,raw_action_core_health",0.6362733634289478,15,0.02040816326530612,0.0007237187220469614,0.03546221738030111,0.6,0.181,0.322,0.9052962587429045,0.46527298317775645,-0.00020056989325487626,0.001020979161656214,0.00034752327807355265,0.000808547793607187
atlas_contrastive_score_all_topfrac_0.010,atlas_contrastive_score,topfrac,0.01,all,0.6363719529426652,7,0.009523809523809525,0.0006251292083296281,0.06563856687461095,0.7142857142857143,0.1485,0.346,0.94165964327049,0.42347405199593313,-0.00013342624251495814,0.0008055516197020377,0.0004001316792041312,0.0005313136142935568
atlas_contrastive_score_core_or_prior_topfrac_0.010,atlas_contrastive_score,topfrac,0.01,"prior,core_geometry,core_action_health,raw_action_core_health",0.6363719529426652,7,0.009523809523809525,0.0006251292083296281,0.06563856687461095,0.7142857142857143,0.16375,0.333,0.9161787977717704,0.45708028549934343,-0.00011518915892343214,0.0008080500979214771,0.0003822757094188468,0.0005313147528239437
atlas_target_family_score_all_topfrac_0.010,atlas_target_family_score,topfrac,0.01,all,0.6364185758430055,7,0.009523809523809525,0.0005785063079893913,0.06074316233888609,0.7142857142857143,0.276,0.30225,0.6188097286348224,0.5328648784946243,0.00024630534075226597,0.0005368386304623965,0.00028602463600116657,0.0005488852498864314
atlas_target_family_score_core_or_prior_topfrac_0.010,atlas_target_family_score,topfrac,0.01,"prior,core_geometry,core_action_health,raw_action_core_health",0.6364185758430055,7,0.009523809523809525,0.0005785063079893913,0.06074316233888609,0.7142857142857143,0.2835,0.30025,0.6013154318907346,0.5592399876330018,0.0002584524445331491,0.0005322561944733182,0.00026237694503003755,0.0005652839030652649
atlas_target_family_score_all_topfrac_0.060,atlas_target_family_score,topfrac,0.06,all,0.6364906604516931,44,0.05986394557823129,0.0005064216993016539,0.008459544295152627,0.5,0.85875,0.86925,-1.0825874325420237,-1.1373319579982903,0.0016486306601662417,0.0010550731761060322,0.0016951664152145662,0.0010452047069925904
atlas_target_family_score_core_or_prior_topfrac_0.060,atlas_target_family_score,topfrac,0.06,"prior,core_geometry,core_action_health,raw_action_core_health",0.6364906604516931,44,0.05986394557823129,0.0005064216993016539,0.008459544295152627,0.5,0.87025,0.87425,-1.0845599477876142,-1.1376256015664257,0.0016387844405893626,0.0010440757503516584,0.0017091009227530303,0.0010571836830987073
atlas_target_score_all_topfrac_0.005,atlas_target_score,topfrac,0.005,all,0.6365078471517547,4,0.005442176870748299,0.0004892349992401525,0.08989693111037801,0.75,0.11575,0.263,1.0243481456853916,0.7587500931395688,-0.0002586042800012128,0.0007300635847209796,-0.00027789416291220813,0.0010110432526975
atlas_target_score_core_or_prior_topfrac_0.005,atlas_target_score,topfrac,0.005,"prior,core_geometry,core_action_health,raw_action_core_health",0.6365078471517547,4,0.005442176870748299,0.0004892349992401525,0.08989693111037801,0.75,0.11225,0.25875,1.0289745424302865,0.7538901654673705,-0.00026600200746985106,0.0007339705459828432,-0.00026972445514846324,0.0010067241743604686
atlas_target_score_core_only_topfrac_0.005,atlas_target_score,topfrac,0.005,"core_geometry,core_action_health,raw_action_core_health",0.6365078471517547,4,0.005442176870748299,0.0004892349992401525,0.08989693111037801,0.75,0.11125,0.272,1.0438199621772466,0.7258769955848938,-0.00027263404799921794,0.0007298854925616001,-0.00022874165235282055,0.0009891161394561694
