fold,source,target,loss
1,ef_recovery_slope__absolute__c0.3_b0.2,Q1,
1,ef_recovery_slope__absolute__c0.3_b0.2,Q2,
1,ef_recovery_slope__absolute__c0.3_b0.2,Q3,
1,ef_recovery_slope__absolute__c0.3_b0.2,S1,
1,ef_recovery_slope__absolute__c0.3_b0.2,S2,
1,ef_recovery_slope__absolute__c0.3_b0.2,S3,
1,ef_recovery_slope__absolute__c0.3_b0.2,S4,
1,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
1,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.7031065110367136
1,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
1,ef_recovery_slope__deviation__c0.3_b0.2,S1,
1,ef_recovery_slope__deviation__c0.3_b0.2,S2,
1,ef_recovery_slope__deviation__c0.3_b0.2,S3,
1,ef_recovery_slope__deviation__c0.3_b0.2,S4,
1,routine_regularity__deviation__c0.1_b0.2,Q1,
1,routine_regularity__deviation__c0.1_b0.2,Q2,
1,routine_regularity__deviation__c0.1_b0.2,Q3,
1,routine_regularity__deviation__c0.1_b0.2,S1,
1,routine_regularity__deviation__c0.1_b0.2,S2,
1,routine_regularity__deviation__c0.1_b0.2,S3,
1,routine_regularity__deviation__c0.1_b0.2,S4,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
1,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
1,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
1,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
1,db_prebed__deviation__c0.1_b0.2,Q1,0.6424784042472599
1,db_prebed__deviation__c0.1_b0.2,Q2,
1,db_prebed__deviation__c0.1_b0.2,Q3,
1,db_prebed__deviation__c0.1_b0.2,S1,
1,db_prebed__deviation__c0.1_b0.2,S2,
1,db_prebed__deviation__c0.1_b0.2,S3,
1,db_prebed__deviation__c0.1_b0.2,S4,
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q1,
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q2,
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q3,
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S1,
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S2,0.5924093225528665
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S3,
1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S4,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,Q1,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,Q2,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,Q3,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,S1,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,S2,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,S3,
2,best_plus_routine_regularity__absolute__c0.3_b0.2,S4,
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q1,
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q2,
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q3,
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S1,
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S2,0.5355383026147964
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S3,
2,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S4,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S4,
2,db_prebed__deviation__c0.3_b0.2,Q1,
2,db_prebed__deviation__c0.3_b0.2,Q2,
2,db_prebed__deviation__c0.3_b0.2,Q3,
2,db_prebed__deviation__c0.3_b0.2,S1,
2,db_prebed__deviation__c0.3_b0.2,S2,
2,db_prebed__deviation__c0.3_b0.2,S3,
2,db_prebed__deviation__c0.3_b0.2,S4,
2,routine_regularity__deviation__c0.3_b0.2,Q1,
2,routine_regularity__deviation__c0.3_b0.2,Q2,
2,routine_regularity__deviation__c0.3_b0.2,Q3,
2,routine_regularity__deviation__c0.3_b0.2,S1,
2,routine_regularity__deviation__c0.3_b0.2,S2,
2,routine_regularity__deviation__c0.3_b0.2,S3,
2,routine_regularity__deviation__c0.3_b0.2,S4,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
2,best__absolute_plus_deviation__c0.3_b0.2,Q1,
2,best__absolute_plus_deviation__c0.3_b0.2,Q2,
2,best__absolute_plus_deviation__c0.3_b0.2,Q3,
2,best__absolute_plus_deviation__c0.3_b0.2,S1,
2,best__absolute_plus_deviation__c0.3_b0.2,S2,
2,best__absolute_plus_deviation__c0.3_b0.2,S3,0.519412395682011
