candidate_id,step,row,target_index,target,removed_move,sensor_rank,remove_score,after_route,after_h098,after_curv_marg,after_badw,after_badmax,after_h088,after_margin,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin
h122_prune_sensor_ge070_balanced_7f237a6f,1,62,6,S4,-0.13585946726484233,0.992,0.002640640639683716,-0.0005695092359459163,-1.4096745742049935e-05,4.803193249917079e-05,0.0,0.0,-0.010434047131559553,0.09037708348016031,-1.6178759834793114e-06,-5.358524699327835e-06,8.829497347778107e-07,0.0,0.0,-0.0068059720456915725,0.003666032587767709
h122_prune_sensor_ge070_balanced_7f237a6f,2,12,5,S3,-0.09515148963026632,0.9,0.0020280311840286764,-0.0005709985911836703,-1.8503083953621082e-05,4.6554665009256946e-05,0.0,0.0,-0.013425443298757481,0.09235399489199933,-1.4893552377540607e-06,-4.406338211571147e-06,-1.4772674899138447e-06,0.0,0.0,-0.0029913961671979277,0.001976911411839019
h122_prune_sensor_ge070_balanced_7f237a6f,3,55,6,S4,0.09249343667677512,0.876,0.001947647612569393,-0.000572479573018736,-2.114249519880333e-05,4.469816648219145e-05,0.0,0.0,-0.018418622891186415,0.09434640669810263,-1.480981835065608e-06,-2.639411245182249e-06,-1.8564985270654987e-06,0.0,0.0,-0.004993179592428934,0.0019924118061032947
h122_prune_sensor_ge070_balanced_7f237a6f,4,207,4,S2,0.1210380655460952,0.96,0.0017149047714791698,-0.0005740505943980196,-2.089967765391942e-05,4.558408708579863e-05,0.0,0.0,-0.026105842990445265,0.09808003953029927,-1.5710213792836675e-06,2.4281754488391163e-07,8.859206036071834e-07,0.0,0.0,-0.007687220099258849,0.0037336328321966455
h122_prune_sensor_ge070_balanced_7f237a6f,5,145,6,S4,0.08328965393586474,0.724,0.0017643806806973555,-0.0005755025999268608,-2.31363474028607e-05,4.383590089683054e-05,0.0,0.0,-0.03028917634899467,0.10000981517442324,-1.4520055288411507e-06,-2.2366697489412807e-06,-1.74818618896809e-06,0.0,0.0,-0.004183333358549406,0.001929775644123971
h122_prune_sensor_ge070_balanced_7f237a6f,6,224,4,S2,0.11774434151632662,0.904,0.001724053494620071,-0.0005770632184665419,-2.2832341030994434e-05,4.550643614033138e-05,0.0,0.0,-0.03826063109571392,0.10423433899535249,-1.5606185396811224e-06,3.0400637186626684e-07,1.6705352435008366e-06,0.0,0.0,-0.007971454746719248,0.004224523820929249
h122_prune_sensor_ge070_balanced_7f237a6f,7,207,0,Q1,-0.08955908022168368,0.96,0.0016672187189668297,-0.0005785349591123772,-2.4284516085523993e-05,4.546604684035481e-05,0.0,0.0,-0.043367673950243595,0.1069370695325207,-1.4717406458353115e-06,-1.4521750545295597e-06,-4.0389299976566206e-08,0.0,0.0,-0.005107042854529675,0.002702730537168213
h122_prune_sensor_ge070_balanced_7f237a6f,8,213,4,S2,0.10055791931687574,0.88,0.0017069106825543393,-0.000580041352668502,-2.4632080049081205e-05,4.6889603072932566e-05,0.0,0.0,-0.05067282148225294,0.11066427063685196,-1.506393556124832e-06,-3.4756396355721184e-07,1.423556232577755e-06,0.0,0.0,-0.007305147532009344,0.0037272011043312514
h122_prune_sensor_ge070_balanced_7f237a6f,9,131,0,Q1,0.0901350428933605,0.772,0.0016469705670372164,-0.0005815149069802922,-2.4921282063729267e-05,4.700166836977041e-05,0.0,0.0,-0.056929617224484814,0.11395872554998805,-1.4735543117901442e-06,-2.8920201464806197e-07,1.1206529683784397e-07,0.0,0.0,-0.006256795742231876,0.0032944549131360967
h122_prune_sensor_ge070_balanced_7f237a6f,10,214,4,S2,0.09075550636088892,0.972,0.0016202780577383082,-0.0005829904152066693,-2.5702701692370718e-05,4.821563398726297e-05,0.0,0.0,-0.06258119902765837,0.11761834682539002,-1.4755082263771292e-06,-7.814196286414507e-07,1.213965617492558e-06,0.0,0.0,-0.005651581803173551,0.003659621275401967
h122_prune_sensor_ge070_balanced_7f237a6f,11,84,6,S4,-0.06870329261020847,0.936,0.001581837057158962,-0.0005843965539483307,-2.8291419675203393e-05,4.8320044398139595e-05,0.0,0.0,-0.06580951942915482,0.11988135373498224,-1.4061387416614089e-06,-2.5887179828326754e-06,1.0441041087662709e-07,0.0,0.0,-0.003228320401496454,0.002263006909592219
h122_prune_sensor_ge070_balanced_7f237a6f,12,215,6,S4,0.06304408132982053,0.812,0.0015671359410616666,-0.0005857849156390731,-3.043185041906387e-05,4.7493257531774566e-05,0.0,0.0,-0.06920419049848167,0.12189170877266621,-1.388361690742414e-06,-2.140430743860478e-06,-8.267868663650296e-07,0.0,0.0,-0.0033946710693268517,0.0020103550376839724
