held_fold,target,rank,source,source_family,selector_loss,held_loss
1,Q1,1,best__absolute__c0.1_b0.2,best_late_fusion,0.6727658030173043,0.6548073636342788
1,Q1,2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.6729153793169524,0.6542470716001195
1,Q1,3,best__absolute__c0.3_b0.2,best_late_fusion,0.6729339525903841,0.651744060832581
1,Q1,4,best__absolute__c0.03_b0.2,best_late_fusion,0.6729595818530814,0.6589555089707855
1,Q1,5,best__deviation__c0.3_b0.2,best_late_fusion,0.6732005379013576,0.6506519015256286
1,Q2,1,best_plus_trajectory_proto__deviation__c0.03_b0.2,trajectory_proto,0.6875048284777827,0.7041812875810302
1,Q2,2,best_plus_trajectory_proto__deviation__c0.1_b0.2,trajectory_proto,0.688774597211897,0.7052545249563769
1,Q2,3,best__deviation__c0.03_b0.2,best_late_fusion,0.6889373017514493,0.7266318410346375
1,Q2,4,best__deviation__c0.1_b0.2,best_late_fusion,0.6896335148042678,0.729757578700544
1,Q2,5,best_plus_trajectory_proto__absolute__c0.03_b0.2,trajectory_proto,0.6900358463517966,0.6995793091403187
1,Q3,1,best__deviation__c0.3_b0.2,best_late_fusion,0.6692243415562183,0.6767828113570569
1,Q3,2,best__deviation__c0.1_b0.2,best_late_fusion,0.6695973067026628,0.6778632562875562
1,Q3,3,best__deviation__c0.03_b0.2,best_late_fusion,0.670062860382424,0.680744127347582
1,Q3,4,best__absolute__c0.3_b0.2,best_late_fusion,0.6705467395471876,0.6745606022908137
1,Q3,5,best__absolute__c0.1_b0.2,best_late_fusion,0.6707698299312166,0.6769319243116881
1,S1,1,best_plus_trajectory_proto__absolute_plus_deviation__c0.3_b0.2,trajectory_proto,0.5737102863891244,0.5624099227144027
1,S1,2,best_plus_trajectory_proto__deviation__c0.3_b0.2,trajectory_proto,0.5738609933295448,0.5613909509681148
1,S1,3,best_plus_trajectory_proto__absolute_plus_deviation__c0.1_b0.2,trajectory_proto,0.5739722825827536,0.5605195109996629
1,S1,4,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5739749657354346,0.5585774309855461
1,S1,5,best_plus_trajectory_proto__deviation__c0.1_b0.2,trajectory_proto,0.574124076822049,0.5598433532459266
1,S2,1,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.574231357297906,0.5984160558888165
1,S2,2,best__absolute_plus_deviation__c0.3_b0.05,best_late_fusion,0.5743857509671332,0.6011009897652739
1,S2,3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5744588756867305,0.593742773904609
1,S2,4,best__deviation__c0.3_b0.05,best_late_fusion,0.5745909816437463,0.6004893190682516
1,S2,5,best__absolute_plus_deviation__c0.1_b0.05,best_late_fusion,0.5746311982095038,0.5998590728408966
1,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5374680051668604,0.4757292551240594
1,S3,2,best_plus_trajectory_proto__absolute_plus_deviation__c0.3_b0.2,trajectory_proto,0.5398845017135759,0.4886228302106113
1,S3,3,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5407725582187567,0.4838918268516036
