model,policy,param,logloss,switched_cells,switched_rate,mean_realized_gain
gradient_boosted_gain,topfrac,0.04,0.6326124808674028,29,0.03945578231292517,0.00438460128359189
gradient_boosted_gain,threshold,0.08,0.6328005460753282,27,0.036734693877551024,0.0041965360756665016
gradient_boosted_gain,threshold,0.12,0.6335908846086941,6,0.00816326530612245,0.0034061975423007886
gradient_boosted_gain,topfrac,0.02,0.633641612963445,15,0.02040816326530612,0.003355469187549809
gradient_boosted_gain,topfrac,0.06,0.6339321420457396,44,0.05986394557823129,0.003064940105255222
gradient_boosted_gain,topfrac,0.08,0.6352155940051096,59,0.08027210884353742,0.0017814881458852777
gradient_boosted_gain,threshold,0.04,0.6366462683015822,66,0.08979591836734693,0.00035081384941261994
raw_knn_blend,baseline,0.0,0.6369970821509948,0,0.0,0.0
random_forest_gain,threshold,0.12,0.6375848002932141,3,0.004081632653061225,-0.0005877181422192353
gradient_boosted_gain,topfrac,0.1,0.6379321262494145,74,0.10068027210884353,-0.0009350440984197397
extra_trees_gain,topfrac,0.02,0.638800391558705,15,0.02040816326530612,-0.0018033094077102422
extra_trees_gain,threshold,0.12,0.63884175582941,1,0.0013605442176870747,-0.0018446736784152133
extra_trees_gain,topfrac,0.04,0.6393303801652825,29,0.03945578231292517,-0.0023332980142877365
extra_trees_gain,threshold,0.08,0.6394710263228066,6,0.00816326530612245,-0.002473944171811783
gradient_boosted_gain,topfrac,0.15,0.6394779029261932,110,0.14965986394557823,-0.002480820775198317
gradient_boosted_gain,threshold,0.02,0.6395549577734746,134,0.18231292517006803,-0.002557875622479796
gradient_boosted_gain,topfrac,0.2,0.64011806624056,147,0.2,-0.0031209840895651646
extra_trees_gain,topfrac,0.06,0.641504736304448,44,0.05986394557823129,-0.004507654153453269
extra_trees_gain,threshold,0.04,0.6416344191528071,37,0.050340136054421766,-0.00463733700181221
random_forest_gain,threshold,0.08,0.6422527875056848,19,0.02585034013605442,-0.005255705354690021
random_forest_gain,topfrac,0.02,0.6424145256448036,15,0.02040816326530612,-0.0054174434938088255
gradient_boosted_gain,threshold,0.01,0.6424248161217093,175,0.23809523809523808,-0.00542773397071445
gradient_boosted_gain,topfrac,0.3,0.6431380067091188,220,0.29931972789115646,-0.006140924558123914
gradient_boosted_gain,threshold,0.005,0.6435414139712745,193,0.26258503401360545,-0.006544331820279735
extra_trees_gain,topfrac,0.08,0.6437236379490977,59,0.08027210884353742,-0.006726555798102826
gradient_boosted_gain,threshold,0.0,0.6440207601480159,269,0.3659863945578231,-0.007023677997021028
random_forest_gain,topfrac,0.04,0.6447423202467114,29,0.03945578231292517,-0.0077452380957165326
gradient_boosted_gain,topfrac,0.5,0.6452890383378357,368,0.5006802721088436,-0.008291956186840832
extra_trees_gain,topfrac,0.1,0.6457411327650259,74,0.10068027210884353,-0.008744050614031044
gradient_boosted_gain,threshold,-0.01,0.6459148733355227,589,0.8013605442176871,-0.008917791184527832
gradient_boosted_gain,threshold,-0.02,0.6465050305953027,693,0.9428571428571428,-0.009507948444307976
random_forest_gain,topfrac,0.06,0.648053206938389,44,0.05986394557823129,-0.011056124787394154
random_forest_gain,threshold,0.04,0.6483665343471992,75,0.10204081632653061,-0.011369452196204333
random_forest_gain,topfrac,0.08,0.6484104871662908,59,0.08027210884353742,-0.011413405015296021
random_forest_gain,topfrac,0.1,0.6484911327404926,74,0.10068027210884353,-0.01149405058949788
extra_trees_gain,threshold,0.02,0.6486222803700364,93,0.12653061224489795,-0.011625198219041566
extra_trees_gain,topfrac,0.15,0.649466035298267,110,0.14965986394557823,-0.012468953147272244
extra_trees_gain,threshold,0.005,0.6500184153078157,168,0.22857142857142856,-0.013021333156820896
extra_trees_gain,topfrac,0.3,0.6505437830093261,220,0.29931972789115646,-0.013546700858331434
extra_trees_gain,threshold,0.01,0.6505940011393012,132,0.17959183673469387,-0.013596918988306424
extra_trees_gain,threshold,0.0,0.6506896934919923,233,0.31700680272108844,-0.013692611340997493
extra_trees_gain,topfrac,0.2,0.6510146884865642,147,0.2,-0.014017606335569434
extra_trees_gain,threshold,-0.01,0.6511416541742376,566,0.7700680272108843,-0.014144572023242845
random_forest_gain,topfrac,0.15,0.6522347041749518,110,0.14965986394557823,-0.01523762202395699
random_forest_gain,threshold,0.02,0.6537625205582693,123,0.1673469387755102,-0.01676543840727459
extra_trees_gain,topfrac,0.5,0.654507774026371,368,0.5006802721088436,-0.017510691875376176
random_forest_gain,threshold,0.0,0.6548221118188337,168,0.22857142857142856,-0.017825029667838957
extra_trees_gain,threshold,-0.02,0.6548912842275941,676,0.9197278911564626,-0.017894202076599395
random_forest_gain,threshold,0.01,0.655056259636314,144,0.19591836734693877,-0.01805917748531922
random_forest_gain,topfrac,0.3,0.6551418853734686,220,0.29931972789115646,-0.018144803222473888
random_forest_gain,threshold,0.005,0.6552407155853367,154,0.20952380952380953,-0.018243633434341922
random_forest_gain,topfrac,0.2,0.6553664242633765,147,0.2,-0.018369342112381715
random_forest_gain,topfrac,0.5,0.6564945323441294,368,0.5006802721088436,-0.019497450193134612
random_forest_gain,threshold,-0.02,0.6587065938129439,687,0.9346938775510204,-0.021709511661949187
random_forest_gain,threshold,-0.01,0.6591750006779621,581,0.7904761904761904,-0.02217791852696723
