fold,heldout_subjects,positive_rate,auc,ap,feature_family
0,"id03,id04",0.5,0.47165532879818595,0.48486963359979235,direction_listener_only
1,"id08,id10",0.5,0.4643430405870213,0.4797143279306426,direction_listener_only
2,"id01,id07",0.5,0.5031746031746032,0.5007302017989849,direction_listener_only
3,"id05,id06",0.5,0.5015527950310559,0.5081351363664691,direction_listener_only
4,"id02,id09",0.5,0.48658564549415273,0.498869551543276,direction_listener_only
0,"id03,id04",0.5,0.6622688334593096,0.6376637688419575,action_geometry_direction
1,"id08,id10",0.5,0.5599658876301435,0.5449493087950368,action_geometry_direction
2,"id01,id07",0.5,0.6528231292517006,0.6493584769307339,action_geometry_direction
3,"id05,id06",0.5,0.5995681590216427,0.5978275067304497,action_geometry_direction
4,"id02,id09",0.5,0.6863362438776799,0.6560154032903804,action_geometry_direction
0,"id03,id04",0.5,0.4911161501637692,0.4947282840882127,human_signed_direction
1,"id08,id10",0.5,0.48328133172218507,0.48431656245351185,human_signed_direction
2,"id01,id07",0.5,0.5105165028974553,0.5070673476467706,human_signed_direction
3,"id05,id06",0.5,0.5026293835114386,0.5096379373652143,human_signed_direction
4,"id02,id09",0.5,0.4615102195404105,0.47191905211897345,human_signed_direction
0,"id03,id04",0.5,0.51072940287226,0.5004881635487205,masked_pretext_signed_direction
1,"id08,id10",0.5,0.5234857482950256,0.5193356314707118,masked_pretext_signed_direction
2,"id01,id07",0.5,0.4953817082388511,0.5111178997537236,masked_pretext_signed_direction
3,"id05,id06",0.5,0.4933463697388218,0.5025036162161926,masked_pretext_signed_direction
4,"id02,id09",0.5,0.5263095517212061,0.5374150473486634,masked_pretext_signed_direction
0,"id03,id04",0.5,0.5077752582514486,0.5034485041630652,responsibility_weighted_pretext_direction
1,"id08,id10",0.5,0.52951209520546,0.5233878994280472,responsibility_weighted_pretext_direction
2,"id01,id07",0.5,0.47629503653313177,0.4901285253851114,responsibility_weighted_pretext_direction
3,"id05,id06",0.5,0.49068443539986883,0.5013853431297226,responsibility_weighted_pretext_direction
4,"id02,id09",0.5,0.5409683378464376,0.5492801877298057,responsibility_weighted_pretext_direction
0,"id03,id04",0.5,0.4962975560594608,0.4907442545243622,human_plus_pretext_signed_direction
1,"id08,id10",0.5,0.5146922801439728,0.5210462484978917,human_plus_pretext_signed_direction
2,"id01,id07",0.5,0.4538334593096498,0.4783643504566498,human_plus_pretext_signed_direction
3,"id05,id06",0.5,0.49716807800624974,0.5018521614710384,human_plus_pretext_signed_direction
4,"id02,id09",0.5,0.4925501572930649,0.4949165695362478,human_plus_pretext_signed_direction
