route_id,row,subject_id,route_name,targets,value_mode,masked_head,masked_latent_score,masked_overall_oof,masked_head_score,known_white_rank,max_known_overlap_ratio,mean_known_overlap_ratio,raw_transition_q,posterior_delta_sum,hard_delta_sum,source_proxy_sum,dual_pareto
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_source_bridge,white_q2,0.6561345235856046,0.5576288983934421,0.6722877658274378,0.1840662156621566,1.0,1.0,0.996,-0.011578987095817003,-0.012023687364471753,-7.5125390145513786e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_binary_edge,white_q2,0.6560626285048119,0.5574463239825383,0.6722747478489134,0.1840662156621566,1.0,1.0,0.996,-0.009371617669596233,-0.0071033137131075366,-5.43657466824378e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_q,white_q2,0.6559934191355961,0.5572817912614866,0.6721725278448589,0.1840662156621566,1.0,1.0,0.996,-0.009678972379540143,-0.01252600246843062,-6.488025730663154e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,white_q2,0.6400974809422766,0.5395731353905268,0.6415985527739368,0.1840662156621566,1.0,1.0,0.996,-0.012105336598427987,-0.011639376556941349,-7.833121080906168e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,white_q2,0.6400323316270599,0.5401132319327017,0.6411708701412306,0.1840662156621566,1.0,1.0,0.996,-0.012421580804171653,-0.01110673525426935,-8.207257365733764e-06,1.0
r099_full_state,99,id04,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,white_q2,0.6388581386187673,0.5653875644405745,0.6601258560193745,0.1840662156621566,1.0,1.0,0.792,-0.01030441738071669,-0.0063434442609291986,-8.607745183690542e-06,1.0
r099_full_state,99,id04,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,white_q2,0.6379875067603262,0.5644516722775741,0.6591230692995789,0.1840662156621566,1.0,1.0,0.792,-0.010415026804031169,-0.006140505490336234,-8.598274957784912e-06,1.0
r236_full_state,236,id10,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,white_q2,0.6377667638509019,0.5525849286578464,0.6518123336296069,0.42968429684296844,1.0,0.9642857142857143,0.864,-0.009448016478136645,-0.00019153964161272574,-5.217627458957192e-06,1.0
r236_full_state,236,id10,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,white_q2,0.6371883451298622,0.5510581885866922,0.6511205852445333,0.42968429684296844,1.0,0.9642857142857143,0.864,-0.008953122596139784,-0.0010248715706651645,-4.729852846434085e-06,1.0
r053_full_state,53,id02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,white_q2,0.6367049232081791,0.5496828952333603,0.6464764364278754,0.1840662156621566,1.0,1.0,0.896,-0.007727302848390088,-0.0032004116096693456,-6.540473166151576e-06,1.0
