file,resolved_path,candidate_id,family,posterior_delta_vs_h012,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_vs_h012,max_abs_prob_vs_h012,mean_abs_logit_vs_h012,l1_logit_vs_e247,support_overlap_h012,outside_support_changed,changed_Q1_vs_h012,changed_Q2_vs_h012,changed_Q3_vs_h012,changed_S1_vs_h012,changed_S2_vs_h012,changed_S3_vs_h012,changed_S4_vs_h012,scale,k,alpha,selected_cells,rolled_target,rolled_cells,kept_target,kept_cells,rolled_group,kept_group,rolled_subject,memory_slice,perm_seed
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p35_1d644065.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p35_1d644065.csv,support_ray_scale_0p35,support_ray_scale,0.0028988943321104728,1200,250,0.013854088659368434,0.19129337883822023,0.21146147658154035,199.26177600952855,1.0,0,167,105,141,194,207,194,192,0.35,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p5_25382853.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p5_25382853.csv,support_ray_scale_0p5,support_ray_scale,0.0019384965071731176,1200,250,0.010529216187910001,0.14584520178974436,0.1626626742934924,284.6596800136124,1.0,0,167,105,141,194,207,194,192,0.5,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p65_d44c9587.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p65_d44c9587.csv,support_ray_scale_0p65,support_ray_scale,0.0011810221906851867,1200,250,0.007306585961089042,0.1006270056054076,0.11386387200544515,370.05758401769515,1.0,0,167,105,141,194,207,194,192,0.65,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p8_c19aba3e.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p8_c19aba3e.csv,support_ray_scale_0p8,support_ray_scale,0.0005819726599295201,1200,250,0.004145117447331264,0.05636999341622606,0.06506506971739821,455.4554880217773,1.0,0,167,105,141,194,207,194,192,0.8,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p9_486879df.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_0p9_486879df.csv,support_ray_scale_0p9,support_ray_scale,0.0002612904153410326,1200,250,0.0020634961697456222,0.02773389966834139,0.032532534858700654,512.3874240244979,1.0,0,167,105,141,194,207,194,192,0.9,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p0_d33942cf.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p0_d33942cf.csv,support_ray_scale_1p0,support_ray_scale,-1.2893874336283862e-18,0,0,1.0880185641326535e-17,1.1102230246251565e-16,3.16133332929228e-14,569.3193600272298,1.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p1_2198f09a.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p1_2198f09a.csv,support_ray_scale_1p1,support_ray_scale,-0.00020397478139566459,1200,250,0.0020467665478510655,0.026680154764930686,0.03253253485867834,626.2512960299111,1.0,0,167,105,141,194,207,194,192,1.1,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p2_88286a3a.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p2_88286a3a.csv,support_ray_scale_1p2,support_ray_scale,-0.00035227845424158296,1200,250,0.004077809996393054,0.05218111690657257,0.06506506971748227,683.1832320328181,1.0,0,167,105,141,194,207,194,192,1.2,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p35_16aa1e7c.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p35_16aa1e7c.csv,support_ray_scale_1p35,support_ray_scale,-0.00047333983952222645,1200,250,0.0070965815884605835,0.08801440840662533,0.11386387200525984,768.5811360364288,1.0,0,167,105,141,194,207,194,192,1.35,,,,,,,,,,,,
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p5_d7107c51.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_support_ray_scale_1p5_d7107c51.csv,support_ray_scale_1p5,support_ray_scale,-0.0004762556200080285,1200,250,0.0100838703435061,0.12451987122209301,0.1497073827482844,831.3072798367219,1.0,0,167,105,141,194,207,194,192,1.5,,,,,,,,,,,,
