family,n,best_candidate_id,best_pred_public_median,best_margin_vs_h012,best_margin_vs_duplicate,best_support_better_than_h012,best_risk_width,median_pred_public,min_pred_public,max_support_better_than_h012
target_rollback,7,rollback_target_S1,0.5704947439739189,0.0023712608739188124,-0.0011542362314068688,0.11666666666666667,0.005961265119653558,0.5719258955643931,0.5704947439739189,0.11666666666666667
posterior_topk,27,posterior_top_k1200_a0p7,0.5705941605729903,0.0024706774729902348,-0.0010548196323354464,0.16666666666666666,0.01639183983705117,0.5734589800417026,0.5705941605729903,0.16666666666666666
subject_rollback,10,rollback_subject_id03,0.5709247063462077,0.0028012232462076847,-0.0007242738591179965,0.08333333333333333,0.005154202430160071,0.5718786903923998,0.5699457313966633,0.18333333333333332
memory_rollback,12,rollback_private_safe_k250,0.5729145614535696,0.004791078353569511,0.00126558124824383,0.03333333333333333,0.005353538385585943,0.5740015746006869,0.5716120326312419,0.2833333333333333
support_ray_scale,10,support_ray_scale_0p35,0.5740904726308753,0.005966989530875266,0.002441492425549585,0.1,0.005850707483051831,0.5726876998823203,0.5714208363400282,0.11666666666666667
memory_only,12,only_memory_agree_k500,0.5743975279464232,0.006274044846423132,0.0027485477410974513,0.016666666666666666,0.005422146347148327,0.5744559406769165,0.5737864823486196,0.08333333333333333
target_group_only,2,only_group_Q,0.5749487064182558,0.0068252233182557465,0.0032997262129300653,0.0,0.0019297189182999608,0.5736578499587182,0.5723669934991804,0.08333333333333333
target_group_rollback,2,rollback_group_S,0.5749487064182558,0.0068252233182557465,0.0032997262129300653,0.0,0.0019297189182999608,0.5736578499587182,0.5723669934991804,0.08333333333333333
target_only,7,only_target_S3,0.5751828502951724,0.007059367195172306,0.0035338700898466247,0.0,0.0017063570518603965,0.5753524004651203,0.5748298641607704,0.05
outside_support_matched,1,outside_support_targetcount_matched_top,0.5767206464880188,0.008597163388018747,0.005071666282693066,0.0,0.0014838380641050142,0.5767206464880188,0.5767206464880188,0.0
targetwise_rowperm,12,targetwise_rowperm_seed05,0.581149687132313,0.013026204032312916,0.009500706926987235,0.0,0.007740172222046926,0.5821275266491397,0.581149687132313,0.0
