file,resolved_path,candidate_id,family,posterior_delta_vs_h012,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_vs_h012,max_abs_prob_vs_h012,mean_abs_logit_vs_h012,l1_logit_vs_e247,support_overlap_h012,outside_support_changed,changed_Q1_vs_h012,changed_Q2_vs_h012,changed_Q3_vs_h012,changed_S1_vs_h012,changed_S2_vs_h012,changed_S3_vs_h012,changed_S4_vs_h012,scale,k,alpha,selected_cells,rolled_target,rolled_cells,kept_target,kept_cells,rolled_group,kept_group,rolled_subject,memory_slice,perm_seed,pred_public_median,pred_public_p10,pred_public_p90,pred_public_min,pred_public_max,support_better_than_h012,support_better_than_0567,n_predictions,resolved_path_h024,source,mean_abs_prob_move_h012,max_abs_prob_move_h012,changed_cells_h012_1e4,changed_rows_h012_1e4,bad_axis_abs_load,good_axis_abs_load,bad_to_good_load_ratio,state_h015_cell_score_w_h012,state_h023_combined_score_w_h012,state_h015_direction_agree,state_h023_direction_agree,pool_candidate_id,risk_width,decoder_score,margin_vs_h012_pred,h029_h012_duplicate_control_pred,margin_vs_h012_duplicate_pred,h029_score
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_S1_d403217e.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_S1_d403217e.csv,rollback_target_S1,target_rollback,0.0014551834271963626,194,194,0.0036994747072661054,0.15154162030558238,0.11071385542220352,375.5701130383914,0.8383333333333334,0,0,0,0,194,0,0,0,,,,,S1,194.0,,,,,,,,0.5704947439739189,0.56760046179694,0.5735617269165936,0.5565290940429661,0.5786713441912882,0.11666666666666667,0.08333333333333333,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_S1_d403217e.csv,h029_h012_needle_basin_invariant_jepa,0.003699474707266101,0.15154162030558238,194,194,12.414819691944826,3.5935803862657663,3.4547215740429955,2.846612298169667,0.403212211574567,0.3131633576768666,0.061756564063063735,rollback_target_S1,0.005961265119653558,0.5737728393167126,0.0023712608739188124,0.5716489802053257,-0.0011542362314068688,0.5725146915752221
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id03_5317b18e.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id03_5317b18e.csv,rollback_subject_id03,subject_rollback,0.0008961440592732423,116,21,0.002405249737010998,0.18962275842507526,0.03715202513962071,504.3033160329488,0.9033333333333333,0,17,13,14,16,17,19,20,,,,,,116.0,,,,,id03,,,0.5709247063462077,0.5694894273040283,0.5746436297341884,0.5416636670160664,0.5808658770287278,0.08333333333333333,0.08333333333333333,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id03_5317b18e.csv,h029_h012_needle_basin_invariant_jepa,0.0024052497370109925,0.18962275842507526,116,21,13.829189183565484,5.309103430476477,2.6048068872750414,3.0075852788386803,0.4339248117217721,0.3285635392072549,0.05069494672801889,rollback_subject_id03,0.005154202430160071,0.5736278596073101,0.0028012232462076847,0.5716489802053257,-0.0007242738591179965,0.57266451860872
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_Q1_97cb1b14.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_Q1_97cb1b14.csv,rollback_target_Q1,target_rollback,0.000980804366468477,167,167,0.0031474479681834772,0.18962275842507526,0.03682020471641966,504.8840017735507,0.8608333333333333,0,167,0,0,0,0,0,0,,,,,Q1,167.0,,,,,,,,0.5705887504996858,0.5685451186377555,0.574756302167516,0.5401402914715193,0.5812248197851055,0.1,0.1,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_Q1_97cb1b14.csv,h029_h012_needle_basin_invariant_jepa,0.003147447968183471,0.18962275842507526,167,167,14.654941190201866,4.401049675270114,3.329874068274984,2.6636781366207027,0.43992310746820706,0.37353327191442404,0.09610401013338057,rollback_target_Q1,0.006211183529760578,0.5739131206589984,0.0024652673996857777,0.5716489802053257,-0.0010602297056399035,0.5726980040095054
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id06_7a3a0e84.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id06_7a3a0e84.csv,rollback_subject_id06,subject_rollback,0.0015263599837730582,148,24,0.0029706762201948383,0.13227142769958056,0.11256067256744905,372.3381830342205,0.8766666666666667,0,19,21,20,22,23,20,23,,,,,,148.0,,,,,id06,,,0.5699457313966633,0.5634334973672448,0.5718601939118155,0.5558982059045555,0.5744242586269461,0.18333333333333332,0.13333333333333333,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id06_7a3a0e84.csv,h029_h012_needle_basin_invariant_jepa,0.0029706762201948344,0.13227142769958056,148,24,11.498505404432331,2.0280034035318963,5.669864941418289,3.041634132705151,0.4427718145877091,0.5309324074860933,0.05118119421494661,rollback_subject_id06,0.008426696544570733,0.5748520279167595,0.0018222482966632203,0.5716489802053257,-0.0017032488086624609,0.5728126930357874
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id04_0971487c.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id04_0971487c.csv,rollback_subject_id04,subject_rollback,0.0008266099130382729,115,27,0.002381594427623039,0.226229643392305,0.034384373224760484,509.14670688394676,0.9041666666666667,0,12,13,16,23,20,14,17,,,,,,115.0,,,,,id04,,,0.5706860747720901,0.5684172627865236,0.5749004520983326,0.5420461288880378,0.5858470997103539,0.1,0.1,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id04_0971487c.csv,h029_h012_needle_basin_invariant_jepa,0.002381594427623033,0.226229643392305,115,27,13.25698673359569,3.578222378580004,3.7049085627684595,2.6370652767617804,0.364162437944321,0.34720918993476324,0.08898545378355402,rollback_subject_id04,0.006483189311809023,0.5742369090281922,0.0025625916720900532,0.5716489802053257,-0.0009629054332356279,0.5728876435962034
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id02_e64984d5.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id02_e64984d5.csv,rollback_subject_id02,subject_rollback,0.0011332882824540865,162,32,0.0027968249660402945,0.18100817678276726,0.07147634708752844,444.23575262408576,0.865,0,20,10,20,29,30,28,25,,,,,,162.0,,,,,id02,,,0.5715878069878324,0.5695548848372077,0.5757169668984606,0.5491445207978309,0.5770226722087356,0.08333333333333333,0.06666666666666667,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_subject_id02_e64984d5.csv,h029_h012_needle_basin_invariant_jepa,0.0027968249660402906,0.18100817678276726,162,32,12.037319903545017,3.3682990705714495,3.5737087615349767,2.421498070965594,0.4665639796510898,0.08027407473528747,0.08456703814047604,rollback_subject_id02,0.006162082061252905,0.5749828337758083,0.0034643238878323546,0.5716489802053257,-6.11732174933266e-05,0.573682930748794
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_S2_ea8b6c0e.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_S2_ea8b6c0e.csv,rollback_target_S2,target_rollback,0.0015616803394814655,207,207,0.004465645760714045,0.11633259380752858,0.08461500918353262,421.2430939560797,0.8275,0,0,0,0,0,207,0,0,,,,,S2,207.0,,,,,,,,0.5719775109093823,0.5688006391553091,0.5758319518639854,0.5516958842590551,0.5783467174046393,0.08333333333333333,0.08333333333333333,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_target_S2_ea8b6c0e.csv,h029_h012_needle_basin_invariant_jepa,0.004465645760714041,0.11633259380752858,207,207,9.800647110747388,2.849014896312645,3.440012588207918,2.6305340358140095,0.4738326070508069,0.2590460519582401,0.0801711760487695,rollback_target_S2,0.007031312708676296,0.5756299747632918,0.0038540278093822655,0.5716489802053257,0.00032853070405658436,0.5743793635108659
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_private_safe_k250_8899870f.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_private_safe_k250_8899870f.csv,rollback_private_safe_k250,memory_rollback,0.0050675673917555866,250,138,0.008764506185316283,0.29411027902876097,0.25200320583401925,128.31374981769056,0.7916666666666666,0,26,6,23,68,51,46,30,,250.0,,,,250.0,,,,,,private_safe,,0.5729145614535696,0.5691158125119552,0.5744693508975411,0.5677281641192308,0.5760226773682599,0.03333333333333333,0.0,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_private_safe_k250_8899870f.csv,h029_h012_needle_basin_invariant_jepa,0.00876450618531628,0.29411027902876097,250,138,6.175817758287147,0.06789806123949198,90.95720193756969,2.9245692018466203,0.4407985207715913,0.323873205471456,0.03105996290561746,rollback_private_safe_k250,0.005353538385585943,0.606618320566674,0.004791078353569511,0.5716489802053257,0.00126558124824383,0.57474158012861
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_private_safe_k100_cc13a85f.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_private_safe_k100_cc13a85f.csv,rollback_private_safe_k100,memory_rollback,0.003392174802169316,100,69,0.004057103526456618,0.29411027902876097,0.21847135475357027,186.99448920847632,0.9166666666666666,0,8,0,7,32,27,13,13,,100.0,,,,100.0,,,,,,private_safe,,0.5717615346970757,0.5647232875503411,0.5735387405195151,0.563109983884643,0.574863745461925,0.2833333333333333,0.26666666666666666,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_private_safe_k100_cc13a85f.csv,h029_h012_needle_basin_invariant_jepa,0.004057103526456614,0.29411027902876097,100,69,8.4768023627735,0.3589211897453648,23.617447454606637,3.332504369735312,0.4189294083903013,0.3404798697706951,0.00340011937429732,rollback_private_safe_k100,0.008815452969174076,0.583070549845399,0.003638051597075642,0.5716489802053257,0.00011255449174996102,0.5747418964299587
hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_memory_disagree_k100_f80891bd.csv,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_memory_disagree_k100_f80891bd.csv,rollback_memory_disagree_k100,memory_rollback,0.0030870263115763074,100,71,0.003827417617682016,0.18962275842507526,0.21770221950162802,188.34047589937524,0.9166666666666666,0,8,0,5,30,28,13,16,,100.0,,,,100.0,,,,,,memory_disagree,,0.5716120326312419,0.5638332453135702,0.5735180312076045,0.562554944516604,0.574780036021924,0.2833333333333333,0.26666666666666666,60,/Users/kbsoo/Downloads/cl2/hitl/h029_h012_needle_basin_invariant_jepa/submission_h029_rollback_memory_disagree_k100_f80891bd.csv,h029_h012_needle_basin_invariant_jepa,0.003827417617682011,0.18962275842507526,100,71,8.886903881223436,0.9653036287622165,9.206330119583772,3.3454049342903427,0.41840416089233123,0.3416827746883244,6.09702584366945e-17,rollback_memory_disagree_k100,0.00968478589403432,0.5781814232360083,0.0034885495312418913,0.5716489802053257,-3.69475740837899e-05,0.574896660887826
