perm,real_top1200_sum,perm_top1200_sum,real_minus_perm
0,3.84714312653605,3.3690151876841163,0.4781279388519337
1,3.84714312653605,4.420522275080804,-0.5733791485447544
2,3.84714312653605,3.857458293151911,-0.01031516661586096
3,3.84714312653605,5.8235572400101665,-1.9764141134741164
4,3.84714312653605,3.7075830545279267,0.13956007200812337
5,3.84714312653605,2.5462187193677366,1.3009244071683135
6,3.84714312653605,3.007919189122971,0.8392239374130792
7,3.84714312653605,3.09219737557215,0.7549457509639002
8,3.84714312653605,3.797333550301218,0.049809576234832065
9,3.84714312653605,3.194287448387273,0.6528556781487769
10,3.84714312653605,3.8518306574320604,-0.004687530896010372
11,3.84714312653605,4.392285952875458,-0.5451428263394078
12,3.84714312653605,3.5750359284289885,0.2721071981070615
13,3.84714312653605,4.0046884704973635,-0.15754534396131348
14,3.84714312653605,3.0464053250121603,0.8007378015238897
15,3.84714312653605,3.126035611845132,0.7211075146909183
16,3.84714312653605,4.2004474960473726,-0.3533043695113225
17,3.84714312653605,3.924459653199487,-0.07731652666343702
18,3.84714312653605,3.8474566591732735,-0.00031353263722344593
19,3.84714312653605,2.860679809242197,0.9864633172938531
20,3.84714312653605,2.761140467689418,1.086002658846632
21,3.84714312653605,2.8514519712509276,0.9956911552851224
22,3.84714312653605,2.538367909002851,1.3087752175331993
23,3.84714312653605,3.761267513106998,0.08587561342905214
24,3.84714312653605,3.7241480812203083,0.12299504531574179
25,3.84714312653605,3.1513455222785876,0.6957976042574625
26,3.84714312653605,1.7953828746317368,2.051760251904313
27,3.84714312653605,3.2239674616759126,0.6231756648601374
28,3.84714312653605,3.3869695721805444,0.46017355435550567
29,3.84714312653605,4.520867263113614,-0.6737241365775644
30,3.84714312653605,3.5935396043828316,0.25360352215321846
31,3.84714312653605,2.9047134522312277,0.9424296743048224
32,3.84714312653605,3.199448631685134,0.6476944948509162
33,3.84714312653605,2.656704443431554,1.190438683104496
34,3.84714312653605,2.0523335195268437,1.7948096070092063
35,3.84714312653605,4.249177917889628,-0.4020347913535778
36,3.84714312653605,3.1585592012468924,0.6885839252891577
37,3.84714312653605,2.841874105343038,1.005269021193012
38,3.84714312653605,3.018244901561541,0.8288982249745089
39,3.84714312653605,2.941570654389375,0.9055724721466749
40,3.84714312653605,3.87437871488907,-0.027235588353019757
41,3.84714312653605,3.4192670163009176,0.4278761102351325
42,3.84714312653605,2.3520196706542436,1.4951234558818065
43,3.84714312653605,3.278679018553775,0.5684641079822752
44,3.84714312653605,2.981258233894298,0.865884892641752
45,3.84714312653605,3.199156200247808,0.6479869262882421
46,3.84714312653605,3.709082300946089,0.13806082558996113
47,3.84714312653605,3.285496237839273,0.5616468886967771
48,3.84714312653605,3.4789903865605893,0.3681527399754607
49,3.84714312653605,3.971863079376096,-0.12471995284004578
50,3.84714312653605,3.5001242464229296,0.34701888011312043
51,3.84714312653605,2.8970715224573667,0.9500716040786834
