source_experiment,candidates,materialized,world_good_action_bad,survivor_hint,mean_h024_margin,max_h024_support
h036,104,104,98,0,0.005081479390288315,0.25
h037,253,253,107,87,0.0011550923041940143,0.5833333333333334
h038,459,459,283,35,0.0013072247725726762,0.25
