candidate_id,file,resolved_path,family,alpha,changed_cells,changed_rows,mean_abs_prob_move_h012,max_abs_prob_move_h012,world_expected_delta_vs_h012,world_delta_iqr,full_known_h024_pred_public_median,full_known_h024_pred_public_p10,full_known_h024_pred_public_p90,full_known_h024_margin_vs_h012_median,full_known_h024_margin_vs_h012_p10,full_known_h024_margin_vs_h012_p90,full_known_h024_support_better_than_h012,full_known_h024_model_count,pre_h012_h024_pred_public_median,pre_h012_h024_pred_public_p10,pre_h012_h024_pred_public_p90,pre_h012_h024_margin_vs_h012_median,pre_h012_h024_margin_vs_h012_p10,pre_h012_h024_margin_vs_h012_p90,pre_h012_h024_support_better_than_h012,pre_h012_h024_model_count,h025_score,pred_gain_top1200_sum,pred_gain_mean_moved,pred_positive_rate_moved,ood_abs_delta_rate,h036_score,source_experiment,world_cell_delta_vs_h012,posterior_delta_vs_h012,changed_cells_vs_h012,mean_abs_logit_move_h012,new_support_cells,support_cells_changed,world_row_delta_vs_h012,support_world_cell_delta_vs_h012,ray_cosine,h037_score,changed_rows_vs_h012,max_abs_logit_move_h012,memory_delta_vs_h012,target_group,k,mem_alpha,rows_selected,h038_score,badness_weight,world_good_action_bad,h024_survivor_hint,source_candidate_id
h036_target_Q2_k140_a1_c140_9ef667d6,submission_h036_target_Q2_k140_a1_c140_9ef667d6.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_target_Q2_k140_a1_c140_9ef667d6.csv,target_Q2_k140,1.0,140.0,140.0,0.0026546569952764,0.1063466758023821,-0.000235201174501,0.001596823454558,0.5742937910850161,0.5684560834310473,0.5976419922892123,0.0059887723498824,0.0003317519239214,0.0295055510957894,0.0,12,0.5893311711486129,0.5383552473167866,0.5975570072066643,0.0014307486211121,-0.1210919296072585,0.0352424348949152,0.25,12,-3.102087123548732,3.102087123548732,0.0221577651682052,0.7857142857142857,0.0,0.7490384615384615,h036,-0.000235201174501,,140,,,,,,,,,,,,,,,,0.5659558823529411,True,False,h036:h036_target_Q2_k140_a1_c140_9ef667d6
h036_celltop_k1600_a0.25_c1600_503f11ff,submission_h036_celltop_k1600_a0.25_c1600_503f11ff.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1600_a0.25_c1600_503f11ff.csv,celltop_k1600,0.25,1600.0,250.0,0.0055904165105995,0.0372393454483046,-0.0009834838913222,0.0011853747022463,0.5736965924656877,0.5702063306047187,0.589730802019648,0.0053915737305539,0.0020819990975928,0.021595114027039,0.0,12,0.5674494434031934,0.5420525496634472,0.6347513186835271,0.0050777189133996,-0.141995430244481,0.0490185890083571,0.25,12,-15.460130137288932,15.46014442300322,-0.0030970113198411,0.444375,0.0005714285714285,0.7586538461538461,h036,-0.0009834838913222,,1600,,,,,,,,,,,,,,,,0.7242401960784314,True,False,h036:h036_celltop_k1600_a0.25_c1600_503f11ff
h036_target_Q2_k140_a0.7_c140_3a944f1c,submission_h036_target_Q2_k140_a0.7_c140_3a944f1c.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_target_Q2_k140_a0.7_c140_3a944f1c.csv,target_Q2_k140,0.7,140.0,140.0,0.00186202553343,0.0739504337291784,-0.0002131288045339,0.0011191013642465,0.5741769891535448,0.5683236054717832,0.5976549293442514,0.005871970418411,0.0001992739646574,0.0295184881508284,0.0833333333333333,12,0.5893244993062656,0.5379106247808223,0.5975448415851734,0.0009975296342545,-0.1210916489931208,0.0352471719325554,0.25,12,-3.1014423672851548,3.1014423672851548,0.0221531597663225,0.7928571428571428,0.0,0.7682692307692307,h036,-0.0002131288045339,,140,,,,,,,,,,,,,,,,0.49330882352941174,True,False,h036:h036_target_Q2_k140_a0.7_c140_3a944f1c
h036_target_Q2_k80_a1_c80_5183b5b2,submission_h036_target_Q2_k80_a1_c80_5183b5b2.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_target_Q2_k80_a1_c80_5183b5b2.csv,target_Q2_k80,1.0,80.0,80.0,0.0018661439627709,0.1063466758023821,-0.0001969959519462,0.0015000240473254,0.5741886858585772,0.5683604179735239,0.5980717649474385,0.0058836671234435,0.000236086466398,0.0299353237540156,0.0,12,0.59047304161413,0.5381387178851764,0.5985265243713411,0.0012090890736395,-0.1200250056494621,0.0362155078292726,0.25,12,-1.8137816026564615,1.8137816026564615,0.0226722700332057,0.775,0.0,0.864423076923077,h036,-0.0001969959519462,,80,,,,,,,,,,,,,,,,0.5496323529411765,True,False,h036:h036_target_Q2_k80_a1_c80_5183b5b2
h036_celltop_k1600_a0.45_c1600_f852b1b0,submission_h036_celltop_k1600_a0.45_c1600_f852b1b0.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1600_a0.45_c1600_f852b1b0.csv,celltop_k1600,0.45,1600.0,250.0,0.0100391193725755,0.0653008171270168,-0.0015633659186561,0.0021353901099639,0.5739858707398195,0.5714510463403183,0.5897100458652077,0.0056808520046858,0.0032920454116884,0.0215743578725986,0.0,12,0.5676559086507625,0.5463008868248381,0.6328045277609338,0.0091142006560107,-0.1419999254546521,0.0470717980857637,0.25,12,-15.622042992553784,15.62265727826807,-0.0029932596142896,0.445625,0.0245714285714285,0.8740384615384615,h036,-0.0015633659186561,,1600,,,,,,,,,,,,,,,,0.7542401960784314,True,False,h036:h036_celltop_k1600_a0.45_c1600_f852b1b0
h036_celltop_k200_a0.25_c200_19cc7079,submission_h036_celltop_k200_a0.25_c200_19cc7079.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k200_a0.25_c200_19cc7079.csv,celltop_k200,0.25,200.0,116.0,0.0009644456735493,0.0372393454483046,-0.0003660837849783,0.000698736480065,0.5723330861350866,0.5687562242085574,0.5827748348700106,0.0040280673999528,0.0005631911107505,0.0145249280405404,0.0,12,0.5581740218311525,0.5411579976651556,0.6314299357905422,0.0040376797504294,-0.1569634414755504,0.0454657634713432,0.25,12,-4.664511195239659,4.6645254809539445,0.0233226274047697,0.64,0.0005714285714285,0.8740384615384615,h036,-0.0003660837849783,,200,,,,,,,,,,,,,,,,0.681936274509804,True,False,h036:h036_celltop_k200_a0.25_c200_19cc7079
h036_celltop_k400_a0.25_c400_9beb37c7,submission_h036_celltop_k400_a0.25_c400_9beb37c7.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k400_a0.25_c400_9beb37c7.csv,celltop_k400,0.25,400.0,186.0,0.0021820868876279,0.0372393454483046,-0.0006238864707665,0.00093113456964,0.5727501618058326,0.5691753004591756,0.5857930875084413,0.0044451430706988,0.0009426666239691,0.0175431806789712,0.0,12,0.5613255386033662,0.5414442095089268,0.6329401706622662,0.0043467702998228,-0.1511047581489694,0.047118613965305,0.25,12,-3.4691625663129755,3.4691768520272612,0.0086729421300681,0.54,0.0005714285714285,0.8740384615384617,h036,-0.0006238864707665,,400,,,,,,,,,,,,,,,,0.7304656862745097,True,False,h036:h036_celltop_k400_a0.25_c400_9beb37c7
h036_target_Q2_k80_a0.7_c80_c611afae,submission_h036_target_Q2_k80_a0.7_c80_c611afae.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_target_Q2_k80_a0.7_c80_c611afae.csv,target_Q2_k80,0.7,80.0,80.0,0.0013099512689979,0.0739504337291784,-0.0001781935986362,0.0010497153466662,0.5741079861650547,0.5682710568015985,0.5980803546282333,0.0058029674299208,0.0001467252944727,0.0299439134348103,0.0,12,0.5904678935012223,0.5377630965792657,0.5985310497028467,0.0008441906307272,-0.1200250150354049,0.0362190010435138,0.25,12,-1.8062997752791947,1.8062997752791947,0.0225787471909899,0.8,0.0,0.8932692307692308,h036,-0.0001781935986362,,80,,,,,,,,,,,,,,,,0.4719852941176471,True,False,h036:h036_target_Q2_k80_a0.7_c80_c611afae
h036_target_Q2_k140_a0.45_c140_73b59721,submission_h036_target_Q2_k140_a0.45_c140_73b59721.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_target_Q2_k140_a0.45_c140_73b59721.csv,target_Q2_k140,0.45,140.0,140.0,0.0011986709477497,0.0471766654896335,-0.0001630593009768,0.000719505337684,0.5740792526898426,0.5682129640097964,0.597665215694649,0.0057742339547089,8.863250267056034e-05,0.029528774501226,0.0833333333333333,12,0.5893190443544358,0.5375400860988531,0.5975345296698307,0.0006364977733103,-0.1210915011387433,0.0352509828709437,0.25,12,-3.0821886744614355,3.0821886744614355,0.0220156333890102,0.7928571428571428,0.0,0.9028846153846154,h036,-0.0001630593009768,,140,,,,,,,,,,,,,,,,0.40928921568627447,True,False,h036:h036_target_Q2_k140_a0.45_c140_73b59721
h036_celltop_k1600_a0.7_c1600_7716e2b2,submission_h036_celltop_k1600_a0.7_c1600_7716e2b2.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1600_a0.7_c1600_7716e2b2.csv,celltop_k1600,0.7,1600.0,250.0,0.0155731317912216,0.0980152324446134,-0.0020356181795472,0.0033147823235215,0.5743489839320645,0.5725087571378209,0.5896863289670065,0.0060439651969307,0.0042490675716818,0.0215506409743974,0.0,12,0.5687027182327594,0.5516118304128473,0.6303704714786349,0.0141603642031352,-0.1420050643936835,0.0446377418034649,0.25,12,-15.73899031481129,15.739647457668433,-0.002955089237388,0.45,0.0262857142857142,0.9125,h036,-0.0020356181795472,,1600,,,,,,,,,,,,,,,,0.7716911764705882,True,False,h036:h036_celltop_k1600_a0.7_c1600_7716e2b2
