atom_id,kind,row,targets,frac,gamma,bundle_score,roles,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin,h139_atom_score
forward_r207_S2S4_f0p5,forward,207,"S2,S4",0.5,0.0,0.6691401893499305,,2.8863257616118174e-06,1.4776424461028807e-06,-2.574278217015377e-06,0.0,0.0,0.013140490631174506,-0.010226010179217426,-0.37052797886336286
anti1_r207_S2S4_f0p5,anti1,207,"S2,S4",0.5,1.0,0.6691401893499305,stress_decoy,2.8863257616118174e-06,6.434119293501116e-06,3.3359848374940344e-06,0.0,0.0,-0.005170532367264925,-0.010226010179217426,-0.32756185088810524
forward_r207_S2_f0p25,forward,207,S2,0.25,0.0,0.6545344073566985,,1.3631107782436681e-06,-8.255517867884407e-08,-9.584704266101148e-07,0.0,0.0,0.005012844450281141,-0.0022777828622640717,-0.08262721399949867
anti025_r207_S2_f0p25,anti025,207,S2,0.25,0.25,0.6545344073566985,toxicity_relief,1.233949541102437e-06,6.526906353664617e-07,4.690112670590208e-07,0.0,0.0,-0.0009886857211115832,-0.00014527248194942666,0.0026308080934539157
anti05_r207_S2_f0p25,anti05,207,S2,0.25,0.5,0.6545344073566985,stress_decoy,1.2769427966321384e-06,1.2543377621987558e-06,7.622873964407018e-07,0.0,0.0,-0.0018593842480903108,-0.0005787189126356396,-0.005589939497304115
anti1_r207_S2_f0p25,anti1,207,S2,0.25,1.0,0.6545344073566985,stress_decoy,1.3631107782436681e-06,2.457654363320237e-06,1.2744416648274338e-06,0.0,0.0,-0.0032375837153184664,-0.0022777828622640717,-0.05525847170322304
forward_r207_S2_f0p5,forward,207,S2,0.5,0.0,0.6545344073566985,,1.536172623673067e-06,-2.1604212861042749e-07,-2.5646773313811252e-06,0.0,0.0,0.011258653494110857,-0.008566717891192399,-0.30910848348981596
anti1_r207_S2_f0p5,anti1,207,S2,0.5,1.0,0.6545344073566985,stress_decoy,1.536172623673067e-06,4.864376955387843e-06,1.8296398065862501e-06,0.0,0.0,-0.004581916149349476,-0.008566717891192399,-0.2713735895535499
forward_r164_S1S4_f0p25,forward,164,"S1,S4",0.25,0.0,0.6166966711260954,,-1.3267636260243243e-05,1.1031351984725542e-06,-4.4214494455139045e-07,0.0,0.0,0.001864132797703151,-0.004258280670807912,-0.15409236149198507
anti025_r164_S1S4_f0p25,anti025,164,"S1,S4",0.25,0.25,0.6166966711260954,locked_core_unwind,3.316924701422157e-06,-2.7578187405540196e-07,1.0997382908733803e-07,0.0,0.0,-0.0004653600764176827,0.0010575408130258368,0.02592835321167336
anti05_r164_S1S4_f0p25,anti05,164,"S1,S4",0.25,0.5,0.6166966711260954,locked_core_unwind,6.633855657388723e-06,-5.515629778860996e-07,2.1944114559128113e-07,0.0,0.0,-0.0009297031897696831,0.0021103537279751616,0.05174353712098189
anti1_r164_S1S4_f0p25,anti1,164,"S1,S4",0.25,1.0,0.6166966711260954,locked_core_unwind,1.3267736332956163e-05,-1.103122874871864e-06,4.362370519918942e-07,0.0,0.0,-0.0018536844384124881,0.004197583944525851,0.10292684801212129
