atom_id,kind,row,targets,frac,gamma,bundle_score,roles,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin,h139_atom_score
anti1_r59_S1_f0p25,anti1,59,S1,0.25,1.0,0.46990598119465143,,1.3631107782436681e-06,4.558175050469555e-07,1.236231001421062e-08,0.0,0.0,0.0008876303674813374,-0.0022777828622640717,-0.08295540260313247
forward_r59_S1_f0p5,forward,59,S1,0.5,0.0,0.46990598119465143,,1.536172623673067e-06,-5.511873996718458e-09,1.959356697497439e-06,0.0,0.0,0.003338368672380687,-0.008566717891192399,-0.30910848348981596
anti1_r59_S1_f0p5,anti1,59,S1,0.5,1.0,0.46990598119465143,,1.536172623673067e-06,8.607032388411717e-07,-2.509234801981392e-06,0.009037051761325974,0.01546730678522535,0.003338368672380687,-0.017603769652518364,-0.6350620532295164
forward_r164_S1_f0p25,forward,164,S1,0.25,0.0,0.4639218366689525,,-6.156371354326846e-06,4.1549037999098325e-07,-8.415348910968158e-08,0.0,0.0,0.000991387454130216,-0.0022713551804522114,-0.08206793956987311
anti025_r164_S1_f0p25,anti025,164,S1,0.25,0.25,0.4639218366689525,locked_core_unwind,1.5391007273685576e-06,-1.0387162352140135e-07,1.922975938965614e-08,0.0,0.0,-0.00024064027252770903,0.0005479543396757769,0.013512771591026936
anti05_r164_S1_f0p25,anti05,164,S1,0.25,0.5,0.4639218366689525,locked_core_unwind,3.078204610252244e-06,-2.077428584524926e-07,3.7788260414447356e-08,0.0,0.0,-0.0004780942076653902,0.0010871953562104353,0.026805171584902057
anti1_r164_S1_f0p25,anti1,164,S1,0.25,1.0,0.4639218366689525,locked_core_unwind,6.156421842564352e-06,-4.154841625428774e-07,7.118146371962696e-08,0.0,0.0,-0.0009428236484867944,0.0021379929947639154,0.05268930467360768
forward_r164_S1_f0p5,forward,164,S1,0.5,0.0,0.4639218366689525,,-1.0553748553394134e-05,7.122730294425225e-07,-1.5323562239000395e-07,0.0,0.0,0.001723969510906205,-0.003962157099359265,-0.14315049215813214
anti025_r164_S1_f0p5,anti025,164,S1,0.5,0.25,0.4639218366689525,locked_core_unwind,2.638460321722916e-06,-1.7806540240992551e-07,3.260813215104352e-08,0.0,0.0,-0.00041058434902040836,0.0009340380351345323,0.023030404166150844
anti05_r164_S1_f0p5,anti05,164,S1,0.5,0.5,0.4639218366689525,locked_core_unwind,5.276929916795715e-06,-3.5612966283978583e-07,6.216575849948315e-08,0.0,0.0,-0.0008114801419711534,0.001841659950897634,0.0453924524357623
anti1_r164_S1_f0p5,anti1,164,S1,0.5,1.0,0.4639218366689525,locked_core_unwind,1.0553896926990313e-05,-7.12254757759094e-07,1.0950911989477015e-07,0.0,0.0,-0.001581057938629886,0.003569821710337706,0.08791080648868298
forward_r135_S4S2_f0p25,forward,135,"S4,S2",0.25,0.0,0.4623600477826522,,1.9251318793746686e-06,-1.3451701208838868e-06,3.69824646670458e-07,0.0,0.0,0.00034564130420865896,-5.668876655720578e-05,-0.0029263562605717558
anti025_r135_S4S2_f0p25,anti025,135,"S4,S2",0.25,0.25,0.4623600477826522,,2.605071457614707e-06,6.311669551425968e-07,3.807368316474744e-07,0.0,0.0,0.0001615272956582356,-0.0006245614826636825,-0.024136986454098
anti05_r135_S4S2_f0p25,anti05,135,"S4,S2",0.25,0.5,0.4623600477826522,,2.8281628172384995e-06,1.1602385775261658e-06,4.3770551481827485e-07,0.0,0.0,0.0004218635519309469,-0.001501669621846502,-0.056196433058222625
anti1_r135_S4S2_f0p25,anti1,135,"S4,S2",0.25,1.0,0.4623600477826522,,3.2745058970505385e-06,2.2184015701283985e-06,4.6333586869507816e-07,0.0,0.0,0.0012270107448501336,-0.003978954916764532,-0.14634589884665886
forward_r135_S4S2_f0p5,forward,135,"S4,S2",0.5,0.0,0.4623600477826522,,1.4690854635787415e-06,-2.7923368353471e-06,-3.3359242809522655e-08,0.0,0.0,0.002127577800233489,-0.0038584213389713795,-0.13957894751621588
anti1_r135_S4S2_f0p5,anti1,135,"S4,S2",0.5,1.0,0.4623600477826522,,4.167833498929831e-06,4.334806546677471e-06,1.9140100736042727e-07,0.0,0.0,0.003827355968793668,-0.011422766170978205,-0.4162578462783309
forward_r70_Q3_f0p25,forward,70,Q3,0.25,0.0,0.4539177690970355,,6.239666492042009e-08,-1.040814099281047e-06,1.1878019436301415e-07,0.0,0.0,0.0006028690946384418,-0.0011288752543120728,-0.040668211621098016
anti025_r70_Q3_f0p25,anti025,70,Q3,0.25,0.25,0.4539177690970355,margin_repair,-1.5579410957491935e-08,2.6020595761248357e-07,-4.249629045232142e-08,0.0,0.0,-0.00011673681130255908,0.00019362339441336696,0.005122997689336117
anti05_r70_Q3_f0p25,anti05,70,Q3,0.25,0.5,0.4539177690970355,margin_repair,-3.1150919805678426e-08,5.204128883414113e-07,-9.019998285786368e-08,0.0,0.0,-0.00021930254478282063,0.00035046280542103125,0.009309207342702257
anti1_r70_Q3_f0p25,anti1,70,Q3,0.25,1.0,0.4539177690970355,margin_repair,-6.227023117500244e-08,1.0408296691495752e-06,-2.0105719781746655e-07,0.0,0.0,-0.0003809714468430911,0.0005516480636823529,0.014815603060811889
forward_r70_Q3_f0p5,forward,70,Q3,0.5,0.0,0.4539177690970355,,1.0704311970773268e-07,-1.78424320905219e-06,1.5587396170720427e-07,0.0,0.0,0.0011579364918185703,-0.002261695738534575,-0.08147028642231025
anti025_r70_Q3_f0p5,anti025,70,Q3,0.5,0.25,0.4539177690970355,margin_repair,-2.6702723615384602e-08,4.4606795169264187e-07,-7.603943548580537e-08,0.0,0.0,-0.00019145884237062316,0.0003094386619651446,0.008209611219350087
anti05_r70_Q3_f0p5,anti05,70,Q3,0.5,0.5,0.4539177690970355,margin_repair,-5.338222470573778e-08,8.921387631568396e-07,-1.673162758697791e-07,0.0,0.0,-0.00034076402355315283,0.0005096277430937379,0.013636346650567685
anti1_r70_Q3_f0p5,anti1,70,Q3,0.5,1.0,0.4539177690970355,toxicity_relief,-1.0667155931330143e-07,1.7842889654001194e-06,-3.919474458522181e-07,0.0,0.0,-0.0005088618408253601,0.0005733789864904859,0.015909406215130845
forward_r164_S4_f0p25,forward,164,S4,0.25,0.0,0.44947150558323823,,-7.1112649059163965e-06,6.87644818481571e-07,-3.687426244742241e-07,0.0,0.0,0.0009178027029716346,-0.0020942699909004547,-0.0758888239417231
anti025_r164_S4_f0p25,anti025,164,S4,0.25,0.25,0.44947150558323823,locked_core_unwind,1.7778239740531658e-06,-1.719102505338922e-07,9.063203925026297e-08,0.0,0.0,-0.00022196059538422824,0.0005030392706190101,0.01224671028401182
anti05_r164_S4_f0p25,anti05,164,S4,0.25,0.5,0.44947150558323823,locked_core_unwind,3.5556510471366955e-06,-3.4382011943349857e-07,1.8006027075845137e-07,0.0,0.0,-0.00044063430621844174,0.0009971398135489584,0.024267185172360182
anti1_r164_S4_f0p25,anti1,164,S4,0.25,1.0,0.44947150558323823,locked_core_unwind,7.111314490391811e-06,-6.876387123285529e-07,3.550919807323357e-07,0.0,0.0,-0.0008675295941328945,0.0019570498548969195,0.04759165848934804
forward_r164_S4_f0p5,forward,164,S4,0.5,0.0,0.44947150558323823,,-1.2190709480871652e-05,1.1788234272861083e-06,-6.412142003716422e-07,0.0,0.0,0.0015990836646007783,-0.0036614779321469393,-0.1326619584249358
anti025_r164_S4_f0p5,anti025,164,S4,0.5,0.25,0.44947150558323823,locked_core_unwind,3.047700138599386e-06,-2.947030529758298e-07,1.5463528592351596e-07,0.0,0.0,-0.0003785000878006109,0.0008569017789618327,0.0208563978636101
anti05_r164_S4_f0p5,anti05,164,S4,0.5,0.5,0.44947150558323823,locked_core_unwind,6.095409384551664e-06,-5.894049844134674e-07,3.0562098523624626e-07,0.0,0.0,-0.0007470306989207018,0.0016867613022870098,0.04102813662370677
anti1_r164_S4_f0p5,anti1,164,S4,0.5,1.0,0.44947150558323823,locked_core_unwind,1.2190855198514032e-05,-1.1788054826740576e-06,5.955640622603772e-07,0.0,0.0,-0.0014511829244919713,0.0032578865054543604,0.07912635604910723
forward_r131_S2_f0p25,forward,131,S2,0.25,0.0,0.44510480593211943,toxicity_relief,1.2461791640268165e-06,1.0803132983929625e-07,9.84405425061459e-08,0.0,0.0,-0.0010791911834455228,-0.0002395146205063925,0.00043916933984294686
anti025_r131_S2_f0p25,anti025,131,S2,0.25,0.25,0.44510480593211943,,1.2047980146639905e-06,2.0574866766115245e-07,1.8774015839119126e-07,0.0,0.0,0.0002993912096205739,-1.5001345519821685e-05,-0.001242394566175046
anti05_r131_S2_f0p25,anti05,131,S2,0.25,0.5,0.44510480593211943,,1.2185854923452404e-06,3.604471459199305e-07,2.240276899740691e-07,0.0,0.0,0.000610298652763186,-5.9979989026209823e-05,-0.002979350876484714
anti1_r131_S2_f0p25,anti1,131,S2,0.25,1.0,0.44510480593211943,,1.2461791640268165e-06,6.698464072850971e-07,2.831347929296499e-07,0.0,0.0,0.001265864333146842,-0.0002395146205063925,-0.009678058166927735
forward_r131_S2_f0p5,forward,131,S2,0.5,0.0,0.44510480593211943,stress_decoy,1.301441372666707e-06,1.6502399451806538e-07,1.7434431154187205e-08,0.0,0.0,-0.001963723387346482,-0.000951633494336579,-0.0173027756174782
anti1_r131_S2_f0p5,anti1,131,S2,0.5,1.0,0.44510480593211943,,1.301441372666707e-06,1.2886541494094503e-06,3.890951436832414e-07,0.0,0.0,0.002705408472680651,-0.000951633494336579,-0.035785299815118334
