candidate_id,family,target_subset,alpha,k,file,posterior_delta_mean_vs_h012,posterior_delta_p10_vs_h012,posterior_delta_p90_vs_h012,posterior_delta_max_vs_h012,posterior_beats_h012_rate,expected_public_if_posterior,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_cell_score_changed,min_consistency_changed,mean_consistency_changed,h015_decision,decision_rank
stable_S_k800_a0.6,stable_top,S,0.6,800,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k800_a0.6_7a09741a.csv,-0.0011034510858105827,-0.0012920511768654724,-0.0008344329484810128,-1.9811899747181837e-05,1.0,0.5670200320141895,249,800,0.006788020466837923,0.045654676145048256,0.37474523691298833,0.7666666666666667,0.9741666666666667,post_h012_big_bet,0
top_S_k1200_a1,top,S,1.0,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k1200_a1_48b09c30.csv,-0.0013073353289714935,-0.001666910426202662,-0.0007814100327130166,0.0005345162827614091,0.9333333333333333,0.5668161477710285,250,998,0.01152677744247877,0.0684054756314767,0.332643829605378,0.5666666666666667,0.9545758183032733,post_h012_big_bet,0
top_S_k1600_a1,top,S,1.0,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k1600_a1_48b09c30.csv,-0.0013073353289714935,-0.001666910426202662,-0.0007814100327130166,0.0005345162827614091,0.9333333333333333,0.5668161477710285,250,998,0.01152677744247877,0.0684054756314767,0.332643829605378,0.5666666666666667,0.9545758183032733,post_h012_big_bet,0
top_S_k800_a1,top,S,1.0,800,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k800_a1_7e0cd499.csv,-0.0013000307034479104,-0.0016576718506433,-0.0007786285857793305,0.0005328876726366167,0.9333333333333333,0.5668234523965522,249,800,0.010918944756698799,0.0684054756314767,0.4097198847356455,0.6,0.9707916666666668,post_h012_big_bet,0
stable_all_k800_a0.35,stable_top,all,0.35,800,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k800_a0.35_a5df27fc.csv,-0.0009386251448767434,-0.0010659603389545215,-0.0007397349981771238,-0.00020399349760048726,1.0,0.5671848579551233,246,800,0.0045617518644916945,0.028776433055539452,0.4325863391671204,0.8,0.9801666666666666,post_h012_big_bet,0
top_S_k1200_a0.45,top,S,0.45,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k1200_a0.45_5f411ce3.csv,-0.0009697724135972056,-0.0011315812073512293,-0.0007331060302808806,-0.00014093918831739263,1.0,0.5671537106864029,250,998,0.005413271472691415,0.03586966063182284,0.332643829605378,0.5666666666666667,0.9545758183032733,post_h012_big_bet,0
top_S_k1600_a0.45,top,S,0.45,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k1600_a0.45_5f411ce3.csv,-0.0009697724135972056,-0.0011315812073512293,-0.0007331060302808806,-0.00014093918831739263,1.0,0.5671537106864029,250,998,0.005413271472691415,0.03586966063182284,0.332643829605378,0.5666666666666667,0.9545758183032733,post_h012_big_bet,0
direct_all_a0.3,direct,all,0.3,0,hitl/h015_public_equation_self_feedback/submission_h015_direct_all_a0.3_c8366e21.csv,-0.0009198569255382299,-0.0010505639371877471,-0.0007327099878718088,-0.00022031436798584155,1.0,0.5672036261744619,250,1750,0.005421944598985052,0.02505021087417958,0.2368302937372508,0.5,0.9482285714285715,post_h012_big_bet,0
top_S_k800_a0.45,top,S,0.45,800,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k800_a0.45_339fcd05.csv,-0.0009642471015785958,-0.0011251856178165196,-0.0007296161486277253,-0.00013943383234055258,1.0,0.5671592359984214,249,800,0.005139595243529165,0.03586966063182284,0.4097198847356455,0.6,0.9707916666666668,post_h012_big_bet,0
top_all_k400_a0.7,top,all,0.7,400,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k400_a0.7_39885b32.csv,-0.0011704859195667179,-0.0014258724263152183,-0.0007168373618167255,-7.558882363033132e-05,1.0,0.5669529971804333,206,400,0.004908123733556784,0.05164167766874983,0.813221496100848,0.6,0.9743333333333334,post_h012_big_bet,0
stable_all_k400_a0.6,stable_top,all,0.6,400,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k400_a0.6_166bdcb4.csv,-0.0010639081676373232,-0.0012521554367565333,-0.0007160439140169117,-0.00012344034239759722,1.0,0.5670595749323627,206,400,0.004368191511000081,0.045654676145048256,0.7406221615390352,0.8,0.9828333333333333,post_h012_big_bet,0
stable_all_k400_a0.9,stable_top,all,0.9,400,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k400_a0.9_7a9d53ff.csv,-0.0012231475511094703,-0.0015055184547883608,-0.0007013511706788616,0.00018755418675019353,0.9333333333333333,0.5669003355488906,206,400,0.006317291641680457,0.06544843369149089,0.7406221615390352,0.8,0.9828333333333333,post_h012_big_bet,0
top_S_k400_a0.7,top,S,0.7,400,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k400_a0.7_a893a45f.csv,-0.0010454990370871756,-0.001272938223815962,-0.0006864746983025796,7.253279031280068e-07,0.9666666666666667,0.5670779840629129,211,400,0.004783597299330541,0.05164167766874983,0.7270712170691914,0.6,0.9743333333333334,post_h012_big_bet,0
stable_S_k400_a0.6,stable_top,S,0.6,400,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k400_a0.6_76b11330.csv,-0.000940351792494058,-0.001109967423618623,-0.000677785146275592,-4.89987605706822e-05,1.0,0.567183131307506,212,400,0.004234559539936593,0.045654676145048256,0.6598800095939833,0.8,0.98225,post_h012_big_bet,0
stable_S_k400_a0.9,stable_top,S,0.9,400,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k400_a0.9_a824f8fb.csv,-0.0010686862212490216,-0.0013231096679359273,-0.0006748362519212845,0.00026834332663613545,0.9333333333333333,0.567054796878751,212,400,0.006119977447252157,0.06295106614200985,0.6598800095939833,0.8,0.98225,post_h012_big_bet,0
top_all_k400_a0.45,top,all,0.45,400,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k400_a0.45_e85644dd.csv,-0.0009132680978160412,-0.001077445137868645,-0.0006216368821196366,-0.00020940567899977927,1.0,0.567210215002184,206,400,0.0032659491998710574,0.03586966063182284,0.813221496100848,0.6,0.9743333333333334,post_h012_big_bet,0
top_all_k400_a1,top,all,1.0,400,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k400_a1_a25e29b1.csv,-0.0012467163621624085,-0.0016115542289458888,-0.0005986469939481556,0.00031742234631824875,0.9333333333333333,0.5668767667378376,206,400,0.00679410683852794,0.07222008365524257,0.813221496100848,0.6,0.9743333333333334,post_h012_big_bet,0
top_S_k400_a1,top,S,1.0,400,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k400_a1_30d95344.csv,-0.0011059660382710243,-0.001430879162169312,-0.0005930741257217023,0.00038864019742940284,0.9333333333333333,0.567017517061729,211,400,0.006610818861967578,0.0684054756314767,0.7270712170691914,0.6,0.9743333333333334,post_h012_big_bet,0
