feature_set,alpha,n_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc
coords_plus_world,0.01,47,6.471366734811658e-05,9.494086953814942e-05,0.9988706945228685,0.9956709956709957
coords_plus_world,0.1,47,7.106199731094013e-05,0.0001050103440610355,0.9954827780914738,0.987012987012987
coords_plus_world,1.0,47,0.0001670341797376077,0.0002064063726274673,0.9943534726143423,0.9826839826839827
compact,0.01,41,0.00020302662566052947,0.0003413002448996727,0.9853190287972897,0.9653679653679653
compact,1.0,41,0.0002130913288066944,0.0002981376495186996,0.9649915302089217,0.9393939393939394
compact,0.1,41,0.00025405443278806307,0.00041468181793222436,0.9672501411631848,0.9437229437229437
coords_cos_compact,1.0,115,0.00034594430023365564,0.000660439382978385,0.9661208356860531,0.9437229437229437
compact,10.0,41,0.00038364861306243886,0.0005148444307855252,0.961603613777527,0.935064935064935
compact,100.0,41,0.0005751310596183606,0.0007722777562838071,0.9491812535290796,0.9264069264069265
coords_plus_world,10.0,47,0.0005979732074783588,0.0007378084890155327,0.9525691699604744,0.9264069264069265
coords_plus_world,100.0,47,0.0009298257616806489,0.001207146949622742,0.9367588932806326,0.9047619047619048
coords_cos_compact,0.1,115,0.0009848859187872095,0.003433927390709344,0.7007340485601357,0.8484848484848485
coords,0.1,36,0.0010919611670882664,0.0014322688011899844,0.5539243365330322,0.70995670995671
coords,100.0,36,0.0011018058330840748,0.0014076705248017613,0.4229249011857708,0.6277056277056277
coords,10.0,36,0.0012070045343077834,0.0014573838008676867,0.47826086956521746,0.658008658008658
coords,1.0,36,0.0012100626610949772,0.001511065809376917,0.5335968379446642,0.683982683982684
coords,0.01,36,0.0012952093736879346,0.0019921915488647704,0.5448898927159798,0.7056277056277056
compact,1000.0,41,0.0013091664460976884,0.0019636933194945656,0.9277244494635801,0.9134199134199135
coords_cos_compact,10.0,115,0.0014045049311199498,0.004793416226930034,0.9570863918690007,0.9264069264069265
coords_plus_world,1000.0,47,0.0014079218145485394,0.0019474472716488858,0.6013551665725579,0.7445887445887446
coords_cos_compact,1000.0,115,0.0015056427354042468,0.0026266091250469552,0.8961038961038963,0.8831168831168831
coords,1000.0,36,0.0015237598739961168,0.002147684680062632,-0.34161490683229817,0.341991341991342
coords_cos_compact,0.01,115,0.0015507531162129232,0.006184231657522906,0.717673630717109,0.8658008658008658
coords_cos_compact,100.0,115,0.002043699315906493,0.00660993733506077,0.9254658385093169,0.9004329004329005
