feature_set,alpha,n_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc,h012_pred_loo,h012_actual,h010_pred_loo,h010_actual,e323_pred_loo,e323_actual,e247_pred_loo,e247_actual,model_tag
geometry,100.0,55,0.0007728547794585872,0.0016514143049055302,0.9699248120300751,0.9473684210526315,0.5611197786638272,0.5681234831,0.5770144206291613,0.5781718175,0.5769630607969214,0.5770355016,0.5764224245087362,0.5761589494,full_known
state,100.0,54,0.0009059423990988025,0.0011628529404826618,0.8842105263157894,0.8842105263157894,0.5676307824077803,0.5681234831,0.5772162373313592,0.5781718175,0.577388495017064,0.5770355016,0.5745517798838418,0.5761589494,full_known
state,10.0,54,0.0011297485778601734,0.001962844035958995,0.9669172932330825,0.9421052631578948,0.561250203940123,0.5681234831,0.5771676037475167,0.5781718175,0.5772501002190552,0.5770355016,0.5720823156636408,0.5761589494,full_known
geometry,10.0,55,0.0012849547008327133,0.00436466751161485,0.9744360902255638,0.9526315789473684,0.5487087214640903,0.5681234831,0.5770326766581911,0.5781718175,0.5768538557478358,0.5770355016,0.5763377082312614,0.5761589494,full_known
geometry,1.0,55,0.0017998557012961658,0.006048342331105088,0.9533834586466164,0.9105263157894737,0.5413198201515985,0.5681234831,0.5769853305171306,0.5781718175,0.5766518628093616,0.5770355016,0.5763296873456515,0.5761589494,full_known
geometry,0.1,55,0.002122161025326508,0.007155539984825856,0.9233082706766916,0.8947368421052632,0.5364129173765286,0.5681234831,0.5768485948886115,0.5781718175,0.5765768922781235,0.5770355016,0.5762920632888482,0.5761589494,full_known
geometry,0.01,55,0.0027785115791358894,0.009623305452486743,0.9233082706766916,0.8947368421052632,0.5253590077978189,0.5681234831,0.5766012779270239,0.5781718175,0.5765839500140368,0.5770355016,0.5762836242243221,0.5761589494,full_known
state,1.0,54,0.0031552188121758973,0.00960400726730454,0.4481203007518797,0.7789473684210526,0.6080209640879425,0.5681234831,0.5774199346774407,0.5781718175,0.5769680874666131,0.5770355016,0.5919033867416958,0.5761589494,full_known
state,0.1,54,0.010780328464020644,0.03630008091079508,0.18345864661654135,0.6526315789473685,0.7234199975296929,0.5681234831,0.5780109544972865,0.5781718175,0.5761388677859112,0.5770355016,0.6230793604767421,0.5761589494,full_known
state,0.01,54,0.013956411505629035,0.048839396627227555,0.16541353383458643,0.631578947368421,0.7810909209967499,0.5681234831,0.5783595923982148,0.5781718175,0.5757081496694719,0.5770355016,0.623826802294296,0.5761589494,full_known
all,100.0,152,17.936816738193183,80.21033215731353,0.5819548872180451,0.7789473684210526,0.5820392047123559,0.5681234831,0.5774717956094648,0.5781718175,0.5799943456354058,0.5770355016,-358.1353511633216,0.5761589494,full_known
all,0.1,152,27.457643268338792,122.78771413692914,0.6060150375939849,0.7842105263157895,0.5885371079571929,0.5681234831,0.5776381169919707,0.5781718175,0.5745944375141219,0.5770355016,-548.5471918820799,0.5761589494,full_known
all,10.0,152,28.41382387775579,127.06532923236267,0.625563909774436,0.7947368421052632,0.5839791931648297,0.5681234831,0.5775436353614184,0.5781718175,0.5785329716484511,0.5770355016,-567.6772683174125,0.5761589494,full_known
all,0.01,152,28.43905364436002,127.17668924759482,0.6045112781954887,0.7789473684210526,0.5883977904949348,0.5681234831,0.5776646263476876,0.5781718175,0.5745730287420105,0.5770355016,-568.1752852980803,0.5761589494,full_known
