candidate_id,family,regime,core_alpha,public_alpha,private_alpha,neutral_alpha,public_tail_k,private_tail_k,neutral_tail_k,changed_cells,changed_rows,h042_overlap_cells,h043_overlap_cells,h045_overlap_cells,h042_jaccard,h043_jaccard,h045_jaccard,route_public_mean,route_private_mean,route_q2regime_mean,mean_abs_logit_move,max_abs_logit_move,mean_abs_prob_move,max_abs_prob_move,bifurcation_strength,tangent_expected_delta,resolved_path
h046_dual_q2regime_pub12_priv0_a0.58_0.08_0_c57_74d80ef6,dual_q2regime_pub12_priv0_a0.58_0.08_0,q2regime,0.58,0.08,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.017457742937945157,0.25965423087007267,0.0038699901411594667,0.04305671614590323,0.20957644666418312,-0.0002514543751677296,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.58_0.08_0_c57_74d80ef6.csv
h046_dual_q2regime_pub12_priv0_a0.58_0.14_0_c57_cbc0c071,dual_q2regime_pub12_priv0_a0.58_0.14_0,q2regime,0.58,0.14,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.017602508972757717,0.25965423087007267,0.0039025001825179926,0.04305671614590323,0.1852876662581554,-0.0002498143277479365,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.58_0.14_0_c57_cbc0c071.csv
h046_dual_q2regime_pub12_priv0_a0.58_0.22_0_c57_33e39dd5,dual_q2regime_pub12_priv0_a0.58_0.22_0,q2regime,0.58,0.22,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.01779553035250779,0.25965423087007267,0.003945804804486533,0.04305671614590323,0.15290262571678512,-0.00024763262846926726,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.58_0.22_0_c57_33e39dd5.csv
h046_dual_q2regime_pub12_priv0_a0.58_0.32_0_c57_05d1cf5a,dual_q2regime_pub12_priv0_a0.58_0.32_0,q2regime,0.58,0.32,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.01803680707719538,0.25965423087007267,0.0039998672145933195,0.04305671614590323,0.11242132504007225,-0.0002449179260920246,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.58_0.32_0_c57_05d1cf5a.csv
h046_dual_q2regime_pub12_priv0_a0.58_0.44_0_c57_53f8c9d7,dual_q2regime_pub12_priv0_a0.58_0.44_0,q2regime,0.58,0.44,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.018326339146820487,0.25965423087007267,0.004064640544292654,0.04305671614590323,0.0638437642280168,-0.00024168626100878833,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.58_0.44_0_c57_53f8c9d7.csv
h046_dual_q2regime_pub12_priv0_a0.66_0.08_0_c57_7f556a19,dual_q2regime_pub12_priv0_a0.66_0.08_0,q2regime,0.66,0.08,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.019839083842523787,0.2954686075418076,0.004393111465164577,0.048488496918805524,0.2429504448994319,-0.00028670496214435246,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.66_0.08_0_c57_7f556a19.csv
h046_dual_q2regime_pub12_priv0_a0.66_0.14_0_c57_6999af7f,dual_q2regime_pub12_priv0_a0.66_0.14_0,q2regime,0.66,0.14,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.01998384987733635,0.2954686075418076,0.004425621506523103,0.048488496918805524,0.21866166449340416,-0.00028526325134295,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.66_0.14_0_c57_6999af7f.csv
h046_dual_q2regime_pub12_priv0_a0.66_0.22_0_c57_ce609870,dual_q2regime_pub12_priv0_a0.66_0.22_0,q2regime,0.66,0.22,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.020176871257086417,0.2954686075418076,0.0044689261284916425,0.048488496918805524,0.1862766239520339,-0.00028334438783936825,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.66_0.22_0_c57_ce609870.csv
h046_dual_q2regime_pub12_priv0_a0.66_0.32_0_c57_b500ae0d,dual_q2regime_pub12_priv0_a0.66_0.32_0,q2regime,0.66,0.32,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.02041814798177401,0.2954686075418076,0.004522988538598428,0.048488496918805524,0.14579532327532102,-0.00028095425845582915,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.66_0.32_0_c57_b500ae0d.csv
h046_dual_q2regime_pub12_priv0_a0.66_0.44_0_c57_0612f1cd,dual_q2regime_pub12_priv0_a0.66_0.44_0,q2regime,0.66,0.44,0.0,0.0,12,0,0,57,57,45,57,55,0.7894736842105263,0.5428571428571428,0.7142857142857143,0.6022533333333333,0.3796505263157895,0.4990363789473684,0.02070768005139912,0.2954686075418076,0.004587761868297765,0.048488496918805524,0.09721776246326556,-0.0002781038175138631,/Users/kbsoo/Downloads/cl2/hitl/h046_q2_bifurcated_regime_decoder_jepa/submission_h046_dual_q2regime_pub12_priv0_a0.66_0.44_0_c57_0612f1cd.csv
