row,h133_row_bundle_sources,h133_row_bundle_targets,h133_row_bundle_contradiction,h133_row_bundle_witness,h133_row_bundle_bad_same,h133_row_bundle_shortcut,h133_row_bundle_health,h133_row_bundle_source_strength
59,h131_plus_qbundle_eraser,Q1,0.2259179695238095,0.0,0.2909523809523809,0.24485714285714283,0.6308571428571428,0.7603809523809524
70,"h131_plus_mixed_bundle_eraser,h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser","Q1,Q3",0.5304253085714286,1.0,0.4644126984126984,0.5370571428571429,0.7371428571428571,0.7825000000000001
79,h131_plus_qbundle_eraser,Q1,0.2354395542857143,0.0,0.2905714285714286,0.24417142857142857,0.661047619047619,0.5802857142857143
131,"h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser",Q1,0.3544827542857143,1.0,0.25736507936507935,0.3145142857142857,0.9104761904761905,0.6311428571428571
135,"h131_plus_mixed_bundle_eraser,h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser","Q1,Q3",0.5682663885714285,1.0,0.5309206349206348,0.5815428571428571,0.5799047619047619,0.5612857142857143
149,h131_plus_qbundle_eraser,Q3,0.29273797714285704,0.0,0.31980952380952377,0.3909714285714285,0.7162857142857143,0.7773333333333334
151,"h131_plus_mixed_bundle_eraser,h131_plus_qbundle_eraser","Q3,S2",0.47338145269841264,0.0,0.5970793650793651,0.5637142857142857,0.7565714285714285,0.6478452380952381
164,"h131_plus_mixed_bundle_eraser,h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser","Q1,S1,S4",0.5663820495238094,1.0,0.5296507936507936,0.6750285714285714,0.6025714285714286,0.8113121693121693
188,"h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser",Q3,0.3585173142857143,1.0,0.28885714285714287,0.2410857142857143,0.7861904761904762,0.4228571428571428
196,"h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser",Q1,0.5332608228571428,1.0,0.5051746031746032,0.5422285714285714,0.61,0.6017619047619047
207,"h131_plus_qbundle_eraser,h131_plus_witness_q1_eraser",Q1,0.3616459771428572,1.0,0.2591428571428571,0.3164571428571429,0.8622857142857144,0.6469047619047619
