test,feature_set,target,logloss,auc,uses_public_score
grouped_label_probe,prior_only,Q1,0.7045102198430893,0.39018391576618405,False
grouped_label_probe,prior_only,Q2,0.6955383866228556,0.39476535382516403,False
grouped_label_probe,prior_only,Q3,0.6809692006409499,0.4120473251028806,False
grouped_label_probe,prior_only,S1,0.6419324373056658,0.3813922234117674,False
grouped_label_probe,prior_only,S2,0.6616697721240868,0.3719375665746398,False
grouped_label_probe,prior_only,S3,0.6596848577088983,0.3492692511480042,False
grouped_label_probe,prior_only,S4,0.7006978579415238,0.37730479397146066,False
grouped_label_probe,prior_only,all,0.6778575331695814,0.38241434711430017,False
grouped_label_probe,masked_world_predicted_state,Q1,1.2345042281165264,0.5181643981746706,False
grouped_label_probe,masked_world_predicted_state,Q2,1.106594716152693,0.49694027005878694,False
grouped_label_probe,masked_world_predicted_state,Q3,1.0692089973999257,0.47152263374485603,False
grouped_label_probe,masked_world_predicted_state,S1,0.9739116111406019,0.4825630395662969,False
grouped_label_probe,masked_world_predicted_state,S2,1.0794546008054922,0.36853546662029085,False
grouped_label_probe,masked_world_predicted_state,S3,1.5302889389550416,0.3946264570823031,False
grouped_label_probe,masked_world_predicted_state,S4,1.2189775254276092,0.42374138207471546,False
grouped_label_probe,masked_world_predicted_state,all,1.1732772311425557,0.45087052104598857,False
grouped_label_probe,masked_world_surprise_energy,Q1,1.2486671086068268,0.38408960708006556,False
grouped_label_probe,masked_world_surprise_energy,Q2,1.0922906637956469,0.5234445536807046,False
grouped_label_probe,masked_world_surprise_energy,Q3,1.0527013517501116,0.5367695473251028,False
grouped_label_probe,masked_world_surprise_energy,S1,0.989913011007801,0.35944511514544086,False
grouped_label_probe,masked_world_surprise_energy,S2,1.0705711624544494,0.34655768352861893,False
grouped_label_probe,masked_world_surprise_energy,S3,0.799125637578199,0.424607029318262,False
grouped_label_probe,masked_world_surprise_energy,S4,1.1846671205555135,0.456609748276415,False
grouped_label_probe,masked_world_surprise_energy,all,1.062562293678364,0.4330747549078014,False
grouped_label_probe,masked_world_full_state,Q1,1.2405999470122258,0.4996345390253057,False
grouped_label_probe,masked_world_full_state,Q2,1.1925397989082958,0.546648341726691,False
grouped_label_probe,masked_world_full_state,Q3,1.061311855425359,0.5406584362139917,False
grouped_label_probe,masked_world_full_state,S1,1.1089613223628372,0.43415867520102047,False
grouped_label_probe,masked_world_full_state,S2,1.2242054100586928,0.35905741179539574,False
grouped_label_probe,masked_world_full_state,S3,0.8939808586252986,0.37471299894030374,False
grouped_label_probe,masked_world_full_state,S4,1.137660092407791,0.43314093314093316,False
grouped_label_probe,masked_world_full_state,all,1.1227513264000712,0.4554301908633773,False
