feature_family,label_task,target,positive_rate,auc,ap,ap_lift_vs_rate
listener_only,listener_responsible,Q1,0.035555555555555556,0.4325316820276498,0.030602683752368347,-0.004952871803187209
listener_only,listener_responsible,Q2,0.024444444444444446,0.46148270863532825,0.022768973543881292,-0.0016754709005631536
listener_only,listener_responsible,Q3,0.06666666666666667,0.4059126984126984,0.05611110360187851,-0.010555563064788158
listener_only,listener_responsible,S1,0.024444444444444446,0.3909712155725823,0.019904805817618255,-0.00453963862682619
listener_only,listener_responsible,S2,0.035555555555555556,0.4329637096774194,0.030631142862319168,-0.004924412693236388
listener_only,listener_responsible,S3,0.017777777777777778,0.42222850678733026,0.015063663273995378,-0.0027141145037823996
listener_only,listener_responsible,S4,0.18222222222222223,0.36255633616118765,0.14630514248902746,-0.03591707973319477
listener_only,positive_listener_responsible,Q1,0.02,0.31695641219450743,0.015280731013949157,-0.004719268986050844
listener_only,positive_listener_responsible,Q2,0.013333333333333334,0.33258258258258255,0.010323027939137338,-0.0030103053941959966
listener_only,positive_listener_responsible,Q3,0.028888888888888888,0.26113360323886636,0.021441987539063897,-0.007446901349824991
listener_only,positive_listener_responsible,S1,0.015555555555555555,0.35601418897129955,0.012389869805600142,-0.0031656857499554134
listener_only,positive_listener_responsible,S2,0.02,0.38460569412950363,0.016075620156351812,-0.003924379843648188
listener_only,positive_listener_responsible,S3,0.0044444444444444444,0.19810267857142858,0.003611111111111111,-0.0008333333333333335
listener_only,positive_listener_responsible,S4,0.10222222222222223,0.3537451571244081,0.0799268962460933,-0.022295325976128932
human_listener_responsibility,listener_responsible,Q1,0.035555555555555556,0.6383928571428571,0.13244145995965015,0.09688590440409459
human_listener_responsibility,listener_responsible,Q2,0.024444444444444446,0.8105197763512114,0.12093941449405801,0.09649497004961356
human_listener_responsibility,listener_responsible,Q3,0.06666666666666667,0.5324603174603175,0.08951910747090297,0.022852440804236304
human_listener_responsibility,listener_responsible,S1,0.024444444444444446,0.6694967902257197,0.07976984340805185,0.0553253989636074
human_listener_responsibility,listener_responsible,S2,0.035555555555555556,0.32315668202764974,0.02740680556497258,-0.008148749990582977
human_listener_responsibility,listener_responsible,S3,0.017777777777777778,0.5729638009049773,0.021815324686476994,0.004037546908699216
human_listener_responsibility,listener_responsible,S4,0.18222222222222223,0.4848886532343584,0.19151667476300735,0.00929445254078512
human_listener_responsibility,positive_listener_responsible,Q1,0.02,0.4640967498110355,0.02120040929245809,0.0012004092924580885
human_listener_responsibility,positive_listener_responsible,Q2,0.013333333333333334,0.5390390390390389,0.015946871216304705,0.0026135378829713705
human_listener_responsibility,positive_listener_responsible,Q3,0.028888888888888888,0.651293786305228,0.0491142308958065,0.020225342006917613
human_listener_responsibility,positive_listener_responsible,S1,0.015555555555555555,0.38729442115446633,0.013750459361269927,-0.0018050961942856283
human_listener_responsibility,positive_listener_responsible,S2,0.02,0.34744268077601415,0.028236546884792466,0.008236546884792466
human_listener_responsibility,positive_listener_responsible,S3,0.0044444444444444444,0.4040178571428571,0.005538897218057638,0.0010944527736131936
human_listener_responsibility,positive_listener_responsible,S4,0.10222222222222223,0.5005380972879897,0.11467037111542785,0.012448148893205627
masked_pretext_listener_responsibility,listener_responsible,Q1,0.035555555555555556,0.4652217741935484,0.05444351950389626,0.018887963948340705
masked_pretext_listener_responsibility,listener_responsible,Q2,0.024444444444444446,0.5346862704493685,0.03651485683536753,0.012070412390923085
masked_pretext_listener_responsibility,listener_responsible,Q3,0.06666666666666667,0.6578968253968255,0.12399351355480245,0.05732684688813579
masked_pretext_listener_responsibility,listener_responsible,S1,0.024444444444444446,0.48250155311658727,0.02711088064508169,0.002666436200637244
