fold,heldout_subjects,positive_rate,auc,ap,feature_family,label_task
0,"id03,id04",0.03492063492063492,0.6345693779904307,0.05239538239538239,listener_only,listener_responsible
1,"id08,id10",0.04173354735152488,0.6605463213503415,0.07321891591554514,listener_only,listener_responsible
2,"id01,id07",0.07301587301587302,0.7512656343061346,0.185879917184265,listener_only,listener_responsible
3,"id05,id06",0.06055900621118013,0.7592922229285866,0.18741837872272654,listener_only,listener_responsible
4,"id02,id09",0.06581059390048154,0.7648143491744196,0.18419136358297772,listener_only,listener_responsible
0,"id03,id04",0.01904761904761905,0.6274271844660195,0.030709876543209877,listener_only,positive_listener_responsible
1,"id08,id10",0.02086677367576244,0.6346784363177806,0.03859735769848129,listener_only,positive_listener_responsible
2,"id01,id07",0.044444444444444446,0.7135738016136688,0.0990079365079365,listener_only,positive_listener_responsible
3,"id05,id06",0.023291925465838508,0.7145204027556968,0.07007246376811595,listener_only,positive_listener_responsible
4,"id02,id09",0.038523274478330656,0.8033528102392877,0.13458177278401998,listener_only,positive_listener_responsible
0,"id03,id04",0.03492063492063492,0.605636961722488,0.06855542801656138,human_listener_responsibility,listener_responsible
1,"id08,id10",0.04173354735152488,0.6637031310398145,0.10537819750571457,human_listener_responsibility,listener_responsible
2,"id01,id07",0.07301587301587302,0.6229154258487195,0.11164963251964488,human_listener_responsibility,listener_responsible
3,"id05,id06",0.06055900621118013,0.8136257681712227,0.24280937940471922,human_listener_responsibility,listener_responsible
4,"id02,id09",0.06581059390048154,0.7538555024725506,0.20108224293831786,human_listener_responsibility,listener_responsible
0,"id03,id04",0.01904761904761905,0.612257281553398,0.030974485677576845,human_listener_responsibility,positive_listener_responsible
1,"id08,id10",0.02086677367576244,0.67843631778058,0.0659047212631214,human_listener_responsibility,positive_listener_responsible
2,"id01,id07",0.044444444444444446,0.6677740863787375,0.11015048279193673,human_listener_responsibility,positive_listener_responsible
3,"id05,id06",0.023291925465838508,0.6843667196608373,0.15680968371258028,human_listener_responsibility,positive_listener_responsible
4,"id02,id09",0.038523274478330656,0.7408528102392877,0.1405236053979799,human_listener_responsibility,positive_listener_responsible
0,"id03,id04",0.03492063492063492,0.6815191387559808,0.09066999889289357,masked_pretext_listener_responsibility,listener_responsible
1,"id08,id10",0.04173354735152488,0.6390606880556631,0.09045891054662479,masked_pretext_listener_responsibility,listener_responsible
2,"id01,id07",0.07301587301587302,0.6292063728409768,0.180121181273882,masked_pretext_listener_responsibility,listener_responsible
3,"id05,id06",0.06055900621118013,0.7361729179910997,0.16298089824953604,masked_pretext_listener_responsibility,listener_responsible
4,"id02,id09",0.06581059390048154,0.7397326292850557,0.21693379270599922,masked_pretext_listener_responsibility,listener_responsible
0,"id03,id04",0.01904761904761905,0.6452265372168284,0.0486725653135876,masked_pretext_listener_responsibility,positive_listener_responsible
1,"id08,id10",0.02086677367576244,0.6931904161412358,0.06920499617999597,masked_pretext_listener_responsibility,positive_listener_responsible
2,"id01,id07",0.044444444444444446,0.6134314190792596,0.09417899526476092,masked_pretext_listener_responsibility,positive_listener_responsible
3,"id05,id06",0.023291925465838508,0.575993640699523,0.038962615867553604,masked_pretext_listener_responsibility,positive_listener_responsible
4,"id02,id09",0.038523274478330656,0.6748052309404563,0.07471874223085694,masked_pretext_listener_responsibility,positive_listener_responsible
0,"id03,id04",0.03492063492063492,0.6393166866028708,0.08927967540091773,human_plus_masked_pretext_responsibility,listener_responsible
1,"id08,id10",0.04173354735152488,0.6756216982347636,0.1059585548730653,human_plus_masked_pretext_responsibility,listener_responsible
2,"id01,id07",0.07301587301587302,0.6543329362715902,0.11686436929993407,human_plus_masked_pretext_responsibility,listener_responsible
3,"id05,id06",0.06055900621118013,0.7786395422759059,0.2042578524589619,human_plus_masked_pretext_responsibility,listener_responsible
4,"id02,id09",0.06581059390048154,0.741136535076691,0.17686628313285024,human_plus_masked_pretext_responsibility,listener_responsible
0,"id03,id04",0.01904761904761905,0.6283036677454152,0.04157705400360973,human_plus_masked_pretext_responsibility,positive_listener_responsible
1,"id08,id10",0.02086677367576244,0.6416141235813366,0.0707476791546435,human_plus_masked_pretext_responsibility,positive_listener_responsible
2,"id01,id07",0.044444444444444446,0.639327242524917,0.07491673756690943,human_plus_masked_pretext_responsibility,positive_listener_responsible
3,"id05,id06",0.023291925465838508,0.6576576576576576,0.12277783201432324,human_plus_masked_pretext_responsibility,positive_listener_responsible
4,"id02,id09",0.038523274478330656,0.7466611018363941,0.10116112902940623,human_plus_masked_pretext_responsibility,positive_listener_responsible
