rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h020,h020_rowweighted_delta_vs_h012,h021_rowweighted_delta_vs_h012,posterior_id,posterior_final_decision,rowperm_public_p,rowperm_hs_kl_p,beats_h020_under_h023,h023_decision,decision_rank,file
-0.002128475181164205,-0.0020709783190941628,1.0,-0.0007782249421304253,gain_all_k1750_a1,gain,all,1750,1.0,250,1750,0.020826312019057176,0.11650517321881637,0.020325000885619383,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_gain_all_k1750_a1_415f284b.csv
-0.002128475181164205,-0.0020709783190941628,1.0,-0.0007782249421304253,shift_all_k1750_a1,shift,all,1750,1.0,250,1750,0.020826312019057176,0.11650517321881637,0.020325000885619383,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_shift_all_k1750_a1_415f284b.csv
-0.0021259032896310875,-0.0020685037877212612,1.0,-0.0007639153721040166,gain_all_k1500_a1,gain,all,1500,1.0,250,1500,0.020557121293642913,0.11650517321881637,0.020314135957110506,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_gain_all_k1500_a1_d0094721.csv
-0.0021244503124192627,-0.0020672591682101755,1.0,-0.0007642511306986075,shift_all_k1500_a1,shift,all,1500,1.0,250,1500,0.020548814901777998,0.11650517321881637,0.02031485998280516,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_shift_all_k1500_a1_0af54251.csv
-0.002097953007273063,-0.002040152388449376,1.0,-0.0007168376784287976,gain_all_k1200_a1,gain,all,1200,1.0,250,1200,0.01919146756617447,0.11650517321881637,0.02029094314090061,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_gain_all_k1200_a1_9ce32c93.csv
-0.002090589361112826,-0.002033208717297372,0.996,-0.000701654279799938,shift_all_k1200_a1,shift,all,1200,1.0,249,1200,0.019193218737542653,0.11650517321881637,0.0204145807692394,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_shift_all_k1200_a1_e3fe3cc4.csv
-0.0020514817875757615,-0.0019954982640369282,1.0,-0.0007473625718767947,gain_all_k1750_a1.2,gain,all,1750,1.2,250,1750,0.024759290146414755,0.13606236950927642,0.02328735409141692,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_gain_all_k1750_a1.2_a639be88.csv
-0.0020514817875757615,-0.0019954982640369282,1.0,-0.0007473625718767947,shift_all_k1750_a1.2,shift,all,1750,1.2,250,1750,0.024759290146414755,0.13606236950927642,0.02328735409141692,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_shift_all_k1750_a1.2_a639be88.csv
-0.0020489858545948694,-0.00199310048510065,1.0,-0.0007335255357366803,gain_all_k1500_a1.2,gain,all,1500,1.2,250,1500,0.024436424341908475,0.13606236950927642,0.023269996667932183,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_gain_all_k1500_a1.2_519fd917.csv
-0.0020475518579413316,-0.001991877851600765,1.0,-0.0007337619671718532,shift_all_k1500_a1.2,shift,all,1500,1.2,250,1500,0.024426709566501684,0.13606236950927642,0.023270641517962914,-0.0002701397931135447,-2.2014174136557526e-05,pareto_top1000_lam0.2_t0.00012,pareto_candidate,0.7540983606557377,0.01639344262295082,True,diagnostic_sensor,1,hitl/h023_hs_pareto_proposal_vector_jepa/submission_h023_shift_all_k1500_a1.2_b7c2dbbb.csv
