posterior_id,kind,iteration,posterior_mae,posterior_p90_abs,posterior_spearman,weighted_hs_energy,row_vector_kl_from_hs,ess
pareto_top1000_lam0.2_t0.00012,real,-1,3.110004730541745e-05,5.9356652720894734e-05,0.9894736842105262,4.839918631709769,1.1560583196055276,879.639095527083
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,0,3.094876870145813e-05,5.911144660628071e-05,0.9894736842105262,5.206878063526778,1.1584184785860334,878.1675434637918
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,1,3.1089547640788735e-05,5.9395003771929976e-05,0.9894736842105262,5.2005045075661425,1.1582181591329204,881.2164791685701
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,2,3.0981823144625094e-05,5.7994878724503556e-05,0.9894736842105262,5.202603420817546,1.158184605405016,880.4883083698082
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,3,3.068235472005803e-05,5.8853915869515895e-05,0.9894736842105262,5.21332643231803,1.1584229180037242,879.1132056240391
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,4,3.113136158096764e-05,6.071081833972061e-05,0.9894736842105262,5.1856549143187936,1.1581996532242287,880.8644910623715
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,5,3.106893634249076e-05,5.858845275842945e-05,0.9894736842105262,5.206647762385424,1.1584148333213606,880.3440017034226
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,6,3.1083970166069334e-05,5.932641567058376e-05,0.9894736842105262,5.171684983031318,1.1582712157170294,880.9077250998438
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,7,3.091516084078811e-05,5.9035428540721524e-05,0.9894736842105262,5.201871276093206,1.1585252610534045,879.6362372089407
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,8,3.0976207498425136e-05,5.9586613798460736e-05,0.9894736842105262,5.212663310755653,1.1585181256561055,878.0448669493537
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,9,3.080562000188965e-05,5.7799442078200876e-05,0.9894736842105262,5.218185230745836,1.1586428811113727,880.339342453701
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,10,3.081422144233965e-05,5.946745694507473e-05,0.9894736842105262,5.20440762821441,1.1582117189865329,878.6301689208168
pareto_top1000_lam0.2_t0.00012,permute_hs_rows,11,3.0773937821379404e-05,5.762199445034788e-05,0.9894736842105262,5.205206453319738,1.158673381800004,878.0933644536004
