posterior_id,mode,top_k,temperature,hs_lambda,posterior_mae,posterior_p90_abs,posterior_spearman,ess,ess_rate_in_topk,weighted_world_error,weighted_hs_energy,topk_mean_hs_energy,row_vector_kl_from_hs,mean_max_vector_posterior,q_abs_shift_vs_base,q_max_abs_shift_vs_base,q_spearman_vs_base,hs_source_weight_share,mae_over_public_best,p90_over_public_best,hs_energy_gain_vs_public,pareto_score,prelim_decision,rowperm_public_p,rowperm_hs_kl_p,rowperm_public_median,rowperm_hs_kl_median,final_decision,decision_rank
pareto_top1000_lam0.2_t0.00012,pareto,1000,0.00012,0.2,3.110004730541745e-05,5.9356652720894734e-05,0.9894736842105262,879.639095527083,0.879639095527083,0.0002838817418287146,4.839918631709769,4.877889323310565,1.1560583196055276,0.11781939582697527,0.017587881624157073,0.10535995785329716,0.9957013588383157,0.692,5.44686289642212e-06,7.664275482088814e-06,0.02967343552249968,-5.5379826524263205e-06,pareto_candidate,0.7540983606557377,0.01639344262295082,3.097302767905396e-05,1.1584349783773886,pareto_candidate,1
public_top250_lam0_t0.00012,public_only,250,0.00012,0.0,2.5653184408995327e-05,6.049944627889406e-05,0.993984962406015,236.47695657935517,0.9459078263174207,0.00024150426357165855,4.9010147096035865,4.901172318343928,1.3506887919522454,0.11839150223483318,0.024677483844449226,0.11564567489259203,0.9898830464270024,0.672,0.0,8.807069040088139e-06,-0.03142264237131798,1.0186474824782398e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top500_lam0_t0.00012,public_only,500,0.00012,0.0,2.6129974027924892e-05,6.61073705135811e-05,0.9909774436090225,463.6962368819014,0.9273924737638028,0.00026142813992912966,4.8841997902563445,4.88077139938558,1.2397642953718213,0.1163317370307613,0.019252777652134942,0.10743433242446188,0.9942540524848134,0.6839999999999999,4.7678961892956494e-07,1.4414993274775182e-05,-0.01460772302407598,3.160755797638138e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top1000_lam0_t0.00012,public_only,1000,0.00012,0.0,2.9251236845349338e-05,5.169237723880592e-05,0.9909774436090225,904.9437377824345,0.9049437377824345,0.00028347413059083196,4.880621039906162,4.877889323310565,1.1821690234369058,0.11508389289338015,0.016112531655380017,0.09093479871544424,0.9962246788018037,0.692,3.598052436354011e-06,0.0,-0.011028972673893023,3.614649141596117e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top250_lam0_t0.00025,public_only,250,0.00025,0.0,2.702965327344639e-05,6.81147449402703e-05,0.9954887218045112,247.21569311834216,0.9888627724733686,0.0002447461748189668,4.901143928167759,4.901172318343928,1.345161010641564,0.11814627430432856,0.0241681447451464,0.11385361462009225,0.9903416197553888,0.672,1.3764688644510637e-06,1.6422367701464376e-05,-0.03155186093549034,4.651731295668831e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top1000_lam0_t0.00025,public_only,1000,0.00025,0.0,3.096913864421725e-05,5.2081486857004755e-05,0.9909774436090225,980.7522109919498,0.9807522109919499,0.0002891976468985375,4.879089679202512,4.877889323310565,1.1775598911010938,0.11516107374143092,0.015872337110393913,0.09316659275352374,0.9963995591457564,0.692,5.315954235221922e-06,3.891096181988352e-07,-0.009497611970243014,5.945198884674115e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top250_lam0_t0.0005,public_only,250,0.0005,0.0,2.7586683179430318e-05,7.105014113117807e-05,0.9954887218045112,249.3439070675223,0.9973756282700892,0.0002461018124360277,4.901167525398199,4.901172318343928,1.3440006329642016,0.11809839531154227,0.024049415182313915,0.11538325418070772,0.9904392425254025,0.672,1.933498770434991e-06,1.9357763892372146e-05,-0.031575458165930215,6.109719221174879e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top500_lam0_t0.00025,public_only,500,0.00025,0.0,2.8017372901819205e-05,7.024585841315884e-05,0.9909774436090225,492.5596023601946,0.9851192047203893,0.000265794834929605,4.882390147434725,4.88077139938558,1.2336856533553384,0.11626052727573276,0.018921611680257043,0.10462789540354445,0.9945197978498308,0.6839999999999999,2.364188492823878e-06,1.8553481174352915e-05,-0.012798080202456319,6.648996308595175e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top1000_lam0_t0.0005,public_only,1000,0.0005,0.0,3.162270796260623e-05,5.2051027568687486e-05,0.9909774436090225,995.5279610591616,0.9955279610591616,0.00029152945265232654,4.878463526965595,4.877889323310565,1.176514001337675,0.11522677660563292,0.015854287791585035,0.09423450145161955,0.996418286969231,0.692,5.969523553610906e-06,3.586503298815658e-07,-0.008871459733326148,6.787224176500476e-06,public_baseline,1.0,1.0,,,public_baseline,2
public_top500_lam0_t0.0005,public_only,500,0.0005,0.0,2.869661910065418e-05,7.15901756919088e-05,0.9909774436090225,498.25494704604023,0.9965098940920805,0.00026760388619467417,4.881571886617622,4.88077139938558,1.2321449141659924,0.11629446585352378,0.018882129166776992,0.1036286594995609,0.9945846780164643,0.6839999999999999,3.043434691658853e-06,1.989779845310288e-05,-0.01197981938535353,7.868095686768133e-06,public_baseline,1.0,1.0,,,public_baseline,2
