h076_policy,route_id,row,subject_id,sleep_date,route_name,n_cells,targets,sum_h076_public_contrib,sum_h076_value_gain,h076_route_score,mean_h074_bad_opp_rank,mean_h074_bad_same_rank,outside_h069_cells,mean_shortcut_energy,candidate_id
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_monster_q2s3_top1_c0698455
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_monster_q2_tail_top3_8565ce0c
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_monster_q2_tail_top3_8565ce0c
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_monster_q2_tail_top3_8565ce0c
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_monster_q2_tail_top5_66a019da
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_monster_q2_tail_top5_66a019da
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_monster_q2_tail_top5_66a019da
q2_tail_stage_soft,r086_q2_hardtail,86,id04,2024-09-19,q2_hardtail,1,Q2,-0.0003296010682318,-0.0173457368374625,0.0425539855072463,0.1971428571428571,0.524,1,0.5747428571428571,h077_monster_q2_tail_top5_66a019da
q2_tail_stage_soft,r122_q2_hardtail,122,id05,2024-11-14,q2_hardtail,1,Q2,-0.0002660340488499,-0.009232163175464,0.0312963768115941,0.1691428571428571,0.6731428571428572,1,0.6003428571428572,h077_monster_q2_tail_top5_66a019da
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_monster_stage_top3_cbf5030e
recovery_full_vector,r164_recovery_route,164,id07,2024-07-26,recovery_route,4,"Q1,S2,S3,S4",-0.0003907896340572,-0.0481139665950278,-0.0903617753623188,0.2041428571428571,0.7785714285714286,4,0.8134500000000001,h077_monster_stage_top3_cbf5030e
objective_stage_edge,r060_s_stage,60,id03,2024-08-18,s_stage,4,"S1,S2,S3,S4",-0.0002861887314597,-0.0265413511203283,0.1974054347826088,0.5,0.4202857142857142,3,0.3414571428571428,h077_monster_stage_top3_cbf5030e
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_monster_stage_top6_4407ed84
recovery_full_vector,r164_recovery_route,164,id07,2024-07-26,recovery_route,4,"Q1,S2,S3,S4",-0.0003907896340572,-0.0481139665950278,-0.0903617753623188,0.2041428571428571,0.7785714285714286,4,0.8134500000000001,h077_monster_stage_top6_4407ed84
objective_stage_edge,r060_s_stage,60,id03,2024-08-18,s_stage,4,"S1,S2,S3,S4",-0.0002861887314597,-0.0265413511203283,0.1974054347826088,0.5,0.4202857142857142,3,0.3414571428571428,h077_monster_stage_top6_4407ed84
objective_stage_edge,r177_s_stage,177,id07,2024-08-28,s_stage,4,"S1,S2,S3,S4",-0.0002709921780565,-0.0345843365493044,0.0915721920289855,0.4001428571428571,0.5605,4,0.4394607142857143,h077_monster_stage_top6_4407ed84
recovery_full_vector,r080_recovery_route,80,id04,2024-09-10,recovery_route,4,"Q1,S2,S3,S4",-0.000263306386743,-0.0340323442115484,0.1124084239130435,0.414,0.4638571428571428,3,0.3795285714285714,h077_monster_stage_top6_4407ed84
objective_stage_edge,r100_s14_edge,100,id04,2024-10-22,s14_edge,2,"S1,S4",-0.0002141225625559,-0.0116130198045808,0.0797690217391305,0.3625714285714285,0.5971428571428571,1,0.4197428571428571,h077_monster_stage_top6_4407ed84
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_monster_mixed_top5_38bd8eb7
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_monster_mixed_top5_38bd8eb7
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_monster_mixed_top5_38bd8eb7
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_monster_mixed_top5_38bd8eb7
q2_tail_stage_soft,r086_q2_hardtail,86,id04,2024-09-19,q2_hardtail,1,Q2,-0.0003296010682318,-0.0173457368374625,0.0425539855072463,0.1971428571428571,0.524,1,0.5747428571428571,h077_monster_mixed_top5_38bd8eb7
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_monster_mixed_outside_top8_f45c3426
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_monster_mixed_outside_top8_f45c3426
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_monster_mixed_outside_top8_f45c3426
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_monster_mixed_outside_top8_f45c3426
q2_tail_stage_soft,r086_q2_hardtail,86,id04,2024-09-19,q2_hardtail,1,Q2,-0.0003296010682318,-0.0173457368374625,0.0425539855072463,0.1971428571428571,0.524,1,0.5747428571428571,h077_monster_mixed_outside_top8_f45c3426
objective_stage_edge,r060_s_stage,60,id03,2024-08-18,s_stage,4,"S1,S2,S3,S4",-0.0002861887314597,-0.0265413511203283,0.1974054347826088,0.5,0.4202857142857142,3,0.3414571428571428,h077_monster_mixed_outside_top8_f45c3426
objective_stage_edge,r177_s_stage,177,id07,2024-08-28,s_stage,4,"S1,S2,S3,S4",-0.0002709921780565,-0.0345843365493044,0.0915721920289855,0.4001428571428571,0.5605,4,0.4394607142857143,h077_monster_mixed_outside_top8_f45c3426
q2_tail_stage_soft,r122_q2_hardtail,122,id05,2024-11-14,q2_hardtail,1,Q2,-0.0002660340488499,-0.009232163175464,0.0312963768115941,0.1691428571428571,0.6731428571428572,1,0.6003428571428572,h077_monster_mixed_outside_top8_f45c3426
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_conflict_cell_top8_d68f58f3
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_conflict_cell_top8_d68f58f3
q2_tail_stage_soft,r080_q2_hardtail,80,id04,2024-09-10,q2_hardtail,1,Q2,-0.0005375175260896,-0.0144554525692623,0.0738133152173913,0.2251428571428571,0.4474285714285714,0,0.5451428571428572,h077_conflict_cell_top8_d68f58f3
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_conflict_cell_top8_d68f58f3
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_conflict_cell_top8_d68f58f3
q2_tail_stage_soft,r086_q2_hardtail,86,id04,2024-09-19,q2_hardtail,1,Q2,-0.0003296010682318,-0.0173457368374625,0.0425539855072463,0.1971428571428571,0.524,1,0.5747428571428571,h077_conflict_cell_top8_d68f58f3
objective_stage_edge,r177_s_stage,177,id07,2024-08-28,s_stage,4,"S1,S2,S3,S4",-0.0002709921780565,-0.0345843365493044,0.0915721920289855,0.4001428571428571,0.5605,4,0.4394607142857143,h077_conflict_cell_top8_d68f58f3
q2_tail_stage_soft,r122_q2_hardtail,122,id05,2024-11-14,q2_hardtail,1,Q2,-0.0002660340488499,-0.009232163175464,0.0312963768115941,0.1691428571428571,0.6731428571428572,1,0.6003428571428572,h077_conflict_cell_top8_d68f58f3
