policy_name,score_source,mode,param,min_positive_votes,min_strong_positive_votes,logloss,switched_cells,switched_rate,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,target_null_mean,target_null_std,target_null_p_ge_observed,target_null_z,target_family_null_mean,target_family_null_std,target_family_null_p_ge_observed,target_family_null_z
gradient_boosted_gain_unguarded_topfrac_0.03,predicted_gain__gradient_boosted_gain,topfrac,0.03,0,0,0.6324777550533113,22,0.029931972789115645,0.004519327097683459,0.15098660985442464,0.5909090909090909,-0.00045530431806144227,0.0015386878021670016,0.001,3.23303493323266,-0.0002930740948716342,0.0013683087258550386,0.0005,3.5170434139765385
gradient_boosted_gain_unguarded_topfrac_0.04,predicted_gain__gradient_boosted_gain,topfrac,0.04,0,0,0.6326124808674028,29,0.03945578231292517,0.00438460128359189,0.11112696356689789,0.5862068965517241,-0.0005875072353489166,0.0017402848240237983,0.002,2.8570659528275084,-0.00037389341240230987,0.00140120268588642,0.00175,3.396007404156459
gradient_boosted_gain_unguarded_threshold_0.080,predicted_gain__gradient_boosted_gain,threshold,0.08,0,0,0.6328005460753282,27,0.036734693877551024,0.0041965360756665016,0.1142390376153659,0.5925925925925926,-0.000632479943540575,0.0016722715705001826,0.00325,2.8876984482626233,-0.00040218217326592754,0.0014189210706818892,0.00175,3.2409965176727056
gradient_boosted_gain_unguarded_topfrac_0.01,predicted_gain__gradient_boosted_gain,topfrac,0.01,0,0,0.6335427604829367,7,0.009523809523809525,0.003454321668058176,0.3627037751461086,0.5714285714285714,-6.215797294379395e-05,0.000909265852020397,0.00175,3.86738337658708,-8.593010389959562e-06,0.0007586042430866501,0.00075,4.56485013102226
gradient_boosted_gain_unguarded_threshold_0.120,predicted_gain__gradient_boosted_gain,threshold,0.12,0,0,0.6335908846086941,6,0.00816326530612245,0.0034061975423007886,0.4172591989318466,0.5,-2.52892395482204e-05,0.000806354841418664,0.00075,4.255554261709159,9.444832382324075e-06,0.0007543147198544002,0.0005,4.503097474452195
gradient_boosted_gain_unguarded_topfrac_0.02,predicted_gain__gradient_boosted_gain,topfrac,0.02,0,0,0.633641612963445,15,0.02040816326530612,0.003355469187549809,0.1644179901899406,0.4666666666666667,-0.0003075185776076278,0.0013955450599539725,0.00725,2.6247721197037146,-0.000247635204549905,0.001248293860349914,0.00825,2.886423226570796
gradient_boosted_gain_unguarded_topfrac_0.06,predicted_gain__gradient_boosted_gain,topfrac,0.06,0,0,0.6339321420457396,44,0.05986394557823129,0.003064940105255222,0.051198431303695176,0.5681818181818182,-0.001065541748401747,0.0020688927508780834,0.0215,1.9964697792594137,-0.0008754878001375262,0.0019603293718286866,0.024,2.0100846123204965
gradient_boosted_gain_unguarded_topfrac_0.08,predicted_gain__gradient_boosted_gain,topfrac,0.08,0,0,0.6352155940051096,59,0.08027210884353742,0.0017814881458852777,0.022193115037723376,0.576271186440678,-0.0013655696338208503,0.0023177459924686216,0.08375,1.357809608961597,-0.0010621234805763089,0.0021320113085347265,0.0855,1.3337694856862292
gradient_boosted_gain_votes2_topfrac_0.02,predicted_gain__gradient_boosted_gain,topfrac,0.02,2,0,0.6357050530577867,15,0.02040816326530612,0.001292029093208149,0.0633094255671993,0.6666666666666666,-0.00044983190146590337,0.0012828550161390704,0.07,1.3578003537113834,-0.0003074061635278341,0.0011775377160277518,0.0645,1.3582879214531147
gradient_boosted_gain_votes2_topfrac_0.03,predicted_gain__gradient_boosted_gain,topfrac,0.03,2,0,0.635835130761582,22,0.029931972789115645,0.0011619513894127224,0.038819739600834124,0.6363636363636364,-0.0005009766004791269,0.0014404172607605696,0.11075,1.1544765778589665,-0.0004466748038699946,0.0013203772104355175,0.0965,1.2183080566439968
