score_col,target,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,assignment_score
health_score,Q1,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0
health_score,Q1,top_responsibility_all,0.01,4,-0.3485760115107599,-0.08714400287768997,0.5,3,1,2,3,1,0.005726171318594611,0.373969725217159,-0.3543021828293545,-0.9474087310774052,-1.7996075394673068
health_score,Q1,top_responsibility_decisive,0.01,3,-0.18367760732104788,-0.06122586910701596,0.6666666666666666,2,1,1,3,0,-0.024937288719425035,0.44313630257874426,-0.15874031860162285,-0.3582200728711796,-0.5504550435219862
health_score,Q1,top_responsibility_pairbest,0.01,4,-0.3485760115107599,-0.08714400287768997,0.5,3,1,2,3,1,-0.18324963045889797,0.3657508042388094,-0.16532638105186193,-0.4520191866588911,-1.6933758444922078
health_score,Q1,top_responsibility_all,0.02,9,-0.1434461515841347,-0.015938461287126077,0.3333333333333333,3,1,2,6,3,-0.11787929238657573,0.6253019172578748,-0.02556685919755898,-0.040887223422689745,-1.471871598352338
health_score,Q1,top_responsibility_decisive,0.02,7,-0.0840058224110955,-0.012000831773013643,0.42857142857142855,3,1,2,5,2,-0.17479488105706995,0.6814305828689914,0.09078905864597445,0.13323302611944718,-1.3220172307767872
health_score,Q1,top_responsibility_pairbest,0.02,9,-0.1434461515841347,-0.015938461287126077,0.3333333333333333,3,1,2,6,3,-0.20728997474430935,0.5700394163555779,0.06384382316017465,0.11199896240218991,-1.42975977506253
health_score,Q1,top_responsibility_all,0.04,18,0.013941568717898978,0.0007745315954388321,0.3333333333333333,5,3,2,12,6,-0.31902920732599555,0.7378190150868916,0.3329707760438945,0.4512905864925169,-0.4577048064863478
health_score,Q1,top_responsibility_decisive,0.04,13,0.029677490737761714,0.0022828839029047474,0.38461538461538464,5,3,2,10,3,-0.4048966418607811,0.8932775956595185,0.43457413259854283,0.4864939350434409,-0.3874547221321778
health_score,Q1,top_responsibility_pairbest,0.04,18,0.013941568717898978,0.0007745315954388321,0.3333333333333333,5,3,2,12,6,-0.5501344284820618,0.8594987392080373,0.5640759971999608,0.6562848454201503,-0.3678738142467646
health_score,Q1,top_responsibility_all,0.06,27,0.529107040724544,0.019596557063872,0.4444444444444444,7,3,4,19,8,-0.45789105990730156,1.103659797085598,0.9869981006318456,0.8942956001823954,-1.4575861912898853
health_score,Q1,top_responsibility_decisive,0.06,20,0.4490544336962562,0.02245272168481281,0.5,7,4,3,15,5,-0.24115760672590367,0.8598937858831355,0.6902120404221599,0.802671273770507,-0.3636148268000454
health_score,Q1,top_responsibility_pairbest,0.06,27,0.529107040724544,0.019596557063872,0.4444444444444444,7,3,4,19,8,-0.701267525345926,0.9628271247812032,1.23037456607047,1.27787692556965,-1.3462151191195724
health_score,Q1,top_responsibility_all,0.08,36,0.2836381392898859,0.007878837202496831,0.4444444444444444,8,4,4,23,13,-0.9672385974299268,0.8584639284692148,1.2508767367198126,1.4571104215762865,-1.217610019758764
health_score,Q1,top_responsibility_decisive,0.08,27,0.20091335735939542,0.007441235457755386,0.48148148148148145,8,5,3,19,8,-0.32736890050296785,1.1832018666751976,0.5282822578623633,0.4464853147560008,-0.35336084121370304
