name,group,changed_cells,strength
public_cell_k120,public,120,22.91560771372344
public_cell_k240,public,240,23.14051019636893
public_cell_k420,public,420,23.37529453419946
public_cell_k700,public,700,23.583313490780373
phase_support_k120,phase,120,25.051814332152727
phase_support_k260,phase,260,25.2712947830339
phase_support_k520,phase,520,25.430406738088134
exception_world_k90,exception,90,23.220816951146563
exception_world_k180,exception,180,23.363996516341096
exception_world_k340,exception,340,23.485690441504797
private_memory_k120,private,120,68.7138884864338
private_rollback_k120,private,120,50.436067982267254
private_memory_k260,private,260,71.91968859156466
private_rollback_k260,private,260,50.63364012515966
private_memory_k520,private,520,74.8445689781662
private_rollback_k520,private,520,50.81045449284352
route_row_all_r12,row,84,15.195939047175091
route_row_top3_r12,row,36,15.13922141098034
route_row_all_r24,row,168,18.177676793046825
route_row_top3_r24,row,72,18.117959510034172
route_row_all_r40,row,280,21.14655885640733
route_row_top3_r40,row,120,21.07895445125895
route_row_all_r70,row,490,23.439341643556194
route_row_top3_r70,row,210,23.355398719844118
target_Q2_phase_k45,target_Q2,45,1.2202506747533945
target_Q2_phase_k90,target_Q2,90,1.324790832544299
target_Q2_phase_k150,target_Q2,105,1.34268331338615
target_S1_phase_k45,target_S1,45,15.114499417121364
target_S1_phase_k90,target_S1,90,15.202446305067433
target_S1_phase_k150,target_S1,150,15.244709370245593
target_S3_phase_k45,target_S3,45,8.33995583082108
target_S3_phase_k90,target_S3,90,8.424808549865885
target_S3_phase_k150,target_S3,150,8.483096657648813
target_S4_phase_k45,target_S4,45,5.815783964905747
target_S4_phase_k90,target_S4,90,5.969038230628903
target_S4_phase_k150,target_S4,150,6.025342005154746
