candidate_id,family,q2_k,core_alpha,tail_k,tail_alpha,changed_cells,changed_rows,mean_abs_logit_move,max_abs_logit_move,mean_abs_prob_move,max_abs_prob_move,h042_overlap_cells,h042_jaccard,h042_distance_l1,h042_distance_l2,tangent_expected_delta,resolved_path
h043_q2_top15_a0.08_c15_cf4f56c0,q2_top15_a0.08,15,0.08,0,0.0,15,15,0.0010598769060235467,0.03581437667173448,0.00023035348160379377,0.006323816227665535,15,0.3333333333333333,0.013823503747592924,0.035293808212438396,4.727485739715146e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.08_c15_cf4f56c0.csv
h043_q2_top15_a0.14_c15_a571e8c6,q2_top15_a0.14,15,0.14,0,0.0,15,15,0.001854784585541175,0.06267515917553435,0.0004025470203396995,0.010986013709512576,15,0.3333333333333333,0.013028596068075295,0.033028903050670355,3.2708251524669933e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.14_c15_a571e8c6.csv
h043_q2_top15_a0.22_c15_9cbf98c2,q2_top15_a0.22,15,0.22,0,0.0,15,15,0.002914661491564698,0.0984895358472686,0.0006313549077091043,0.017094458744251084,15,0.3333333333333333,0.011968719162051772,0.030358118366396854,1.328611036102744e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.22_c15_9cbf98c2.csv
h043_q2_top15_a0.34_c15_a64da2d9,q2_top15_a0.34,15,0.34,0,0.0,15,15,0.004504476850599963,0.15221110085486989,0.0009728353809555626,0.026025776411750523,15,0.3333333333333333,0.010378903803016508,0.027331883503132263,-1.584710138460408e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.34_c15_a64da2d9.csv
h043_q2_top15_a0.42_c15_5c96067d,q2_top15_a0.42,15,0.42,0,0.0,15,15,0.005564353756623482,0.18802547752660437,0.0011992983928016524,0.031825780911449275,15,0.3333333333333333,0.00931902689699299,0.026144730799635075,-3.526924254839598e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.42_c15_5c96067d.csv
h043_q2_top15_a0.5_c15_1fd637bc,q2_top15_a0.5,15,0.5,0,0.0,15,15,0.0066242306626469825,0.22383985419833818,0.0014247808148895049,0.03750264228826794,15,0.3333333333333333,0.008259149990969489,0.025736847375651604,-5.469138371220067e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.5_c15_1fd637bc.csv
h043_q2_top15_a0.58_c15_f7536dde,q2_top15_a0.58,15,0.58,0,0.0,15,15,0.007684107568670501,0.25965423087007267,0.0016492594519864475,0.04305671614590323,15,0.3333333333333333,0.009319026896993009,0.026144730799635085,-7.41135248760134e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.58_c15_f7536dde.csv
h043_q2_top15_a0.66_c15_e0b2860c,q2_top15_a0.66,15,0.66,0,0.0,15,15,0.008743984474694022,0.2954686075418076,0.0018727118696250063,0.048488496918805524,15,0.3333333333333333,0.010378903803016527,0.027331883503132298,-9.353566603983112e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.66_c15_e0b2860c.csv
h043_q2_top15_a0.78_c15_cd5990d0,q2_top15_a0.78,15,0.78,0,0.0,15,15,0.010333799833729288,0.3491901725494082,0.0022059190912311756,0.05640827282238181,15,0.3333333333333333,0.011968719162051793,0.0303581183663969,-0.0001226688777855632,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.78_c15_cd5990d0.csv
h043_q2_top15_a0.92_c15_c7132f4d,q2_top15_a0.92,15,0.92,0,0.0,15,15,0.012188584419270442,0.411865331724943,0.0025915877146380443,0.06530560317851364,15,0.3333333333333333,0.01382350374759295,0.03529380821243847,-0.00015662249372866768,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.92_c15_c7132f4d.csv
h043_q2_top15_a1.1_c15_4ad3d43a,q2_top15_a1.1,15,1.1,0,0.0,15,15,0.01457330745782335,0.492447679236345,0.0030824234813080827,0.07621131349441512,15,0.3333333333333333,0.016208226786145856,0.04304331915235477,-0.00019366715504344847,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a1.1_c15_4ad3d43a.csv
h043_q2_top25_a0.08_c25_570731d8,q2_top25_a0.08,25,0.08,0,0.0,25,25,0.0015691497293858088,0.03581437667173448,0.0003477521510459396,0.006323816227665535,25,0.5555555555555556,0.013314230924230662,0.03416841595402168,2.5964817689175878e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.08_c25_570731d8.csv
h043_q2_top25_a0.14_c25_9c708af9,q2_top25_a0.14,25,0.14,0,0.0,25,25,0.0027460120264251385,0.06267515917553435,0.000607872645803174,0.010986013709512576,25,0.5555555555555556,0.012137368627191333,0.031032705863461647,6.7190948327556835e-06,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.14_c25_9c708af9.csv
h043_q2_top25_a0.22_c25_bcbb3708,q2_top25_a0.22,25,0.22,0,0.0,25,25,0.0043151617558109204,0.0984895358472686,0.0009537462666043086,0.017094458744251084,25,0.5555555555555556,0.010568218897805551,0.02719108405415421,-1.894186897602929e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.22_c25_bcbb3708.csv
h043_q2_top25_a0.34_c25_a5564f14,q2_top25_a0.34,25,0.34,0,0.0,25,25,0.006668886349889587,0.15221110085486989,0.0014704418640650585,0.026025776411750523,25,0.5555555555555556,0.008214494303726883,0.02255418952679372,-5.74333146893198e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.34_c25_a5564f14.csv
h043_q2_top25_a0.42_c25_7f8933b7,q2_top25_a0.42,25,0.42,0,0.0,25,25,0.008238036079275372,0.18802547752660437,0.0018134459978891059,0.031825780911449275,25,0.5555555555555556,0.006645344574341099,0.020611011553839702,-8.309427849820546e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.42_c25_7f8933b7.csv
h043_q2_top25_a0.5_c25_122c99e8,q2_top25_a0.5,25,0.5,0,0.0,25,25,0.009807185808661132,0.22383985419833818,0.0021552438545457066,0.03750264228826794,25,0.5555555555555556,0.005076194844955336,0.019921209165773755,-0.00010875524230709957,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.5_c25_122c99e8.csv
h043_q2_top25_a0.58_c25_92393272,q2_top25_a0.58,25,0.58,0,0.0,25,25,0.011376335538046917,0.25965423087007267,0.002495803337572924,0.04305671614590323,25,0.5555555555555556,0.00664534457434112,0.02061101155383972,-0.0001344162061159992,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.58_c25_92393272.csv
h043_q2_top25_a0.66_c25_3133340b,q2_top25_a0.66,25,0.66,0,0.0,25,25,0.0129454852674327,0.2954686075418076,0.002835093216698179,0.048488496918805524,25,0.5555555555555556,0.008214494303726904,0.022554189526793753,-0.00016007716992490228,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.66_c25_3133340b.csv
h043_q2_top25_a0.78_c25_42eaf63c,q2_top25_a0.78,25,0.78,0,0.0,25,25,0.015299209861511362,0.3491901725494082,0.0033415813112266405,0.05640827282238181,25,0.5555555555555556,0.010568218897805565,0.02719108405415425,-0.00019856861563826044,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.78_c25_42eaf63c.csv
h043_q2_top25_a0.92_c25_962a76c9,q2_top25_a0.92,25,0.92,0,0.0,25,25,0.018045221887936485,0.411865331724943,0.003928655702146575,0.06530560317851364,25,0.5555555555555556,0.013314230924230687,0.03416841595402176,-0.00023939510943274398,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a0.92_c25_962a76c9.csv
h043_q2_top25_a1.1_c25_df9df62e,q2_top25_a1.1,25,1.1,0,0.0,25,25,0.021575808779054483,0.492447679236345,0.0046771778322155216,0.07621131349441512,25,0.5555555555555556,0.016844817815348686,0.044379734659688364,-0.00027838690860831916,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top25_a1.1_c25_df9df62e.csv
h043_q2_top35_a0.08_c35_8ef038fc,q2_top35_a0.08,35,0.08,0,0.0,35,35,0.0020446363016517607,0.03581437667173448,0.00045984177018437136,0.006323816227665535,35,0.7777777777777778,0.012838744351964707,0.03299821294081568,-2.4003180585464334e-06,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top35_a0.08_c35_8ef038fc.csv
h043_q2_top35_a0.14_c35_6c1af1aa,q2_top35_a0.14,35,0.14,0,0.0,35,35,0.0035781135278905463,0.06267515917553435,0.0008040462604065659,0.010986013709512576,35,0.7777777777777778,0.01130526712572592,0.02888687919232908,-2.6350677248810523e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top35_a0.14_c35_6c1af1aa.csv
h043_q2_top35_a0.22_c35_a118e916,q2_top35_a0.22,35,0.22,0,0.0,35,35,0.0056227498295422845,0.0984895358472686,0.0012620446991540898,0.017094458744251084,35,0.7777777777777778,0.009260630824074183,0.023581788041771447,-5.828448950261146e-05,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top35_a0.22_c35_a118e916.csv
