candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012
h043_h042core0.58_tail10_b0.08_c55_aa9dbb5b,submission_h043_h042core0.58_tail10_b0.08_c55_aa9dbb5b.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail10_b0.08_c55_aa9dbb5b.csv,h042core0.58_tail10_b0.08,h042core0.58_tail10_b0.08,2,55,55,0.0038808700986583686,0.04305671614590323,0.01750474899038045,0.25965423087007267,-0.00015912487631178598,0.0006774408908521957,1.4963429021989502e-07,-1.5606874895750695e-05
h043_h042core0.58_tail10_b0.12_c55_61d0ee64,submission_h043_h042core0.58_tail10_b0.12_c55_61d0ee64.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail10_b0.12_c55_61d0ee64.csv,h042core0.58_tail10_b0.12,h042core0.58_tail10_b0.12,2,55,55,0.003907965269115257,0.04305671614590323,0.017624762706473136,0.25965423087007267,-0.00015953309834298843,0.0006755198613491351,1.4718121502554038e-08,-1.5903848637389507e-05
h043_h042core0.58_tail10_b0.18_c55_af4daf88,submission_h043_h042core0.58_tail10_b0.18_c55_af4daf88.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail10_b0.18_c55_af4daf88.csv,h042core0.58_tail10_b0.18,h042core0.58_tail10_b0.18,2,55,55,0.003948558603527934,0.04305671614590323,0.017804783280612156,0.25965423087007267,-0.00016011513621138414,0.0006777998893113006,-1.74473219926812e-07,-1.6333642963450986e-05
h043_h042core0.58_tail20_b0.04_c65_48584410,submission_h043_h042core0.58_tail20_b0.04_c65_48584410.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail20_b0.04_c65_48584410.csv,h042core0.58_tail20_b0.04,h042core0.58_tail20_b0.04,2,65,65,0.003883963318422124,0.04305671614590323,0.01751442236547338,0.25965423087007267,-0.00015934305221709853,0.0006712864543008655,2.789911120414312e-07,-1.5348837615193893e-05
h043_h042core0.58_tail20_b0.08_c65_49f5c718,submission_h043_h042core0.58_tail20_b0.08_c65_49f5c718.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail20_b0.08_c65_49f5c718.csv,h042core0.58_tail20_b0.08,h042core0.58_tail20_b0.08,2,65,65,0.003941286665710569,0.04305671614590323,0.017764123172751674,0.25965423087007267,-0.00016039433421280273,0.0006693432269503107,1.2840055184829682e-07,-1.5696739182306734e-05
h043_h042core0.58_tail20_b0.12_c65_b2ea4df6,submission_h043_h042core0.58_tail20_b0.12_c65_b2ea4df6.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail20_b0.12_c65_b2ea4df6.csv,h042core0.58_tail20_b0.12,h042core0.58_tail20_b0.12,2,65,65,0.003998571305912767,0.04305671614590323,0.018013823980029972,0.25965423087007267,-0.00016141374860266064,0.0006741046911678028,-1.1185987088177474e-08,-1.603153168038136e-05
h043_h042core0.58_tail20_b0.18_c65_ea065168,submission_h043_h042core0.58_tail20_b0.18_c65_ea065168.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail20_b0.18_c65_ea065168.csv,h042core0.58_tail20_b0.18,h042core0.58_tail20_b0.18,2,65,65,0.004084424688158954,0.04305671614590323,0.01838837519094741,0.25965423087007267,-0.0001628831775948092,0.0006838471334863654,-1.9995556647699708e-07,-1.6509170844131963e-05
h043_h042core0.58_tail35_b0.04_c80_90ad0dc9,submission_h043_h042core0.58_tail35_b0.04_c80_90ad0dc9.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail35_b0.04_c80_90ad0dc9.csv,h042core0.58_tail35_b0.04,h042core0.58_tail35_b0.04,2,80,80,0.003910217324251288,0.04305671614590323,0.0176323914915497,0.25965423087007267,-0.00015974600437134421,0.0006734503672284945,2.3668306299345812e-07,-1.5437426266748602e-05
h043_h042core0.58_tail35_b0.08_c80_6706f2bb,submission_h043_h042core0.58_tail35_b0.08_c80_6706f2bb.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail35_b0.08_c80_6706f2bb.csv,h042core0.58_tail35_b0.08,h042core0.58_tail35_b0.08,2,80,80,0.0039937899462263995,0.04305671614590323,0.018000061424904318,0.25965423087007267,-0.00016118840201255762,0.0006747850963930025,4.696793709461546e-08,-1.5869530684863607e-05
h043_h042core0.58_tail35_b0.12_c80_eda58efa,submission_h043_h042core0.58_tail35_b0.12_c80_eda58efa.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail35_b0.12_c80_eda58efa.csv,h042core0.58_tail35_b0.12,h042core0.58_tail35_b0.12,2,80,80,0.004077318993679041,0.04305671614590323,0.01836773135825895,0.25965423087007267,-0.00016258709737117103,0.0006809767712130934,-1.2856072113108057e-07,-1.628414092972142e-05
