feature_set,alpha,n_features,loo_mae,loo_rmse,weighted_loo_mae,weighted_loo_rmse,loo_spearman,loo_pair_acc,h088_loo_pred,h088_loo_abs_error,h088_sign_ok,base_loo_abs_error,h115_model_score
route_curvature,30.0,27,0.000844703835000943,0.0013252693418378668,0.0004335090608159139,0.0006279764893698472,0.927592976918297,0.8945454545454545,0.0006581615148458645,8.844648515417297e-05,1.0,0.0009721772964617211,0.001054772929083395
route_curvature,10.0,27,0.0008823356649849393,0.0014104813645489957,0.00042405326496780245,0.0006590061819862769,0.8510545972007065,0.8690909090909091,0.000668918863042147,7.768913695789048e-05,1.0,0.0010675161337585196,0.001127446336057792
route_curvature,3.0,27,0.0008743130413808806,0.0014983096013649548,0.00042379673073131264,0.0007032627338419285,0.8719287007600496,0.8945454545454545,0.0007673484041726813,2.0740404172643807e-05,1.0,0.0011581704948012241,0.001129591230182069
target_route_curvature,30.0,62,0.0006129951433843348,0.0008890335757787599,0.0003966484530356142,0.0005170903044932222,0.9802131129741404,0.9527272727272728,0.0010790708399197907,0.00033246283991975327,1.0,0.0008445155526306241,0.0012083028036141486
compact_curvature,30.0,19,0.000902418029009843,0.0014588921890584874,0.0005159555781280873,0.000730738582211015,0.9815177444465992,0.9636363636363636,0.0008442109661670767,9.760296616703919e-05,1.0,0.0011635967643008858,0.0013317586053204424
route_curvature,1.0,27,0.0007553632960643689,0.0013070028976542912,0.00048368570253224486,0.000752065815920667,0.8928028043193923,0.9018181818181819,0.0009162170593871711,0.0001696090593871336,1.0,0.0013443915290190806,0.0015664469311181114
target_route_curvature,10.0,62,0.0007151416008582914,0.0011080588897245996,0.00043304992840629365,0.0005969166101099786,0.9767340957142499,0.9490909090909091,0.0012685720367057588,0.0005219640367057213,1.0,0.0009314766662617,0.0016253992677185197
compact_curvature,10.0,19,0.0008058405866195247,0.0011397099291777823,0.0005246683879064834,0.0007408940501885166,0.9789084815016813,0.9563636363636364,0.001031936945398334,0.0002853289453982966,1.0,0.0013412617648082756,0.001752134222920674
route_curvature,0.3,27,0.0005598545752914986,0.0009088893874608598,0.0005588349029120972,0.0008189535208803515,0.9736899556118457,0.9490909090909091,0.0010811893373373028,0.00033458133733726535,1.0,0.001580178629327672,0.002077328669834968
compact_curvature,3.0,19,0.0007211698158902583,0.0009683655650459051,0.0005814905734095494,0.0007949744824582824,0.9797782358166541,0.96,0.0012999843855763206,0.0005533763855762831,1.0,0.001462158640817647,0.0023148147307558704
route_curvature,0.1,27,0.00040497033053408317,0.0006049759674198535,0.0006243137467460819,0.0008716574771043084,0.9771689728717362,0.9527272727272728,0.0013045481194139405,0.0005579401194139031,1.0,0.0016954863661847708,0.0025787262630725272
target_route_curvature,3.0,62,0.0007780079885120911,0.001297118477862407,0.000556379573591301,0.000769544657223238,0.9793433586591676,0.9563636363636364,0.001756048014039126,0.0010094400140390886,1.0,0.001072527882577641,0.0026465378622632764
compact_curvature,1.0,19,0.0006224520595371258,0.0008379088190342288,0.0006819307933380122,0.0009242208335846634,0.9671667982495511,0.9454545454545454,0.001617184980873378,0.0008705769808733405,1.0,0.0016770318229279383,0.0031039804743131405
route_curvature,0.03,27,0.00035835092978223434,0.0005678415348851348,0.0007582236891416289,0.00101034377985197,0.9806479901316266,0.96,0.0018001623257109097,0.0010535543257108723,1.0,0.0018349773523954854,0.0036040175666318297
target_route_curvature,1.0,62,0.0007074389175966882,0.001143070524248982,0.0007203557276188662,0.0009947646177348884,0.9836921302340308,0.96,0.0024368279034228924,0.001690219903422855,1.0,0.0012440086581324565,0.00403799417702539
compact_curvature,0.3,19,0.0005390121089288194,0.00077681988720513,0.0008390370416970961,0.001140282253779292,0.9602087637297703,0.9454545454545454,0.0020442723471934916,0.0012976643471934541,1.0,0.0020107528156234683,0.004239380661907329
compact_curvature,0.1,19,0.0005078649096556582,0.0007757357458914147,0.0009693996697472166,0.0013248070950144498,0.9749945870843046,0.9563636363636364,0.0025397906924461205,0.001793182692446083,1.0,0.0021903879841709186,0.0053124460143573835
target_route_curvature,0.3,62,0.0005024232928968878,0.0008033725256833597,0.0009025363579381001,0.0013204426885112448,0.985431638863976,0.9636363636363636,0.0033520751365532396,0.002605467136553202,1.0,0.0013952342765689415,0.005822931230099811
compact_curvature,0.03,19,0.0004593646729636857,0.0007576408753849881,0.0010460839053023348,0.0014227982505616143,0.9802131129741404,0.9563636363636364,0.0028898280074585265,0.002143220007458489,1.0,0.002204139632391564,0.005955471818030574
target_route_curvature,0.1,62,0.0005093220645067918,0.0008904700314858011,0.0010693313371215375,0.0016574009235144147,0.9863013931789486,0.9672727272727273,0.0042026195210629926,0.003456011521062955,1.0,0.0014799118832949903,0.007454479550300652
target_route_curvature,0.03,62,0.0006380634364506644,0.001122281674292163,0.0012088200148632577,0.001924899392512316,0.9732550784543594,0.9418181818181818,0.004848367174016014,0.004101759174015977,1.0,0.0015312669165548317,0.008706927011195088
