feature_family,label_task,target,positive_rate,auc,ap,ap_lift_vs_rate
listener_only,strict_jury_released,Q1,0.017777777777777778,0.5207508484162896,0.028482734220076803,0.010704956442299025
listener_only,strict_jury_released,Q2,0.012222222222222223,0.6967481337560077,0.02153758092283201,0.009315358700609786
listener_only,strict_jury_released,Q3,0.03333333333333333,0.6233333333333333,0.052517471379048906,0.019184138045715574
listener_only,strict_jury_released,S1,0.012222222222222223,0.7679721852950199,0.03424766798834663,0.022025445766124405
listener_only,strict_jury_released,S2,0.017777777777777778,0.4679369343891403,0.017398135310095694,-0.0003796424676820835
listener_only,strict_jury_released,S3,0.008888888888888889,0.523122197309417,0.009840421091778262,0.0009515322028893734
listener_only,strict_jury_released,S4,0.09111111111111111,0.6622189754904885,0.1603486551109799,0.06923754399986878
listener_only,strict_positive_release,Q1,0.01,0.7068836513280957,0.019599734477584004,0.009599734477584004
listener_only,strict_positive_release,Q2,0.006666666666666667,0.618288590604027,0.010001759760904868,0.0033350930942382005
listener_only,strict_positive_release,Q3,0.014444444444444444,0.5271875813025757,0.0218045564020667,0.007360111957622255
listener_only,strict_positive_release,S1,0.0077777777777777776,0.686050231962886,0.016601366343057755,0.008823588565279978
listener_only,strict_positive_release,S2,0.01,0.4564160119715675,0.009229097838663072,-0.0007709021613369286
listener_only,strict_positive_release,S3,0.0022222222222222222,0.09771714922048999,0.001735330836454432,-0.00048689138576779025
listener_only,strict_positive_release,S4,0.051111111111111114,0.6600142551674982,0.08459353326730261,0.033482422156191495
listener_only,healthy_action,Q1,0.5,0.5006814814814815,0.5066440982495453,0.0066440982495452605
listener_only,healthy_action,Q2,0.5,0.4556987654320987,0.4624587361766569,-0.03754126382334311
listener_only,healthy_action,Q3,0.5,0.4605185185185185,0.4683595521895757,-0.0316404478104243
listener_only,healthy_action,S1,0.5,0.44007407407407406,0.457616283977801,-0.04238371602219898
listener_only,healthy_action,S2,0.5,0.4778222222222222,0.48860570370350004,-0.011394296296499962
listener_only,healthy_action,S3,0.5,0.5305283950617283,0.5113631705983618,0.011363170598361783
listener_only,healthy_action,S4,0.5,0.5048938271604938,0.5061466164318159,0.00614661643181591
