fold,heldout_subjects,positive_rate,auc,ap,feature_family,label_task
0,"id03,id04",0.01746031746031746,0.628212659715083,0.025672810628686295,listener_only,strict_jury_released
1,"id08,id10",0.02086677367576244,0.7188524590163934,0.06478363559698613,listener_only,strict_jury_released
2,"id01,id07",0.03650793650793651,0.7328182078647661,0.13387619717729443,listener_only,strict_jury_released
3,"id05,id06",0.030279503105590064,0.7566771365810597,0.23947070664876074,listener_only,strict_jury_released
4,"id02,id09",0.03290529695024077,0.8236919340147759,0.27797047221743987,listener_only,strict_jury_released
0,"id03,id04",0.009523809523809525,0.6547475961538461,0.01539682362513117,listener_only,strict_positive_release
1,"id08,id10",0.01043338683788122,0.7483935367147045,0.03028409831622059,listener_only,strict_positive_release
2,"id01,id07",0.022222222222222223,0.6854562847866419,0.06886205608496893,listener_only,strict_positive_release
3,"id05,id06",0.011645962732919254,0.7375490966221525,0.06867787083202351,listener_only,strict_positive_release
4,"id02,id09",0.019261637239165328,0.8798247408619749,0.18697534927708911,listener_only,strict_positive_release
0,"id03,id04",0.5,0.49718568909045097,0.5050164839979397,listener_only,healthy_action
1,"id08,id10",0.5,0.4879846648923425,0.4931590360404634,listener_only,healthy_action
2,"id01,id07",0.5,0.46599647266313937,0.47354248852380865,listener_only,healthy_action
3,"id05,id06",0.5,0.524750684772964,0.5046035776648911,listener_only,healthy_action
4,"id02,id09",0.5,0.4723584169180865,0.4755394165927586,listener_only,healthy_action
0,"id03,id04",0.4166666666666667,0.6359805636540332,0.49893650977803733,listener_only,toxic_tail_action
1,"id08,id10",0.4117174959871589,0.6280938438258751,0.4865818799617878,listener_only,toxic_tail_action
2,"id01,id07",0.40714285714285714,0.6177875896046825,0.46749422456433143,listener_only,toxic_tail_action
3,"id05,id06",0.3944099378881988,0.6927720573389864,0.5381382890795227,listener_only,toxic_tail_action
4,"id02,id09",0.3868378812199037,0.6389253981012796,0.4603610179858743,listener_only,toxic_tail_action
0,"id03,id04",0.01746031746031746,0.5398736965780584,0.01988870715050925,calendar_social_listener,strict_jury_released
1,"id08,id10",0.02086677367576244,0.7226828499369482,0.04576064565181563,calendar_social_listener,strict_jury_released
2,"id01,id07",0.03650793650793651,0.7203011961893848,0.11728423787314832,calendar_social_listener,strict_jury_released
3,"id05,id06",0.030279503105590064,0.6989181088460512,0.12210440372202572,calendar_social_listener,strict_jury_released
4,"id02,id09",0.03290529695024077,0.8090679081064669,0.26557343090613406,calendar_social_listener,strict_jury_released
0,"id03,id04",0.009523809523809525,0.5986912393162394,0.013870030796893073,calendar_social_listener,strict_positive_release
1,"id08,id10",0.01043338683788122,0.5889325597354794,0.0344872176347899,calendar_social_listener,strict_positive_release
2,"id01,id07",0.022222222222222223,0.6742086038961039,0.07034450662970138,calendar_social_listener,strict_positive_release
3,"id05,id06",0.011645962732919254,0.6738413197172035,0.03854195104997117,calendar_social_listener,strict_positive_release
4,"id02,id09",0.019261637239165328,0.76450831969449,0.11531573072631186,calendar_social_listener,strict_positive_release
0,"id03,id04",0.5,0.5294683799445704,0.5210784327425052,calendar_social_listener,healthy_action
1,"id08,id10",0.5,0.49747248981653003,0.5062136966590278,calendar_social_listener,healthy_action
2,"id01,id07",0.5,0.4434794658604182,0.46053164902012694,calendar_social_listener,healthy_action
3,"id05,id06",0.5,0.5021869333744841,0.5114058896926728,calendar_social_listener,healthy_action
